Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W1_TB_NO,1,6,0.4,0.6,Solver,N/A
2,W1_TB_NO,2,6,0.3,0.7,Non-Solver,N/A
3,W1_TB_NO,2,2,0.45,0.55,Non-Solver,N/A
4,W1_TB_NO,2,6,0.48,0.52,Non-Solver,N/A
5,W1_TB_NO,2,2,0.5,0.5,Non-Solver,N/A
6,W1_TB_NO,1,6,0.65,0.35,Solver,N/A
7,W1_TB_NO,1,4,0.35,0.65,Solver,N/A
9,W1_TB_NO,2,8,0.35,0.65,Non-Solver,N/A
11,W1_TB_NO,2,8,0.2,0.8,Non-Solver,N/A
14,W1_TB_NO,2,2,0.8,0.2,Non-Solver,N/A
15,W1_TB_NO,2,6,0.35,0.65,Non-Solver,N/A
16,W1_TB_NO,2,8,0.16,0.84,Non-Solver,N/A
17,W1_TB_NO,2,8,0.19,0.81,Non-Solver,N/A
23,W1_TB_NO,2,2,0.4,0.6,Non-Solver,N/A
25,W1_TB_NO,2,2,0.44,0.56,Non-Solver,N/A
28,W1_TB_NO,2,2,0.7,0.3,Non-Solver,N/A
29,W1_TB_NO,2,6,0.32,0.68,Non-Solver,N/A
30,W1_TB_NO,2,6,0.2,0.8,Non-Solver,N/A
31,W1_TB_NO,2,8,0.29,0.71,Non-Solver,N/A
32,W1_TB_NO,2,2,0.3,0.7,Non-Solver,N/A
36,W1_TB_NO,2,8,0.3,0.7,Non-Solver,N/A
37,W1_TB_NO,2,2,0.7,0.3,Non-Solver,N/A
44,W1_TB_NO,2,8,0.02,0.98,Non-Solver,N/A
45,W1_TB_NO,2,6,0.44,0.56,Non-Solver,N/A
46,W1_TB_NO,2,2,0.55,0.45,Non-Solver,N/A
48,W1_TB_NO,2,2,0.65,0.35,Non-Solver,N/A
51,W1_TB_NO,2,2,0.64,0.36,Non-Solver,N/A
53,W1_TB_NO,2,2,0.5,0.5,Non-Solver,N/A
54,W1_TB_NO,2,2,0.5,0.5,Non-Solver,N/A
55,W1_TB_NO,2,6,0.4,0.6,Non-Solver,N/A
56,W1_TB_NO,1,2,0.46,0.54,Solver,N/A
60,W1_TB_NO,2,8,0.18,0.82,Non-Solver,N/A
61,W1_TB_NO,2,6,0.4,0.6,Non-Solver,N/A
62,W1_TB_NO,2,4,0.48,0.52,Non-Solver,N/A
64,W1_TB_NO,2,6,0.2,0.8,Non-Solver,N/A
65,W1_TB_NO,2,8,0.27,0.73,Non-Solver,N/A
66,W1_TB_NO,1,4,0.42,0.58,Solver,N/A
68,W1_TB_NO,2,8,0.29,0.71,Non-Solver,N/A
71,W1_TB_NO,2,10,0.2,0.8,Non-Solver,N/A
72,W1_TB_NO,2,4,0.4,0.6,Non-Solver,N/A
73,W1_TB_NO,2,2,0.5,0.5,Non-Solver,N/A
76,W1_TB_NO,2,6,0.35,0.65,Non-Solver,N/A
80,W1_TB_NO,2,2,0.79,0.21,Non-Solver,N/A
81,W1_TB_NO,2,8,0.2,0.8,Non-Solver,N/A
82,W1_TB_NO,2,8,0.31,0.69,Non-Solver,N/A
83,W1_TB_NO,2,8,0.23,0.77,Non-Solver,N/A
84,W1_TB_NO,2,6,0.3,0.7,Non-Solver,N/A
86,W1_TB_NO,2,6,0.3,0.7,Non-Solver,N/A
87,W1_TB_NO,2,4,0.64,0.36,Non-Solver,N/A
88,W1_TB_NO,2,8,0.25,0.75,Non-Solver,N/A
89,W1_TB_NO,1,6,0.7,0.3,Solver,N/A
90,W1_TB_NO,2,6,0.5,0.5,Non-Solver,N/A
92,W1_TB_NO,2,6,0.31,0.69,Non-Solver,N/A
97,W1_TB_NO,2,2,0.7,0.3,Non-Solver,N/A
98,W1_TB_NO,2,4,0.23,0.77,Non-Solver,N/A
99,W1_TB_NO,2,8,0.27,0.73,Non-Solver,N/A
100,W1_TB_NO,1,2,0.67,0.33,Solver,N/A
103,W1_TB_NO,2,4,0.59,0.41,Non-Solver,N/A
104,W1_TB_NO,2,10,0.09,0.91,Non-Solver,N/A
105,W1_TB_NO,2,2,0.5,0.5,Non-Solver,N/A
106,W1_TB_NO,2,6,0.23,0.77,Non-Solver,N/A
109,W1_TB_NO,2,4,0.55,0.45,Non-Solver,N/A
110,W1_TB_NO,1,2,0.38,0.62,Solver,N/A
115,W1_TB_NO,2,2,0.6,0.4,Non-Solver,N/A
117,W1_TB_NO,2,10,0.1,0.9,Non-Solver,N/A
118,W1_TB_NO,1,2,0.55,0.45,Solver,N/A
121,W1_TB_NO,2,6,0.3,0.7,Non-Solver,N/A
122,W1_TB_NO,2,6,0.24,0.76,Non-Solver,N/A
125,W1_TB_NO,2,6,0.59,0.41,Non-Solver,N/A
126,W1_TB_NO,2,2,0.37,0.63,Non-Solver,N/A
127,W1_TB_NO,2,6,0.4,0.6,Non-Solver,N/A
130,W1_TB_NO,2,4,0.8,0.2,Non-Solver,N/A
131,W1_TB_NO,2,6,0.3,0.7,Non-Solver,N/A
132,W1_TB_NO,2,6,0.4,0.6,Non-Solver,N/A
136,W1_TB_NO,2,6,0.55,0.45,Non-Solver,N/A
137,W1_TB_NO,2,4,0.6,0.4,Non-Solver,N/A
143,W1_TB_NO,2,4,0.49,0.51,Non-Solver,N/A
144,W1_TB_NO,2,4,0.6,0.4,Non-Solver,N/A
145,W1_TB_NO,2,10,0.2,0.8,Non-Solver,N/A
146,W1_TB_NO,2,2,0.2,0.8,Non-Solver,N/A
147,W1_TB_NO,2,4,0.0600000000000001,0.94,Non-Solver,N/A
148,W1_TB_NO,1,4,0.18,0.82,Solver,N/A
149,W1_TB_NO,2,2,0.3,0.7,Non-Solver,N/A
152,W1_TB_NO,2,2,0.5,0.5,Non-Solver,N/A
