Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W1_TEN_MIA,2,4,0.58,0.42,Solver,N/A
2,W1_TEN_MIA,1,6,0.72,0.28,Non-Solver,N/A
4,W1_TEN_MIA,1,4,0.38,0.62,Non-Solver,N/A
5,W1_TEN_MIA,2,2,0.5,0.5,Solver,N/A
6,W1_TEN_MIA,1,2,0.46,0.54,Non-Solver,N/A
8,W1_TEN_MIA,1,2,0.63,0.37,Non-Solver,N/A
9,W1_TEN_MIA,1,6,0.5,0.5,Non-Solver,N/A
11,W1_TEN_MIA,2,6,0.35,0.65,Solver,N/A
13,W1_TEN_MIA,1,2,0.3,0.7,Non-Solver,N/A
14,W1_TEN_MIA,1,4,0.3,0.7,Non-Solver,N/A
15,W1_TEN_MIA,2,6,0.35,0.65,Solver,N/A
16,W1_TEN_MIA,1,4,0.41,0.59,Non-Solver,N/A
17,W1_TEN_MIA,1,6,0.46,0.54,Non-Solver,N/A
20,W1_TEN_MIA,2,2,0.5,0.5,Solver,N/A
23,W1_TEN_MIA,2,2,0.5,0.5,Solver,N/A
25,W1_TEN_MIA,1,2,0.7,0.3,Non-Solver,N/A
28,W1_TEN_MIA,2,2,0.3,0.7,Solver,N/A
29,W1_TEN_MIA,2,4,0.37,0.63,Solver,N/A
30,W1_TEN_MIA,2,6,0.12,0.88,Solver,N/A
31,W1_TEN_MIA,1,6,0.55,0.45,Non-Solver,N/A
32,W1_TEN_MIA,2,2,0.5,0.5,Solver,N/A
36,W1_TEN_MIA,2,8,0.19,0.81,Solver,N/A
37,W1_TEN_MIA,1,2,0.3,0.7,Non-Solver,N/A
44,W1_TEN_MIA,2,4,0.6,0.4,Solver,N/A
45,W1_TEN_MIA,2,6,0.23,0.77,Solver,N/A
46,W1_TEN_MIA,1,4,0.4,0.6,Non-Solver,N/A
48,W1_TEN_MIA,1,2,0.45,0.55,Non-Solver,N/A
53,W1_TEN_MIA,1,2,0.5,0.5,Non-Solver,N/A
54,W1_TEN_MIA,1,2,0.5,0.5,Non-Solver,N/A
55,W1_TEN_MIA,2,6,0.5,0.5,Solver,N/A
56,W1_TEN_MIA,1,2,0.53,0.47,Non-Solver,N/A
60,W1_TEN_MIA,1,6,0.64,0.36,Non-Solver,N/A
61,W1_TEN_MIA,2,4,0.6,0.4,Solver,N/A
62,W1_TEN_MIA,2,6,0.39,0.61,Solver,N/A
64,W1_TEN_MIA,2,6,0.4,0.6,Solver,N/A
65,W1_TEN_MIA,1,4,0.55,0.45,Non-Solver,N/A
66,W1_TEN_MIA,2,10,0.23,0.77,Solver,N/A
68,W1_TEN_MIA,1,8,0.81,0.19,Non-Solver,N/A
71,W1_TEN_MIA,1,6,0.54,0.46,Non-Solver,N/A
73,W1_TEN_MIA,2,4,0.45,0.55,Solver,N/A
75,W1_TEN_MIA,2,2,0.4,0.6,Solver,N/A
76,W1_TEN_MIA,2,8,0.26,0.74,Solver,N/A
80,W1_TEN_MIA,2,8,0.83,0.17,Solver,N/A
81,W1_TEN_MIA,1,8,0.87,0.13,Non-Solver,N/A
82,W1_TEN_MIA,2,6,0.49,0.51,Solver,N/A
83,W1_TEN_MIA,1,4,0.39,0.61,Non-Solver,N/A
84,W1_TEN_MIA,2,4,0.58,0.42,Solver,N/A
86,W1_TEN_MIA,1,4,0.45,0.55,Non-Solver,N/A
87,W1_TEN_MIA,2,2,0.41,0.59,Solver,N/A
89,W1_TEN_MIA,1,6,0.6,0.4,Non-Solver,N/A
90,W1_TEN_MIA,2,8,0.45,0.55,Solver,N/A
92,W1_TEN_MIA,1,6,0.46,0.54,Non-Solver,N/A
97,W1_TEN_MIA,2,6,0.54,0.46,Solver,N/A
98,W1_TEN_MIA,1,2,0.52,0.48,Non-Solver,N/A
100,W1_TEN_MIA,2,4,0.28,0.72,Solver,N/A
103,W1_TEN_MIA,1,6,0.51,0.49,Non-Solver,N/A
104,W1_TEN_MIA,1,8,0.58,0.42,Non-Solver,N/A
105,W1_TEN_MIA,2,6,0.3,0.7,Solver,N/A
106,W1_TEN_MIA,1,6,0.68,0.32,Non-Solver,N/A
109,W1_TEN_MIA,2,4,0.49,0.51,Solver,N/A
110,W1_TEN_MIA,2,2,0.57,0.43,Solver,N/A
111,W1_TEN_MIA,1,2,0.61,0.39,Non-Solver,N/A
112,W1_TEN_MIA,2,6,0.63,0.37,Solver,N/A
115,W1_TEN_MIA,2,2,0.6,0.4,Solver,N/A
117,W1_TEN_MIA,1,6,0.55,0.45,Non-Solver,N/A
118,W1_TEN_MIA,2,2,0.6,0.4,Solver,N/A
121,W1_TEN_MIA,2,6,0.6,0.4,Solver,N/A
122,W1_TEN_MIA,2,6,0.24,0.76,Solver,N/A
125,W1_TEN_MIA,2,4,0.4,0.6,Solver,N/A
126,W1_TEN_MIA,2,4,0.45,0.55,Solver,N/A
127,W1_TEN_MIA,1,6,0.82,0.18,Non-Solver,N/A
130,W1_TEN_MIA,1,4,0.35,0.65,Non-Solver,N/A
132,W1_TEN_MIA,1,2,0.6,0.4,Non-Solver,N/A
136,W1_TEN_MIA,1,6,0.54,0.46,Non-Solver,N/A
137,W1_TEN_MIA,2,6,0.26,0.74,Solver,N/A
143,W1_TEN_MIA,1,6,0.6,0.4,Non-Solver,N/A
144,W1_TEN_MIA,1,2,0.3,0.7,Non-Solver,N/A
145,W1_TEN_MIA,1,2,0.5,0.5,Non-Solver,N/A
146,W1_TEN_MIA,2,2,0.5,0.5,Solver,N/A
147,W1_TEN_MIA,2,6,0.13,0.87,Solver,N/A
148,W1_TEN_MIA,2,10,0.11,0.89,Solver,N/A
149,W1_TEN_MIA,2,2,0.32,0.68,Solver,N/A
