Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W1_WAS_ARI,2,6,0.58,0.42,Non-Solver,N/A
2,W1_WAS_ARI,1,4,0.62,0.38,Solver,N/A
3,W1_WAS_ARI,2,2,0.6,0.4,Non-Solver,N/A
4,W1_WAS_ARI,1,2,0.51,0.49,Solver,N/A
5,W1_WAS_ARI,2,4,0.5,0.5,Non-Solver,N/A
8,W1_WAS_ARI,1,2,1.0,0.0,Solver,N/A
9,W1_WAS_ARI,2,8,0.32,0.68,Non-Solver,N/A
11,W1_WAS_ARI,1,8,0.7,0.3,Solver,N/A
14,W1_WAS_ARI,1,2,0.25,0.75,Solver,N/A
15,W1_WAS_ARI,2,6,0.4,0.6,Non-Solver,N/A
16,W1_WAS_ARI,2,6,0.45,0.55,Non-Solver,N/A
17,W1_WAS_ARI,1,2,0.34,0.66,Solver,N/A
20,W1_WAS_ARI,2,2,0.5,0.5,Non-Solver,N/A
23,W1_WAS_ARI,1,2,0.51,0.49,Solver,N/A
25,W1_WAS_ARI,2,4,0.34,0.66,Non-Solver,N/A
29,W1_WAS_ARI,2,8,0.5,0.5,Non-Solver,N/A
30,W1_WAS_ARI,1,4,0.6,0.4,Solver,N/A
32,W1_WAS_ARI,2,2,0.45,0.55,Non-Solver,N/A
37,W1_WAS_ARI,2,2,0.7,0.3,Non-Solver,N/A
44,W1_WAS_ARI,2,6,0.55,0.45,Non-Solver,N/A
45,W1_WAS_ARI,2,6,0.29,0.71,Non-Solver,N/A
46,W1_WAS_ARI,1,4,0.4,0.6,Solver,N/A
48,W1_WAS_ARI,2,2,0.65,0.35,Non-Solver,N/A
53,W1_WAS_ARI,2,2,0.5,0.5,Non-Solver,N/A
54,W1_WAS_ARI,1,2,0.5,0.5,Solver,N/A
55,W1_WAS_ARI,2,4,0.5,0.5,Non-Solver,N/A
56,W1_WAS_ARI,1,4,0.68,0.32,Solver,N/A
58,W1_WAS_ARI,2,2,0.6,0.4,Non-Solver,N/A
60,W1_WAS_ARI,2,6,0.28,0.72,Non-Solver,N/A
62,W1_WAS_ARI,2,2,0.4,0.6,Non-Solver,N/A
64,W1_WAS_ARI,2,2,0.5,0.5,Non-Solver,N/A
65,W1_WAS_ARI,1,6,0.55,0.45,Solver,N/A
66,W1_WAS_ARI,1,8,0.63,0.37,Solver,N/A
68,W1_WAS_ARI,1,10,0.1,0.9,Solver,N/A
73,W1_WAS_ARI,2,2,0.5,0.5,Non-Solver,N/A
76,W1_WAS_ARI,2,8,0.23,0.77,Non-Solver,N/A
81,W1_WAS_ARI,2,10,0.04,0.96,Non-Solver,N/A
82,W1_WAS_ARI,2,6,0.55,0.45,Non-Solver,N/A
84,W1_WAS_ARI,1,4,0.42,0.58,Solver,N/A
87,W1_WAS_ARI,2,2,0.65,0.35,Non-Solver,N/A
88,W1_WAS_ARI,1,6,0.62,0.38,Solver,N/A
89,W1_WAS_ARI,2,6,0.4,0.6,Non-Solver,N/A
90,W1_WAS_ARI,2,2,0.7,0.3,Non-Solver,N/A
92,W1_WAS_ARI,1,6,0.41,0.59,Solver,N/A
97,W1_WAS_ARI,2,4,0.61,0.39,Non-Solver,N/A
98,W1_WAS_ARI,2,8,0.34,0.66,Non-Solver,N/A
100,W1_WAS_ARI,1,2,0.38,0.62,Solver,N/A
103,W1_WAS_ARI,2,4,0.8,0.2,Non-Solver,N/A
104,W1_WAS_ARI,1,6,0.44,0.56,Solver,N/A
105,W1_WAS_ARI,2,2,0.5,0.5,Non-Solver,N/A
106,W1_WAS_ARI,2,6,0.25,0.75,Non-Solver,N/A
109,W1_WAS_ARI,1,6,0.51,0.49,Solver,N/A
110,W1_WAS_ARI,2,2,0.54,0.46,Non-Solver,N/A
111,W1_WAS_ARI,1,6,0.66,0.34,Solver,N/A
117,W1_WAS_ARI,2,4,0.64,0.36,Non-Solver,N/A
118,W1_WAS_ARI,1,2,0.74,0.26,Solver,N/A
121,W1_WAS_ARI,2,6,0.44,0.56,Non-Solver,N/A
122,W1_WAS_ARI,2,4,0.59,0.41,Non-Solver,N/A
126,W1_WAS_ARI,1,6,0.67,0.33,Solver,N/A
127,W1_WAS_ARI,1,6,0.72,0.28,Solver,N/A
130,W1_WAS_ARI,1,4,0.32,0.68,Solver,N/A
132,W1_WAS_ARI,1,4,0.5,0.5,Solver,N/A
136,W1_WAS_ARI,2,6,0.46,0.54,Non-Solver,N/A
137,W1_WAS_ARI,1,6,0.79,0.21,Solver,N/A
143,W1_WAS_ARI,2,2,0.49,0.51,Non-Solver,N/A
144,W1_WAS_ARI,2,6,0.74,0.26,Non-Solver,N/A
147,W1_WAS_ARI,1,8,0.82,0.18,Solver,N/A
148,W1_WAS_ARI,2,2,0.95,0.05,Non-Solver,N/A
149,W1_WAS_ARI,2,2,0.4,0.6,Non-Solver,N/A
152,W1_WAS_ARI,2,2,0.5,0.5,Non-Solver,N/A
158,W1_WAS_ARI,1,2,0.8,0.2,Solver,N/A
165,W1_WAS_ARI,1,6,0.61,0.39,Solver,N/A
166,W1_WAS_ARI,1,6,0.38,0.62,Solver,N/A
171,W1_WAS_ARI,2,2,0.61,0.39,Non-Solver,N/A
175,W1_WAS_ARI,2,6,0.33,0.67,Non-Solver,N/A
180,W1_WAS_ARI,1,6,0.5,0.5,Solver,N/A
188,W1_WAS_ARI,2,6,0.15,0.85,Non-Solver,N/A
190,W1_WAS_ARI,1,6,0.82,0.18,Solver,N/A
195,W1_WAS_ARI,1,2,0.36,0.64,Solver,N/A
196,W1_WAS_ARI,1,6,0.63,0.37,Solver,N/A
198,W1_WAS_ARI,1,6,0.59,0.41,Solver,N/A
199,W1_WAS_ARI,1,2,0.41,0.59,Solver,N/A
200,W1_WAS_ARI,2,6,0.2,0.8,Non-Solver,N/A
201,W1_WAS_ARI,2,4,0.66,0.34,Non-Solver,N/A
203,W1_WAS_ARI,1,2,0.36,0.64,Solver,N/A
207,W1_WAS_ARI,1,4,0.3,0.7,Solver,N/A
208,W1_WAS_ARI,2,6,0.47,0.53,Non-Solver,N/A
209,W1_WAS_ARI,2,2,0.49,0.51,Non-Solver,N/A
