Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,W2_DAL_NYG,2,12,0.09,0.91,Non-Solver,N/A
6,W2_DAL_NYG,2,8,0.47,0.53,Non-Solver,N/A
8,W2_DAL_NYG,1,2,0.03,0.97,Solver,N/A
9,W2_DAL_NYG,1,12,0.75,0.25,Solver,N/A
10,W2_DAL_NYG,2,12,0.2,0.8,Non-Solver,N/A
11,W2_DAL_NYG,1,12,0.7,0.3,Solver,N/A
14,W2_DAL_NYG,2,8,0.74,0.26,Non-Solver,N/A
16,W2_DAL_NYG,1,12,0.7,0.3,Solver,N/A
24,W2_DAL_NYG,1,10,0.79,0.21,Solver,N/A
25,W2_DAL_NYG,2,10,0.23,0.77,Non-Solver,N/A
26,W2_DAL_NYG,2,8,0.81,0.19,Non-Solver,N/A
27,W2_DAL_NYG,1,10,0.7,0.3,Solver,N/A
28,W2_DAL_NYG,1,2,0.78,0.22,Solver,N/A
32,W2_DAL_NYG,1,2,0.4,0.6,Solver,N/A
33,W2_DAL_NYG,2,2,0.5,0.5,Non-Solver,N/A
44,W2_DAL_NYG,2,2,0.75,0.25,Non-Solver,N/A
45,W2_DAL_NYG,2,14,0.16,0.84,Non-Solver,N/A
46,W2_DAL_NYG,2,12,0.29,0.71,Non-Solver,N/A
48,W2_DAL_NYG,2,10,0.44,0.56,Non-Solver,N/A
53,W2_DAL_NYG,1,8,0.55,0.45,Solver,N/A
54,W2_DAL_NYG,2,2,0.5,0.5,Non-Solver,N/A
55,W2_DAL_NYG,1,12,0.91,0.09,Solver,N/A
56,W2_DAL_NYG,2,2,0.25,0.75,Non-Solver,N/A
58,W2_DAL_NYG,1,2,0.8,0.2,Solver,N/A
60,W2_DAL_NYG,1,10,0.66,0.34,Solver,N/A
62,W2_DAL_NYG,1,12,0.85,0.15,Solver,N/A
63,W2_DAL_NYG,2,2,0.9,0.1,Non-Solver,N/A
64,W2_DAL_NYG,2,2,0.68,0.32,Non-Solver,N/A
66,W2_DAL_NYG,1,2,0.49,0.51,Solver,N/A
67,W2_DAL_NYG,1,10,0.8,0.2,Solver,N/A
73,W2_DAL_NYG,2,8,0.5,0.5,Non-Solver,N/A
76,W2_DAL_NYG,2,12,0.34,0.66,Non-Solver,N/A
77,W2_DAL_NYG,1,12,0.81,0.19,Solver,N/A
