Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W2_DET_SF,2,6,0.3,0.7,Solver,N/A
4,W2_DET_SF,2,6,0.31,0.69,Solver,N/A
6,W2_DET_SF,2,2,0.63,0.37,Solver,N/A
8,W2_DET_SF,1,2,0.03,0.97,Non-Solver,N/A
9,W2_DET_SF,2,8,0.19,0.81,Solver,N/A
10,W2_DET_SF,2,8,0.4,0.6,Solver,N/A
11,W2_DET_SF,2,6,0.4,0.6,Solver,N/A
13,W2_DET_SF,2,2,0.27,0.73,Solver,N/A
14,W2_DET_SF,2,4,0.73,0.27,Solver,N/A
15,W2_DET_SF,1,6,0.4,0.6,Non-Solver,N/A
16,W2_DET_SF,2,8,0.42,0.58,Solver,N/A
20,W2_DET_SF,2,2,0.19,0.81,Solver,N/A
21,W2_DET_SF,2,2,0.21,0.79,Solver,N/A
24,W2_DET_SF,2,6,0.17,0.83,Solver,N/A
25,W2_DET_SF,2,6,0.27,0.73,Solver,N/A
26,W2_DET_SF,2,4,0.85,0.15,Solver,N/A
27,W2_DET_SF,2,8,0.4,0.6,Solver,N/A
28,W2_DET_SF,2,2,0.2,0.8,Solver,N/A
30,W2_DET_SF,2,4,0.39,0.61,Solver,N/A
32,W2_DET_SF,1,2,0.63,0.37,Non-Solver,N/A
33,W2_DET_SF,2,2,0.5,0.5,Solver,N/A
44,W2_DET_SF,1,6,0.6,0.4,Non-Solver,N/A
45,W2_DET_SF,2,8,0.3,0.7,Solver,N/A
46,W2_DET_SF,2,10,0.35,0.65,Solver,N/A
48,W2_DET_SF,1,6,0.36,0.64,Non-Solver,N/A
53,W2_DET_SF,2,2,0.5,0.5,Solver,N/A
54,W2_DET_SF,2,4,0.6,0.4,Solver,N/A
56,W2_DET_SF,2,2,0.11,0.89,Solver,N/A
60,W2_DET_SF,2,8,0.23,0.77,Solver,N/A
62,W2_DET_SF,2,6,0.17,0.83,Solver,N/A
63,W2_DET_SF,2,6,0.2,0.8,Solver,N/A
64,W2_DET_SF,2,2,0.59,0.41,Solver,N/A
66,W2_DET_SF,2,2,0.68,0.32,Solver,N/A
67,W2_DET_SF,2,6,0.4,0.6,Solver,N/A
73,W2_DET_SF,1,2,0.51,0.49,Non-Solver,N/A
76,W2_DET_SF,1,6,0.61,0.39,Non-Solver,N/A
77,W2_DET_SF,2,8,0.16,0.84,Solver,N/A
82,W2_DET_SF,2,8,0.14,0.86,Solver,N/A
84,W2_DET_SF,1,4,0.4,0.6,Non-Solver,N/A
85,W2_DET_SF,2,2,0.38,0.62,Solver,N/A
88,W2_DET_SF,2,4,0.52,0.48,Solver,N/A
89,W2_DET_SF,1,6,0.6,0.4,Non-Solver,N/A
92,W2_DET_SF,2,6,0.51,0.49,Solver,N/A
