Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W2_KC_PIT,2,10,0.4,0.6,Non-Solver,N/A
4,W2_KC_PIT,2,14,0.15,0.85,Non-Solver,N/A
6,W2_KC_PIT,2,14,0.0,1.0,Non-Solver,N/A
7,W2_KC_PIT,2,10,0.19,0.81,Non-Solver,N/A
8,W2_KC_PIT,2,2,0.97,0.03,Non-Solver,N/A
9,W2_KC_PIT,1,10,0.38,0.62,Solver,N/A
10,W2_KC_PIT,2,12,0.19,0.81,Non-Solver,N/A
11,W2_KC_PIT,2,12,0.3,0.7,Non-Solver,N/A
13,W2_KC_PIT,2,8,0.5,0.5,Non-Solver,N/A
14,W2_KC_PIT,2,2,0.88,0.12,Non-Solver,N/A
15,W2_KC_PIT,2,10,0.4,0.6,Non-Solver,N/A
16,W2_KC_PIT,2,2,0.5,0.5,Non-Solver,N/A
20,W2_KC_PIT,2,2,0.4,0.6,Non-Solver,N/A
21,W2_KC_PIT,2,10,0.4,0.6,Non-Solver,N/A
25,W2_KC_PIT,2,10,0.34,0.66,Non-Solver,N/A
26,W2_KC_PIT,2,8,0.85,0.15,Non-Solver,N/A
27,W2_KC_PIT,2,12,0.25,0.75,Non-Solver,N/A
28,W2_KC_PIT,2,2,0.38,0.62,Non-Solver,N/A
30,W2_KC_PIT,2,2,0.39,0.61,Non-Solver,N/A
32,W2_KC_PIT,2,2,0.44,0.56,Non-Solver,N/A
33,W2_KC_PIT,1,2,0.5,0.5,Solver,N/A
37,W2_KC_PIT,2,2,0.5,0.5,Non-Solver,N/A
44,W2_KC_PIT,2,12,0.1,0.9,Non-Solver,N/A
45,W2_KC_PIT,2,14,0.05,0.95,Non-Solver,N/A
46,W2_KC_PIT,2,12,0.12,0.88,Non-Solver,N/A
48,W2_KC_PIT,2,10,0.49,0.51,Non-Solver,N/A
53,W2_KC_PIT,2,2,0.5,0.5,Non-Solver,N/A
54,W2_KC_PIT,2,10,0.35,0.65,Non-Solver,N/A
55,W2_KC_PIT,2,10,0.4,0.6,Non-Solver,N/A
56,W2_KC_PIT,2,2,0.46,0.54,Non-Solver,N/A
60,W2_KC_PIT,1,10,0.57,0.43,Solver,N/A
62,W2_KC_PIT,2,12,0.2,0.8,Non-Solver,N/A
63,W2_KC_PIT,2,8,0.5,0.5,Non-Solver,N/A
64,W2_KC_PIT,1,10,0.35,0.65,Solver,N/A
66,W2_KC_PIT,2,10,0.57,0.43,Non-Solver,N/A
67,W2_KC_PIT,2,10,0.2,0.8,Non-Solver,N/A
68,W2_KC_PIT,1,10,0.31,0.69,Solver,N/A
73,W2_KC_PIT,2,8,0.5,0.5,Non-Solver,N/A
74,W2_KC_PIT,2,8,0.4,0.6,Non-Solver,N/A
76,W2_KC_PIT,2,10,0.44,0.56,Non-Solver,N/A
77,W2_KC_PIT,2,10,0.07,0.93,Non-Solver,N/A
82,W2_KC_PIT,2,14,0.18,0.82,Non-Solver,N/A
