Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,W2_LAC_BUF,1,8,0.83,0.17,Solver,N/A
6,W2_LAC_BUF,1,6,0.48,0.52,Solver,N/A
8,W2_LAC_BUF,1,2,0.3,0.7,Solver,N/A
9,W2_LAC_BUF,1,10,0.82,0.18,Solver,N/A
11,W2_LAC_BUF,1,6,0.4,0.6,Solver,N/A
13,W2_LAC_BUF,1,2,0.7,0.3,Solver,N/A
14,W2_LAC_BUF,1,4,0.41,0.59,Solver,N/A
15,W2_LAC_BUF,1,6,0.4,0.6,Solver,N/A
16,W2_LAC_BUF,1,8,0.61,0.39,Solver,N/A
20,W2_LAC_BUF,1,2,0.71,0.29,Solver,N/A
21,W2_LAC_BUF,1,6,0.81,0.19,Solver,N/A
24,W2_LAC_BUF,1,8,0.92,0.08,Solver,N/A
25,W2_LAC_BUF,1,6,0.66,0.34,Solver,N/A
26,W2_LAC_BUF,1,4,0.2,0.8,Solver,N/A
27,W2_LAC_BUF,1,6,0.7,0.3,Solver,N/A
28,W2_LAC_BUF,1,2,0.75,0.25,Solver,N/A
30,W2_LAC_BUF,1,4,0.59,0.41,Solver,N/A
32,W2_LAC_BUF,1,2,0.62,0.38,Solver,N/A
33,W2_LAC_BUF,1,2,0.5,0.5,Solver,N/A
44,W2_LAC_BUF,1,6,0.4,0.6,Solver,N/A
45,W2_LAC_BUF,1,6,0.47,0.53,Solver,N/A
46,W2_LAC_BUF,1,6,0.33,0.67,Solver,N/A
48,W2_LAC_BUF,1,8,0.81,0.19,Solver,N/A
53,W2_LAC_BUF,1,4,0.55,0.45,Solver,N/A
54,W2_LAC_BUF,1,6,0.55,0.45,Solver,N/A
55,W2_LAC_BUF,1,8,1.0,0.0,Solver,N/A
56,W2_LAC_BUF,1,2,0.63,0.37,Solver,N/A
58,W2_LAC_BUF,1,2,0.6,0.4,Solver,N/A
60,W2_LAC_BUF,1,10,0.98,0.02,Solver,N/A
62,W2_LAC_BUF,1,8,0.81,0.19,Solver,N/A
63,W2_LAC_BUF,1,6,0.7,0.3,Solver,N/A
64,W2_LAC_BUF,1,10,0.7,0.3,Solver,N/A
66,W2_LAC_BUF,1,8,0.9,0.1,Solver,N/A
67,W2_LAC_BUF,1,10,1.0,0.0,Solver,N/A
68,W2_LAC_BUF,1,8,0.8,0.2,Solver,N/A
73,W2_LAC_BUF,2,2,0.5,0.5,Non-Solver,N/A
74,W2_LAC_BUF,1,4,0.6,0.4,Solver,N/A
77,W2_LAC_BUF,1,6,0.74,0.26,Solver,N/A
82,W2_LAC_BUF,2,6,0.38,0.62,Non-Solver,N/A
83,W2_LAC_BUF,1,4,0.51,0.49,Solver,N/A
84,W2_LAC_BUF,2,4,0.57,0.43,Non-Solver,N/A
88,W2_LAC_BUF,1,4,0.48,0.52,Solver,N/A
92,W2_LAC_BUF,1,8,0.6,0.4,Solver,N/A
96,W2_LAC_BUF,2,4,0.58,0.42,Non-Solver,N/A
97,W2_LAC_BUF,2,6,0.55,0.45,Non-Solver,N/A
101,W2_LAC_BUF,1,6,0.6,0.4,Solver,N/A
103,W2_LAC_BUF,1,6,0.3,0.7,Solver,N/A
104,W2_LAC_BUF,1,6,0.56,0.44,Solver,N/A
105,W2_LAC_BUF,1,2,0.5,0.5,Solver,N/A
