Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W2_MIA_NYJ,1,2,0.45,0.55,Solver,N/A
4,W2_MIA_NYJ,2,8,0.24,0.76,Non-Solver,N/A
6,W2_MIA_NYJ,2,4,0.56,0.44,Non-Solver,N/A
8,W2_MIA_NYJ,2,2,0.97,0.03,Non-Solver,N/A
9,W2_MIA_NYJ,1,6,0.49,0.51,Solver,N/A
11,W2_MIA_NYJ,2,4,0.49,0.51,Non-Solver,N/A
13,W2_MIA_NYJ,2,2,0.7,0.3,Non-Solver,N/A
14,W2_MIA_NYJ,2,4,0.76,0.24,Non-Solver,N/A
16,W2_MIA_NYJ,2,6,0.37,0.63,Non-Solver,N/A
21,W2_MIA_NYJ,2,10,0.1,0.9,Non-Solver,N/A
24,W2_MIA_NYJ,2,6,0.3,0.7,Non-Solver,N/A
25,W2_MIA_NYJ,2,2,0.4,0.6,Non-Solver,N/A
26,W2_MIA_NYJ,2,4,0.8,0.2,Non-Solver,N/A
27,W2_MIA_NYJ,1,8,0.7,0.3,Solver,N/A
28,W2_MIA_NYJ,1,2,0.79,0.21,Solver,N/A
30,W2_MIA_NYJ,1,4,0.56,0.44,Solver,N/A
32,W2_MIA_NYJ,2,2,0.5,0.5,Non-Solver,N/A
33,W2_MIA_NYJ,2,2,0.5,0.5,Non-Solver,N/A
44,W2_MIA_NYJ,2,6,0.7,0.3,Non-Solver,N/A
45,W2_MIA_NYJ,1,8,0.76,0.24,Solver,N/A
46,W2_MIA_NYJ,1,6,0.73,0.27,Solver,N/A
48,W2_MIA_NYJ,2,2,0.69,0.31,Non-Solver,N/A
53,W2_MIA_NYJ,1,2,0.5,0.5,Solver,N/A
54,W2_MIA_NYJ,1,4,0.39,0.61,Solver,N/A
55,W2_MIA_NYJ,2,6,0.4,0.6,Non-Solver,N/A
56,W2_MIA_NYJ,1,2,0.54,0.46,Solver,N/A
60,W2_MIA_NYJ,1,6,0.68,0.32,Solver,N/A
62,W2_MIA_NYJ,2,8,0.19,0.81,Non-Solver,N/A
63,W2_MIA_NYJ,2,4,0.6,0.4,Non-Solver,N/A
64,W2_MIA_NYJ,2,6,0.35,0.65,Non-Solver,N/A
66,W2_MIA_NYJ,1,8,0.59,0.41,Solver,N/A
67,W2_MIA_NYJ,1,2,0.6,0.4,Solver,N/A
73,W2_MIA_NYJ,2,2,0.5,0.5,Non-Solver,N/A
74,W2_MIA_NYJ,1,4,0.6,0.4,Solver,N/A
76,W2_MIA_NYJ,2,8,0.36,0.64,Non-Solver,N/A
77,W2_MIA_NYJ,1,6,0.68,0.32,Solver,N/A
82,W2_MIA_NYJ,2,6,0.35,0.65,Non-Solver,N/A
83,W2_MIA_NYJ,2,6,0.39,0.61,Non-Solver,N/A
84,W2_MIA_NYJ,2,4,0.56,0.44,Non-Solver,N/A
85,W2_MIA_NYJ,1,2,0.42,0.58,Solver,N/A
88,W2_MIA_NYJ,1,4,0.45,0.55,Solver,N/A
89,W2_MIA_NYJ,2,6,0.28,0.72,Non-Solver,N/A
92,W2_MIA_NYJ,2,10,0.65,0.35,Non-Solver,N/A
95,W2_MIA_NYJ,1,4,0.4,0.6,Solver,N/A
97,W2_MIA_NYJ,1,10,0.64,0.36,Solver,N/A
101,W2_MIA_NYJ,2,6,0.35,0.65,Non-Solver,N/A
103,W2_MIA_NYJ,1,6,0.54,0.46,Solver,N/A
104,W2_MIA_NYJ,2,8,0.36,0.64,Non-Solver,N/A
105,W2_MIA_NYJ,1,6,0.5,0.5,Solver,N/A
106,W2_MIA_NYJ,1,6,0.62,0.38,Solver,N/A
109,W2_MIA_NYJ,1,4,0.51,0.49,Solver,N/A
113,W2_MIA_NYJ,2,8,0.23,0.77,Non-Solver,N/A
117,W2_MIA_NYJ,2,6,0.4,0.6,Non-Solver,N/A
118,W2_MIA_NYJ,2,4,0.19,0.81,Non-Solver,N/A
121,W2_MIA_NYJ,2,8,0.25,0.75,Non-Solver,N/A
122,W2_MIA_NYJ,2,6,0.27,0.73,Non-Solver,N/A
124,W2_MIA_NYJ,2,6,0.5,0.5,Non-Solver,N/A
126,W2_MIA_NYJ,1,2,0.51,0.49,Solver,N/A
128,W2_MIA_NYJ,1,6,0.61,0.39,Solver,N/A
130,W2_MIA_NYJ,1,6,0.64,0.36,Solver,N/A
132,W2_MIA_NYJ,2,6,0.4,0.6,Non-Solver,N/A
137,W2_MIA_NYJ,2,2,0.5,0.5,Non-Solver,N/A
142,W2_MIA_NYJ,1,2,0.0,1.0,Solver,N/A
143,W2_MIA_NYJ,1,10,0.86,0.14,Solver,N/A
144,W2_MIA_NYJ,2,2,0.6,0.4,Non-Solver,N/A
145,W2_MIA_NYJ,1,4,0.7,0.3,Solver,N/A
149,W2_MIA_NYJ,2,6,0.21,0.79,Non-Solver,N/A
150,W2_MIA_NYJ,1,4,0.6,0.4,Solver,N/A
153,W2_MIA_NYJ,1,2,0.49,0.51,Solver,N/A
160,W2_MIA_NYJ,2,2,0.71,0.29,Non-Solver,N/A
166,W2_MIA_NYJ,2,6,0.32,0.68,Non-Solver,N/A
167,W2_MIA_NYJ,2,6,0.79,0.21,Non-Solver,N/A
171,W2_MIA_NYJ,1,2,0.1,0.9,Solver,N/A
172,W2_MIA_NYJ,1,2,0.7,0.3,Solver,N/A
175,W2_MIA_NYJ,2,6,0.57,0.43,Non-Solver,N/A
180,W2_MIA_NYJ,2,6,0.3,0.7,Non-Solver,N/A
182,W2_MIA_NYJ,2,2,0.6,0.4,Non-Solver,N/A
186,W2_MIA_NYJ,1,2,0.81,0.19,Solver,N/A
187,W2_MIA_NYJ,1,4,0.21,0.79,Solver,N/A
189,W2_MIA_NYJ,2,6,0.69,0.31,Non-Solver,N/A
191,W2_MIA_NYJ,1,2,0.65,0.35,Solver,N/A
196,W2_MIA_NYJ,2,4,0.62,0.38,Non-Solver,N/A
197,W2_MIA_NYJ,2,8,0.26,0.74,Non-Solver,N/A
200,W2_MIA_NYJ,1,6,0.85,0.15,Solver,N/A
203,W2_MIA_NYJ,1,2,0.35,0.65,Solver,N/A
207,W2_MIA_NYJ,1,2,0.1,0.9,Solver,N/A
211,W2_MIA_NYJ,2,6,0.49,0.51,Non-Solver,N/A
212,W2_MIA_NYJ,2,6,0.2,0.8,Non-Solver,N/A
214,W2_MIA_NYJ,1,4,0.44,0.56,Solver,N/A
215,W2_MIA_NYJ,2,6,0.3,0.7,Non-Solver,N/A
216,W2_MIA_NYJ,1,4,0.52,0.48,Solver,N/A
219,W2_MIA_NYJ,2,2,0.93,0.07,Non-Solver,N/A
220,W2_MIA_NYJ,2,4,0.42,0.58,Non-Solver,N/A
221,W2_MIA_NYJ,2,6,0.4,0.6,Non-Solver,N/A
222,W2_MIA_NYJ,1,2,0.51,0.49,Solver,N/A
