Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W2_MIN_GB,2,6,0.35,0.65,Non-Solver,N/A
4,W2_MIN_GB,2,6,0.36,0.64,Non-Solver,N/A
7,W2_MIN_GB,2,6,0.23,0.77,Non-Solver,N/A
8,W2_MIN_GB,2,2,0.97,0.03,Non-Solver,N/A
9,W2_MIN_GB,2,6,0.42,0.58,Non-Solver,N/A
11,W2_MIN_GB,2,10,0.49,0.51,Non-Solver,N/A
13,W2_MIN_GB,2,6,0.3,0.7,Non-Solver,N/A
14,W2_MIN_GB,2,2,0.87,0.13,Non-Solver,N/A
15,W2_MIN_GB,1,6,0.6,0.4,Solver,N/A
16,W2_MIN_GB,2,6,0.45,0.55,Non-Solver,N/A
20,W2_MIN_GB,2,2,0.29,0.71,Non-Solver,N/A
21,W2_MIN_GB,2,4,0.39,0.61,Non-Solver,N/A
25,W2_MIN_GB,2,8,0.24,0.76,Non-Solver,N/A
26,W2_MIN_GB,1,4,0.28,0.72,Solver,N/A
27,W2_MIN_GB,2,6,0.4,0.6,Non-Solver,N/A
28,W2_MIN_GB,2,2,0.45,0.55,Non-Solver,N/A
30,W2_MIN_GB,2,4,0.41,0.59,Non-Solver,N/A
32,W2_MIN_GB,2,2,0.56,0.44,Non-Solver,N/A
33,W2_MIN_GB,1,2,0.5,0.5,Solver,N/A
44,W2_MIN_GB,2,8,0.25,0.75,Non-Solver,N/A
45,W2_MIN_GB,2,8,0.36,0.64,Non-Solver,N/A
46,W2_MIN_GB,2,8,0.31,0.69,Non-Solver,N/A
48,W2_MIN_GB,2,4,0.65,0.35,Non-Solver,N/A
53,W2_MIN_GB,2,2,0.5,0.5,Non-Solver,N/A
54,W2_MIN_GB,2,6,0.3,0.7,Non-Solver,N/A
55,W2_MIN_GB,2,8,0.19,0.81,Non-Solver,N/A
56,W2_MIN_GB,2,2,0.3,0.7,Non-Solver,N/A
58,W2_MIN_GB,2,2,0.3,0.7,Non-Solver,N/A
60,W2_MIN_GB,1,6,0.75,0.25,Solver,N/A
62,W2_MIN_GB,2,8,0.18,0.82,Non-Solver,N/A
63,W2_MIN_GB,2,2,1.0,0.0,Non-Solver,N/A
64,W2_MIN_GB,1,6,0.45,0.55,Solver,N/A
66,W2_MIN_GB,2,6,0.59,0.41,Non-Solver,N/A
67,W2_MIN_GB,2,8,0.2,0.8,Non-Solver,N/A
68,W2_MIN_GB,2,6,0.3,0.7,Non-Solver,N/A
73,W2_MIN_GB,2,4,0.5,0.5,Non-Solver,N/A
76,W2_MIN_GB,2,8,0.37,0.63,Non-Solver,N/A
77,W2_MIN_GB,2,10,0.08,0.92,Non-Solver,N/A
82,W2_MIN_GB,2,6,0.41,0.59,Non-Solver,N/A
83,W2_MIN_GB,2,4,0.51,0.49,Non-Solver,N/A
84,W2_MIN_GB,2,6,0.59,0.41,Non-Solver,N/A
88,W2_MIN_GB,2,6,0.45,0.55,Non-Solver,N/A
89,W2_MIN_GB,1,6,0.61,0.39,Solver,N/A
92,W2_MIN_GB,1,6,0.4,0.6,Solver,N/A
95,W2_MIN_GB,2,4,0.28,0.72,Non-Solver,N/A
