Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W2_OAK_DEN,2,4,0.55,0.45,Solver,N/A
4,W2_OAK_DEN,1,8,0.9,0.1,Non-Solver,N/A
8,W2_OAK_DEN,1,2,0.05,0.95,Non-Solver,N/A
9,W2_OAK_DEN,1,8,0.7,0.3,Non-Solver,N/A
10,W2_OAK_DEN,2,8,0.28,0.72,Solver,N/A
11,W2_OAK_DEN,2,8,0.75,0.25,Solver,N/A
13,W2_OAK_DEN,2,6,0.21,0.79,Solver,N/A
14,W2_OAK_DEN,1,2,0.32,0.68,Non-Solver,N/A
16,W2_OAK_DEN,2,6,0.45,0.55,Solver,N/A
20,W2_OAK_DEN,1,2,0.6,0.4,Non-Solver,N/A
24,W2_OAK_DEN,2,6,0.21,0.79,Solver,N/A
25,W2_OAK_DEN,1,6,0.75,0.25,Non-Solver,N/A
26,W2_OAK_DEN,2,4,0.68,0.32,Solver,N/A
27,W2_OAK_DEN,2,6,0.35,0.65,Solver,N/A
28,W2_OAK_DEN,1,2,0.62,0.38,Non-Solver,N/A
30,W2_OAK_DEN,1,4,0.67,0.33,Non-Solver,N/A
32,W2_OAK_DEN,1,2,0.62,0.38,Non-Solver,N/A
33,W2_OAK_DEN,1,2,0.5,0.5,Non-Solver,N/A
44,W2_OAK_DEN,2,6,0.4,0.6,Solver,N/A
45,W2_OAK_DEN,1,8,0.73,0.27,Non-Solver,N/A
46,W2_OAK_DEN,2,8,0.36,0.64,Solver,N/A
48,W2_OAK_DEN,2,4,0.56,0.44,Solver,N/A
53,W2_OAK_DEN,1,2,0.5,0.5,Non-Solver,N/A
54,W2_OAK_DEN,1,6,0.6,0.4,Non-Solver,N/A
55,W2_OAK_DEN,2,8,0.1,0.9,Solver,N/A
56,W2_OAK_DEN,2,2,0.29,0.71,Solver,N/A
58,W2_OAK_DEN,2,2,0.29,0.71,Solver,N/A
60,W2_OAK_DEN,2,8,0.21,0.79,Solver,N/A
62,W2_OAK_DEN,2,8,0.17,0.83,Solver,N/A
