Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W2_PHI_TB,1,6,0.6,0.4,Non-Solver,N/A
4,W2_PHI_TB,1,8,0.89,0.11,Non-Solver,N/A
6,W2_PHI_TB,1,4,0.44,0.56,Non-Solver,N/A
7,W2_PHI_TB,1,6,0.76,0.24,Non-Solver,N/A
8,W2_PHI_TB,1,2,0.08,0.92,Non-Solver,N/A
9,W2_PHI_TB,1,8,0.82,0.18,Non-Solver,N/A
10,W2_PHI_TB,1,8,0.71,0.29,Non-Solver,N/A
11,W2_PHI_TB,1,8,0.9,0.1,Non-Solver,N/A
13,W2_PHI_TB,1,2,0.4,0.6,Non-Solver,N/A
14,W2_PHI_TB,1,2,0.19,0.81,Non-Solver,N/A
15,W2_PHI_TB,1,6,0.6,0.4,Non-Solver,N/A
16,W2_PHI_TB,1,6,0.57,0.43,Non-Solver,N/A
21,W2_PHI_TB,1,10,0.91,0.09,Non-Solver,N/A
24,W2_PHI_TB,1,6,0.4,0.6,Non-Solver,N/A
25,W2_PHI_TB,1,8,0.8,0.2,Non-Solver,N/A
26,W2_PHI_TB,1,4,0.13,0.87,Non-Solver,N/A
27,W2_PHI_TB,2,6,0.49,0.51,Solver,N/A
28,W2_PHI_TB,1,2,0.6,0.4,Non-Solver,N/A
30,W2_PHI_TB,1,4,0.61,0.39,Non-Solver,N/A
32,W2_PHI_TB,1,2,0.62,0.38,Non-Solver,N/A
33,W2_PHI_TB,1,2,0.5,0.5,Non-Solver,N/A
45,W2_PHI_TB,2,8,0.24,0.76,Solver,N/A
46,W2_PHI_TB,1,6,0.61,0.39,Non-Solver,N/A
48,W2_PHI_TB,1,8,0.51,0.49,Non-Solver,N/A
53,W2_PHI_TB,1,6,0.7,0.3,Non-Solver,N/A
54,W2_PHI_TB,1,2,0.4,0.6,Non-Solver,N/A
55,W2_PHI_TB,1,8,0.91,0.09,Non-Solver,N/A
56,W2_PHI_TB,1,2,0.54,0.46,Non-Solver,N/A
60,W2_PHI_TB,1,10,0.97,0.03,Non-Solver,N/A
62,W2_PHI_TB,1,8,0.82,0.18,Non-Solver,N/A
63,W2_PHI_TB,2,2,1.0,0.0,Solver,N/A
64,W2_PHI_TB,2,8,0.75,0.25,Solver,N/A
66,W2_PHI_TB,1,8,0.91,0.09,Non-Solver,N/A
67,W2_PHI_TB,1,8,1.0,0.0,Non-Solver,N/A
68,W2_PHI_TB,2,6,0.7,0.3,Solver,N/A
73,W2_PHI_TB,1,6,0.5,0.5,Non-Solver,N/A
74,W2_PHI_TB,1,4,0.6,0.4,Non-Solver,N/A
76,W2_PHI_TB,1,10,0.95,0.05,Non-Solver,N/A
77,W2_PHI_TB,1,8,0.85,0.15,Non-Solver,N/A
82,W2_PHI_TB,1,8,0.87,0.13,Non-Solver,N/A
83,W2_PHI_TB,1,8,0.69,0.31,Non-Solver,N/A
84,W2_PHI_TB,1,6,0.65,0.35,Non-Solver,N/A
88,W2_PHI_TB,1,6,0.56,0.44,Non-Solver,N/A
92,W2_PHI_TB,2,6,0.69,0.31,Solver,N/A
95,W2_PHI_TB,1,6,0.71,0.29,Non-Solver,N/A
96,W2_PHI_TB,1,8,0.6,0.4,Non-Solver,N/A
97,W2_PHI_TB,2,4,0.9,0.1,Solver,N/A
100,W2_PHI_TB,1,2,0.28,0.72,Non-Solver,N/A
103,W2_PHI_TB,1,6,0.38,0.62,Non-Solver,N/A
104,W2_PHI_TB,2,6,0.66,0.34,Solver,N/A
105,W2_PHI_TB,1,6,0.5,0.5,Non-Solver,N/A
106,W2_PHI_TB,1,4,0.73,0.27,Non-Solver,N/A
109,W2_PHI_TB,1,6,0.55,0.45,Non-Solver,N/A
113,W2_PHI_TB,2,4,0.74,0.26,Solver,N/A
115,W2_PHI_TB,1,2,0.58,0.42,Non-Solver,N/A
117,W2_PHI_TB,1,8,0.82,0.18,Non-Solver,N/A
118,W2_PHI_TB,1,4,0.71,0.29,Non-Solver,N/A
121,W2_PHI_TB,1,8,0.65,0.35,Non-Solver,N/A
122,W2_PHI_TB,1,8,0.86,0.14,Non-Solver,N/A
124,W2_PHI_TB,1,8,0.91,0.09,Non-Solver,N/A
126,W2_PHI_TB,1,2,0.7,0.3,Non-Solver,N/A
130,W2_PHI_TB,1,8,0.73,0.27,Non-Solver,N/A
131,W2_PHI_TB,1,8,0.61,0.39,Non-Solver,N/A
132,W2_PHI_TB,2,2,0.5,0.5,Solver,N/A
140,W2_PHI_TB,1,8,0.55,0.45,Non-Solver,N/A
142,W2_PHI_TB,2,2,1.0,0.0,Solver,N/A
143,W2_PHI_TB,2,8,0.34,0.66,Solver,N/A
144,W2_PHI_TB,1,2,0.4,0.6,Non-Solver,N/A
145,W2_PHI_TB,1,8,0.8,0.2,Non-Solver,N/A
149,W2_PHI_TB,1,6,0.62,0.38,Non-Solver,N/A
150,W2_PHI_TB,2,6,0.61,0.39,Solver,N/A
153,W2_PHI_TB,1,2,0.51,0.49,Non-Solver,N/A
156,W2_PHI_TB,1,8,0.48,0.52,Non-Solver,N/A
160,W2_PHI_TB,1,4,0.3,0.7,Non-Solver,N/A
165,W2_PHI_TB,1,8,0.8,0.2,Non-Solver,N/A
166,W2_PHI_TB,1,8,0.75,0.25,Non-Solver,N/A
167,W2_PHI_TB,1,6,0.27,0.73,Non-Solver,N/A
171,W2_PHI_TB,1,6,0.51,0.49,Non-Solver,N/A
172,W2_PHI_TB,1,4,0.9,0.1,Non-Solver,N/A
175,W2_PHI_TB,1,8,0.62,0.38,Non-Solver,N/A
180,W2_PHI_TB,1,6,0.8,0.2,Non-Solver,N/A
182,W2_PHI_TB,1,2,0.4,0.6,Non-Solver,N/A
186,W2_PHI_TB,1,6,0.63,0.37,Non-Solver,N/A
187,W2_PHI_TB,1,2,0.23,0.77,Non-Solver,N/A
189,W2_PHI_TB,1,8,0.83,0.17,Non-Solver,N/A
191,W2_PHI_TB,1,2,0.65,0.35,Non-Solver,N/A
196,W2_PHI_TB,1,8,0.44,0.56,Non-Solver,N/A
197,W2_PHI_TB,1,8,0.77,0.23,Non-Solver,N/A
200,W2_PHI_TB,1,6,0.76,0.24,Non-Solver,N/A
203,W2_PHI_TB,2,4,0.63,0.37,Solver,N/A
207,W2_PHI_TB,1,8,0.8,0.2,Non-Solver,N/A
211,W2_PHI_TB,1,6,0.54,0.46,Non-Solver,N/A
212,W2_PHI_TB,1,10,0.75,0.25,Non-Solver,N/A
214,W2_PHI_TB,1,6,0.5,0.5,Non-Solver,N/A
215,W2_PHI_TB,1,8,0.9,0.1,Non-Solver,N/A
216,W2_PHI_TB,1,8,0.83,0.17,Non-Solver,N/A
219,W2_PHI_TB,1,2,0.07,0.93,Non-Solver,N/A
220,W2_PHI_TB,1,10,1.0,0.0,Non-Solver,N/A
221,W2_PHI_TB,1,8,0.8,0.2,Non-Solver,N/A
222,W2_PHI_TB,1,10,0.88,0.12,Non-Solver,N/A
