Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W3_CIN_CAR,2,2,0.55,0.45,Solver,N/A
4,W3_CIN_CAR,2,8,0.27,0.73,Solver,N/A
6,W3_CIN_CAR,2,2,0.6,0.4,Solver,N/A
8,W3_CIN_CAR,2,4,0.83,0.17,Solver,N/A
11,W3_CIN_CAR,1,8,0.62,0.38,Non-Solver,N/A
13,W3_CIN_CAR,2,2,0.8,0.2,Solver,N/A
14,W3_CIN_CAR,2,2,0.72,0.28,Solver,N/A
15,W3_CIN_CAR,2,4,0.6,0.4,Solver,N/A
16,W3_CIN_CAR,2,6,0.44,0.56,Solver,N/A
17,W3_CIN_CAR,2,8,0.34,0.66,Solver,N/A
18,W3_CIN_CAR,2,6,0.59,0.41,Solver,N/A
21,W3_CIN_CAR,2,10,0.17,0.83,Solver,N/A
23,W3_CIN_CAR,2,8,0.2,0.8,Solver,N/A
24,W3_CIN_CAR,1,2,0.65,0.35,Non-Solver,N/A
25,W3_CIN_CAR,2,2,0.44,0.56,Solver,N/A
26,W3_CIN_CAR,2,4,0.26,0.74,Solver,N/A
27,W3_CIN_CAR,2,6,0.4,0.6,Solver,N/A
28,W3_CIN_CAR,1,2,0.6,0.4,Non-Solver,N/A
29,W3_CIN_CAR,1,4,0.45,0.55,Non-Solver,N/A
32,W3_CIN_CAR,2,2,0.48,0.52,Solver,N/A
33,W3_CIN_CAR,2,2,0.5,0.5,Solver,N/A
39,W3_CIN_CAR,1,4,0.2,0.8,Non-Solver,N/A
44,W3_CIN_CAR,2,4,0.7,0.3,Solver,N/A
45,W3_CIN_CAR,2,8,0.39,0.61,Solver,N/A
46,W3_CIN_CAR,2,6,0.25,0.75,Solver,N/A
48,W3_CIN_CAR,2,6,0.33,0.67,Solver,N/A
52,W3_CIN_CAR,2,8,0.3,0.7,Solver,N/A
53,W3_CIN_CAR,1,2,0.5,0.5,Non-Solver,N/A
54,W3_CIN_CAR,2,6,0.4,0.6,Solver,N/A
55,W3_CIN_CAR,1,2,0.0,1.0,Non-Solver,N/A
56,W3_CIN_CAR,1,2,0.35,0.65,Non-Solver,N/A
60,W3_CIN_CAR,2,8,0.14,0.86,Solver,N/A
61,W3_CIN_CAR,2,6,0.4,0.6,Solver,N/A
62,W3_CIN_CAR,2,10,0.38,0.62,Solver,N/A
64,W3_CIN_CAR,1,8,0.75,0.25,Non-Solver,N/A
65,W3_CIN_CAR,2,8,0.47,0.53,Solver,N/A
66,W3_CIN_CAR,2,6,0.71,0.29,Solver,N/A
67,W3_CIN_CAR,1,2,0.5,0.5,Non-Solver,N/A
70,W3_CIN_CAR,2,8,0.19,0.81,Solver,N/A
73,W3_CIN_CAR,2,2,0.5,0.5,Solver,N/A
74,W3_CIN_CAR,2,4,0.4,0.6,Solver,N/A
76,W3_CIN_CAR,1,6,0.63,0.37,Non-Solver,N/A
77,W3_CIN_CAR,1,2,0.0,1.0,Non-Solver,N/A
78,W3_CIN_CAR,2,2,0.59,0.41,Solver,N/A
80,W3_CIN_CAR,2,2,0.32,0.68,Solver,N/A
81,W3_CIN_CAR,1,8,0.92,0.08,Non-Solver,N/A
83,W3_CIN_CAR,2,6,0.5,0.5,Solver,N/A
84,W3_CIN_CAR,2,6,0.53,0.47,Solver,N/A
86,W3_CIN_CAR,2,6,0.4,0.6,Solver,N/A
88,W3_CIN_CAR,1,8,0.58,0.42,Non-Solver,N/A
90,W3_CIN_CAR,2,2,0.6,0.4,Solver,N/A
91,W3_CIN_CAR,2,8,0.15,0.85,Solver,N/A
97,W3_CIN_CAR,2,8,0.6,0.4,Solver,N/A
98,W3_CIN_CAR,1,4,0.61,0.39,Non-Solver,N/A
100,W3_CIN_CAR,1,2,0.61,0.39,Non-Solver,N/A
101,W3_CIN_CAR,1,10,0.87,0.13,Non-Solver,N/A
103,W3_CIN_CAR,2,6,0.75,0.25,Solver,N/A
104,W3_CIN_CAR,2,6,0.42,0.58,Solver,N/A
106,W3_CIN_CAR,1,6,0.62,0.38,Non-Solver,N/A
109,W3_CIN_CAR,2,6,0.33,0.67,Solver,N/A
110,W3_CIN_CAR,2,4,0.4,0.6,Solver,N/A
111,W3_CIN_CAR,2,8,0.48,0.52,Solver,N/A
112,W3_CIN_CAR,1,2,0.5,0.5,Non-Solver,N/A
118,W3_CIN_CAR,2,4,0.42,0.58,Solver,N/A
119,W3_CIN_CAR,2,8,0.1,0.9,Solver,N/A
121,W3_CIN_CAR,2,8,0.36,0.64,Solver,N/A
122,W3_CIN_CAR,2,6,0.34,0.66,Solver,N/A
126,W3_CIN_CAR,1,6,0.58,0.42,Non-Solver,N/A
127,W3_CIN_CAR,2,8,0.18,0.82,Solver,N/A
128,W3_CIN_CAR,2,6,0.59,0.41,Solver,N/A
129,W3_CIN_CAR,1,6,0.25,0.75,Non-Solver,N/A
132,W3_CIN_CAR,1,6,0.65,0.35,Non-Solver,N/A
134,W3_CIN_CAR,2,8,0.22,0.78,Solver,N/A
136,W3_CIN_CAR,2,4,0.92,0.08,Solver,N/A
137,W3_CIN_CAR,2,4,0.6,0.4,Solver,N/A
140,W3_CIN_CAR,2,8,0.38,0.62,Solver,N/A
142,W3_CIN_CAR,2,2,1.0,0.0,Solver,N/A
143,W3_CIN_CAR,2,6,0.51,0.49,Solver,N/A
144,W3_CIN_CAR,1,2,0.27,0.73,Non-Solver,N/A
149,W3_CIN_CAR,2,2,0.16,0.84,Solver,N/A
150,W3_CIN_CAR,1,8,0.56,0.44,Non-Solver,N/A
152,W3_CIN_CAR,2,2,0.49,0.51,Solver,N/A
156,W3_CIN_CAR,2,2,0.55,0.45,Solver,N/A
161,W3_CIN_CAR,1,2,0.71,0.29,Non-Solver,N/A
162,W3_CIN_CAR,2,4,0.58,0.42,Solver,N/A
167,W3_CIN_CAR,1,2,0.5,0.5,Non-Solver,N/A
168,W3_CIN_CAR,2,6,0.55,0.45,Solver,N/A
169,W3_CIN_CAR,2,6,0.6,0.4,Solver,N/A
171,W3_CIN_CAR,2,2,0.74,0.26,Solver,N/A
172,W3_CIN_CAR,2,2,0.31,0.69,Solver,N/A
175,W3_CIN_CAR,2,6,0.33,0.67,Solver,N/A
180,W3_CIN_CAR,2,6,0.32,0.68,Solver,N/A
182,W3_CIN_CAR,2,2,0.56,0.44,Solver,N/A
186,W3_CIN_CAR,2,2,0.9,0.1,Solver,N/A
188,W3_CIN_CAR,2,8,0.15,0.85,Solver,N/A
190,W3_CIN_CAR,1,10,0.92,0.08,Non-Solver,N/A
191,W3_CIN_CAR,2,2,0.31,0.69,Solver,N/A
195,W3_CIN_CAR,1,6,0.39,0.61,Non-Solver,N/A
196,W3_CIN_CAR,2,6,0.65,0.35,Solver,N/A
199,W3_CIN_CAR,2,2,0.68,0.32,Solver,N/A
200,W3_CIN_CAR,2,8,0.09,0.91,Solver,N/A
203,W3_CIN_CAR,2,8,0.58,0.42,Solver,N/A
204,W3_CIN_CAR,2,8,0.2,0.8,Solver,N/A
206,W3_CIN_CAR,2,6,0.39,0.61,Solver,N/A
207,W3_CIN_CAR,1,8,0.7,0.3,Non-Solver,N/A
211,W3_CIN_CAR,2,6,0.44,0.56,Solver,N/A
219,W3_CIN_CAR,2,2,0.95,0.05,Solver,N/A
224,W3_CIN_CAR,1,6,0.51,0.49,Non-Solver,N/A
225,W3_CIN_CAR,2,2,0.51,0.49,Solver,N/A
227,W3_CIN_CAR,1,6,0.8,0.2,Non-Solver,N/A
