Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W3_DAL_SEA,2,6,0.4,0.6,Solver,N/A
4,W3_DAL_SEA,1,10,0.86,0.14,Non-Solver,N/A
6,W3_DAL_SEA,2,2,0.46,0.54,Solver,N/A
8,W3_DAL_SEA,1,10,0.99,0.01,Non-Solver,N/A
9,W3_DAL_SEA,1,6,0.68,0.32,Non-Solver,N/A
11,W3_DAL_SEA,2,6,0.61,0.39,Solver,N/A
13,W3_DAL_SEA,2,6,0.2,0.8,Solver,N/A
14,W3_DAL_SEA,1,2,0.26,0.74,Non-Solver,N/A
16,W3_DAL_SEA,2,8,0.22,0.78,Solver,N/A
17,W3_DAL_SEA,2,6,0.41,0.59,Solver,N/A
18,W3_DAL_SEA,2,4,0.69,0.31,Solver,N/A
20,W3_DAL_SEA,2,2,0.38,0.62,Solver,N/A
21,W3_DAL_SEA,1,6,0.62,0.38,Non-Solver,N/A
23,W3_DAL_SEA,2,4,0.49,0.51,Solver,N/A
24,W3_DAL_SEA,2,2,0.49,0.51,Solver,N/A
25,W3_DAL_SEA,1,6,0.71,0.29,Non-Solver,N/A
26,W3_DAL_SEA,2,4,0.69,0.31,Solver,N/A
27,W3_DAL_SEA,2,6,0.35,0.65,Solver,N/A
28,W3_DAL_SEA,1,2,0.55,0.45,Non-Solver,N/A
29,W3_DAL_SEA,2,10,0.0,1.0,Solver,N/A
32,W3_DAL_SEA,1,2,0.52,0.48,Non-Solver,N/A
33,W3_DAL_SEA,1,2,0.5,0.5,Non-Solver,N/A
39,W3_DAL_SEA,2,6,0.6,0.4,Solver,N/A
44,W3_DAL_SEA,2,8,0.25,0.75,Solver,N/A
45,W3_DAL_SEA,2,10,0.05,0.95,Solver,N/A
46,W3_DAL_SEA,2,6,0.41,0.59,Solver,N/A
48,W3_DAL_SEA,2,8,0.21,0.79,Solver,N/A
50,W3_DAL_SEA,1,4,0.6,0.4,Non-Solver,N/A
51,W3_DAL_SEA,2,4,0.82,0.18,Solver,N/A
52,W3_DAL_SEA,1,8,0.71,0.29,Non-Solver,N/A
53,W3_DAL_SEA,2,2,0.5,0.5,Solver,N/A
54,W3_DAL_SEA,2,8,0.25,0.75,Solver,N/A
55,W3_DAL_SEA,2,2,0.8,0.2,Solver,N/A
56,W3_DAL_SEA,2,4,0.39,0.61,Solver,N/A
60,W3_DAL_SEA,2,6,0.4,0.6,Solver,N/A
61,W3_DAL_SEA,1,8,0.7,0.3,Non-Solver,N/A
62,W3_DAL_SEA,2,2,0.43,0.57,Solver,N/A
64,W3_DAL_SEA,2,6,0.35,0.65,Solver,N/A
65,W3_DAL_SEA,2,6,0.47,0.53,Solver,N/A
66,W3_DAL_SEA,1,10,0.49,0.51,Non-Solver,N/A
67,W3_DAL_SEA,2,6,0.21,0.79,Solver,N/A
70,W3_DAL_SEA,1,8,0.85,0.15,Non-Solver,N/A
71,W3_DAL_SEA,2,6,0.4,0.6,Solver,N/A
73,W3_DAL_SEA,2,2,0.5,0.5,Solver,N/A
74,W3_DAL_SEA,2,6,0.3,0.7,Solver,N/A
75,W3_DAL_SEA,2,8,0.31,0.69,Solver,N/A
76,W3_DAL_SEA,1,4,0.37,0.63,Non-Solver,N/A
77,W3_DAL_SEA,2,8,0.13,0.87,Solver,N/A
78,W3_DAL_SEA,1,10,0.51,0.49,Non-Solver,N/A
80,W3_DAL_SEA,1,6,0.6,0.4,Non-Solver,N/A
81,W3_DAL_SEA,1,8,0.92,0.08,Non-Solver,N/A
83,W3_DAL_SEA,1,6,0.58,0.42,Non-Solver,N/A
84,W3_DAL_SEA,1,6,0.46,0.54,Non-Solver,N/A
86,W3_DAL_SEA,2,6,0.26,0.74,Solver,N/A
88,W3_DAL_SEA,1,8,0.66,0.34,Non-Solver,N/A
89,W3_DAL_SEA,2,6,0.5,0.5,Solver,N/A
90,W3_DAL_SEA,2,2,0.9,0.1,Solver,N/A
91,W3_DAL_SEA,2,8,0.25,0.75,Solver,N/A
97,W3_DAL_SEA,1,10,0.66,0.34,Non-Solver,N/A
98,W3_DAL_SEA,1,6,0.67,0.33,Non-Solver,N/A
100,W3_DAL_SEA,1,2,0.67,0.33,Non-Solver,N/A
101,W3_DAL_SEA,1,8,0.51,0.49,Non-Solver,N/A
103,W3_DAL_SEA,2,4,0.7,0.3,Solver,N/A
104,W3_DAL_SEA,1,8,0.73,0.27,Non-Solver,N/A
106,W3_DAL_SEA,1,2,0.56,0.44,Non-Solver,N/A
109,W3_DAL_SEA,1,6,0.75,0.25,Non-Solver,N/A
110,W3_DAL_SEA,1,4,0.59,0.41,Non-Solver,N/A
111,W3_DAL_SEA,1,8,0.51,0.49,Non-Solver,N/A
112,W3_DAL_SEA,1,8,0.8,0.2,Non-Solver,N/A
113,W3_DAL_SEA,2,8,0.26,0.74,Solver,N/A
115,W3_DAL_SEA,1,2,0.58,0.42,Non-Solver,N/A
118,W3_DAL_SEA,1,4,0.36,0.64,Non-Solver,N/A
119,W3_DAL_SEA,2,8,0.2,0.8,Solver,N/A
122,W3_DAL_SEA,2,8,0.12,0.88,Solver,N/A
127,W3_DAL_SEA,2,8,0.17,0.83,Solver,N/A
128,W3_DAL_SEA,1,4,0.4,0.6,Non-Solver,N/A
129,W3_DAL_SEA,2,6,0.46,0.54,Solver,N/A
130,W3_DAL_SEA,2,4,0.62,0.38,Solver,N/A
131,W3_DAL_SEA,1,8,0.65,0.35,Non-Solver,N/A
132,W3_DAL_SEA,2,6,0.3,0.7,Solver,N/A
134,W3_DAL_SEA,1,8,0.87,0.13,Non-Solver,N/A
136,W3_DAL_SEA,2,6,0.57,0.43,Solver,N/A
140,W3_DAL_SEA,1,10,0.7,0.3,Non-Solver,N/A
142,W3_DAL_SEA,2,2,1.0,0.0,Solver,N/A
143,W3_DAL_SEA,1,4,0.35,0.65,Non-Solver,N/A
144,W3_DAL_SEA,2,2,0.61,0.39,Solver,N/A
149,W3_DAL_SEA,2,2,0.5,0.5,Solver,N/A
150,W3_DAL_SEA,2,6,0.53,0.47,Solver,N/A
152,W3_DAL_SEA,1,2,0.5,0.5,Non-Solver,N/A
155,W3_DAL_SEA,2,6,0.44,0.56,Solver,N/A
156,W3_DAL_SEA,2,4,0.42,0.58,Solver,N/A
162,W3_DAL_SEA,1,6,0.54,0.46,Non-Solver,N/A
165,W3_DAL_SEA,1,4,0.75,0.25,Non-Solver,N/A
167,W3_DAL_SEA,2,8,0.2,0.8,Solver,N/A
168,W3_DAL_SEA,2,4,0.82,0.18,Solver,N/A
169,W3_DAL_SEA,1,6,0.5,0.5,Non-Solver,N/A
171,W3_DAL_SEA,1,6,0.48,0.52,Non-Solver,N/A
172,W3_DAL_SEA,1,4,0.34,0.66,Non-Solver,N/A
175,W3_DAL_SEA,1,6,0.53,0.47,Non-Solver,N/A
180,W3_DAL_SEA,2,6,0.4,0.6,Solver,N/A
186,W3_DAL_SEA,2,6,0.53,0.47,Solver,N/A
188,W3_DAL_SEA,1,8,0.9,0.1,Non-Solver,N/A
189,W3_DAL_SEA,1,4,0.3,0.7,Non-Solver,N/A
190,W3_DAL_SEA,1,8,0.69,0.31,Non-Solver,N/A
191,W3_DAL_SEA,2,2,0.32,0.68,Solver,N/A
195,W3_DAL_SEA,1,4,0.64,0.36,Non-Solver,N/A
196,W3_DAL_SEA,2,4,0.66,0.34,Solver,N/A
199,W3_DAL_SEA,1,2,0.6,0.4,Non-Solver,N/A
200,W3_DAL_SEA,2,8,0.1,0.9,Solver,N/A
203,W3_DAL_SEA,2,2,0.57,0.43,Solver,N/A
204,W3_DAL_SEA,1,8,0.8,0.2,Non-Solver,N/A
206,W3_DAL_SEA,1,8,0.8,0.2,Non-Solver,N/A
207,W3_DAL_SEA,1,8,0.7,0.3,Non-Solver,N/A
211,W3_DAL_SEA,1,6,0.53,0.47,Non-Solver,N/A
215,W3_DAL_SEA,1,8,0.8,0.2,Non-Solver,N/A
218,W3_DAL_SEA,2,10,0.29,0.71,Solver,N/A
219,W3_DAL_SEA,2,2,0.95,0.05,Solver,N/A
221,W3_DAL_SEA,1,6,0.66,0.34,Non-Solver,N/A
224,W3_DAL_SEA,2,8,0.32,0.68,Solver,N/A
225,W3_DAL_SEA,2,4,0.37,0.63,Solver,N/A
227,W3_DAL_SEA,1,10,1.0,0.0,Non-Solver,N/A
