Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W3_NE_DET,1,10,0.7,0.3,Non-Solver,N/A
4,W3_NE_DET,1,12,0.85,0.15,Non-Solver,N/A
6,W3_NE_DET,1,2,0.38,0.62,Non-Solver,N/A
8,W3_NE_DET,2,2,0.9,0.1,Solver,N/A
9,W3_NE_DET,1,14,0.86,0.14,Non-Solver,N/A
11,W3_NE_DET,1,14,0.84,0.16,Non-Solver,N/A
13,W3_NE_DET,1,12,0.9,0.1,Non-Solver,N/A
14,W3_NE_DET,1,8,0.31,0.69,Non-Solver,N/A
15,W3_NE_DET,1,10,0.49,0.51,Non-Solver,N/A
16,W3_NE_DET,1,12,0.78,0.22,Non-Solver,N/A
17,W3_NE_DET,1,10,0.62,0.38,Non-Solver,N/A
18,W3_NE_DET,1,10,0.29,0.71,Non-Solver,N/A
20,W3_NE_DET,1,2,0.79,0.21,Non-Solver,N/A
21,W3_NE_DET,1,2,0.48,0.52,Non-Solver,N/A
23,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
24,W3_NE_DET,1,2,0.97,0.03,Non-Solver,N/A
25,W3_NE_DET,1,10,0.8,0.2,Non-Solver,N/A
26,W3_NE_DET,1,8,0.8,0.2,Non-Solver,N/A
27,W3_NE_DET,1,12,0.6,0.4,Non-Solver,N/A
28,W3_NE_DET,2,2,0.45,0.55,Solver,N/A
29,W3_NE_DET,2,8,0.45,0.55,Solver,N/A
30,W3_NE_DET,1,8,0.58,0.42,Non-Solver,N/A
31,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
32,W3_NE_DET,2,2,0.48,0.52,Solver,N/A
33,W3_NE_DET,1,2,0.5,0.5,Non-Solver,N/A
44,W3_NE_DET,1,14,0.8,0.2,Non-Solver,N/A
45,W3_NE_DET,2,10,0.26,0.74,Solver,N/A
46,W3_NE_DET,1,12,0.69,0.31,Non-Solver,N/A
48,W3_NE_DET,1,14,0.82,0.18,Non-Solver,N/A
50,W3_NE_DET,1,12,0.7,0.3,Non-Solver,N/A
51,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
52,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
53,W3_NE_DET,1,8,0.6,0.4,Non-Solver,N/A
54,W3_NE_DET,1,12,0.75,0.25,Non-Solver,N/A
55,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
56,W3_NE_DET,1,12,0.72,0.28,Non-Solver,N/A
59,W3_NE_DET,1,2,0.5,0.5,Non-Solver,N/A
60,W3_NE_DET,1,14,0.85,0.15,Non-Solver,N/A
61,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
62,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
64,W3_NE_DET,1,10,0.65,0.35,Non-Solver,N/A
65,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
66,W3_NE_DET,1,8,0.66,0.34,Non-Solver,N/A
67,W3_NE_DET,1,12,0.89,0.11,Non-Solver,N/A
70,W3_NE_DET,1,10,0.7,0.3,Non-Solver,N/A
71,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
73,W3_NE_DET,1,2,0.5,0.5,Non-Solver,N/A
75,W3_NE_DET,2,12,0.29,0.71,Solver,N/A
76,W3_NE_DET,1,14,0.95,0.05,Non-Solver,N/A
77,W3_NE_DET,1,12,0.85,0.15,Non-Solver,N/A
78,W3_NE_DET,1,2,0.4,0.6,Non-Solver,N/A
80,W3_NE_DET,1,8,0.35,0.65,Non-Solver,N/A
81,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
83,W3_NE_DET,1,12,0.65,0.35,Non-Solver,N/A
84,W3_NE_DET,1,12,0.89,0.11,Non-Solver,N/A
86,W3_NE_DET,1,10,0.55,0.45,Non-Solver,N/A
88,W3_NE_DET,1,10,0.35,0.65,Non-Solver,N/A
89,W3_NE_DET,1,10,0.65,0.35,Non-Solver,N/A
90,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
91,W3_NE_DET,1,12,0.81,0.19,Non-Solver,N/A
97,W3_NE_DET,1,14,0.43,0.57,Non-Solver,N/A
98,W3_NE_DET,1,12,0.75,0.25,Non-Solver,N/A
99,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
100,W3_NE_DET,1,2,0.32,0.68,Non-Solver,N/A
101,W3_NE_DET,1,10,0.76,0.24,Non-Solver,N/A
103,W3_NE_DET,1,10,0.36,0.64,Non-Solver,N/A
104,W3_NE_DET,1,12,0.9,0.1,Non-Solver,N/A
106,W3_NE_DET,1,12,0.7,0.3,Non-Solver,N/A
109,W3_NE_DET,1,12,0.83,0.17,Non-Solver,N/A
110,W3_NE_DET,1,8,0.6,0.4,Non-Solver,N/A
111,W3_NE_DET,1,12,0.71,0.29,Non-Solver,N/A
112,W3_NE_DET,1,14,0.8,0.2,Non-Solver,N/A
115,W3_NE_DET,1,2,0.67,0.33,Non-Solver,N/A
118,W3_NE_DET,1,8,0.8,0.2,Non-Solver,N/A
119,W3_NE_DET,1,12,0.75,0.25,Non-Solver,N/A
121,W3_NE_DET,1,12,0.65,0.35,Non-Solver,N/A
122,W3_NE_DET,1,14,0.96,0.04,Non-Solver,N/A
124,W3_NE_DET,1,14,0.7,0.3,Non-Solver,N/A
126,W3_NE_DET,1,8,0.56,0.44,Non-Solver,N/A
127,W3_NE_DET,2,12,0.13,0.87,Solver,N/A
129,W3_NE_DET,2,8,0.63,0.37,Solver,N/A
130,W3_NE_DET,1,2,0.83,0.17,Non-Solver,N/A
131,W3_NE_DET,1,10,0.61,0.39,Non-Solver,N/A
132,W3_NE_DET,1,10,0.7,0.3,Non-Solver,N/A
137,W3_NE_DET,1,14,0.86,0.14,Non-Solver,N/A
140,W3_NE_DET,1,12,0.59,0.41,Non-Solver,N/A
143,W3_NE_DET,1,10,0.58,0.42,Non-Solver,N/A
144,W3_NE_DET,1,2,0.35,0.65,Non-Solver,N/A
149,W3_NE_DET,1,2,0.35,0.65,Non-Solver,N/A
150,W3_NE_DET,1,12,0.51,0.49,Non-Solver,N/A
151,W3_NE_DET,1,10,0.62,0.38,Non-Solver,N/A
152,W3_NE_DET,1,2,0.5,0.5,Non-Solver,N/A
156,W3_NE_DET,1,10,0.66,0.34,Non-Solver,N/A
161,W3_NE_DET,1,8,0.36,0.64,Non-Solver,N/A
162,W3_NE_DET,1,10,0.51,0.49,Non-Solver,N/A
165,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
167,W3_NE_DET,1,10,0.56,0.44,Non-Solver,N/A
168,W3_NE_DET,1,8,0.33,0.67,Non-Solver,N/A
169,W3_NE_DET,1,2,0.5,0.5,Non-Solver,N/A
171,W3_NE_DET,1,10,0.51,0.49,Non-Solver,N/A
172,W3_NE_DET,1,2,0.39,0.61,Non-Solver,N/A
175,W3_NE_DET,1,14,0.86,0.14,Non-Solver,N/A
180,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
186,W3_NE_DET,1,2,0.2,0.8,Non-Solver,N/A
188,W3_NE_DET,1,10,0.86,0.14,Non-Solver,N/A
190,W3_NE_DET,1,12,0.72,0.28,Non-Solver,N/A
191,W3_NE_DET,1,2,0.64,0.36,Non-Solver,N/A
195,W3_NE_DET,1,14,0.83,0.17,Non-Solver,N/A
196,W3_NE_DET,1,10,0.71,0.29,Non-Solver,N/A
197,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
199,W3_NE_DET,1,8,0.64,0.36,Non-Solver,N/A
200,W3_NE_DET,1,14,0.99,0.01,Non-Solver,N/A
203,W3_NE_DET,1,10,0.43,0.57,Non-Solver,N/A
204,W3_NE_DET,1,12,0.91,0.09,Non-Solver,N/A
206,W3_NE_DET,1,12,0.7,0.3,Non-Solver,N/A
207,W3_NE_DET,2,10,0.6,0.4,Solver,N/A
211,W3_NE_DET,1,10,0.47,0.53,Non-Solver,N/A
215,W3_NE_DET,1,14,0.9,0.1,Non-Solver,N/A
218,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
219,W3_NE_DET,1,2,0.05,0.95,Non-Solver,N/A
221,W3_NE_DET,1,12,0.8,0.2,Non-Solver,N/A
224,W3_NE_DET,1,10,0.6,0.4,Non-Solver,N/A
225,W3_NE_DET,1,2,0.58,0.42,Non-Solver,N/A
227,W3_NE_DET,1,14,1.0,0.0,Non-Solver,N/A
