Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W3_NYJ_CLE,1,4,0.4,0.6,Non-Solver,N/A
4,W3_NYJ_CLE,1,6,0.63,0.37,Non-Solver,N/A
6,W3_NYJ_CLE,1,2,0.36,0.64,Non-Solver,N/A
8,W3_NYJ_CLE,2,2,0.83,0.17,Solver,N/A
9,W3_NYJ_CLE,2,10,0.28,0.72,Solver,N/A
11,W3_NYJ_CLE,1,10,0.88,0.12,Non-Solver,N/A
13,W3_NYJ_CLE,1,4,0.3,0.7,Non-Solver,N/A
14,W3_NYJ_CLE,1,2,0.25,0.75,Non-Solver,N/A
16,W3_NYJ_CLE,1,4,0.21,0.79,Non-Solver,N/A
17,W3_NYJ_CLE,1,6,0.67,0.33,Non-Solver,N/A
18,W3_NYJ_CLE,2,4,0.79,0.21,Solver,N/A
20,W3_NYJ_CLE,1,2,0.7,0.3,Non-Solver,N/A
21,W3_NYJ_CLE,1,8,0.7,0.3,Non-Solver,N/A
23,W3_NYJ_CLE,1,4,0.52,0.48,Non-Solver,N/A
24,W3_NYJ_CLE,2,6,0.66,0.34,Solver,N/A
25,W3_NYJ_CLE,1,2,0.64,0.36,Non-Solver,N/A
26,W3_NYJ_CLE,1,4,0.34,0.66,Non-Solver,N/A
27,W3_NYJ_CLE,1,6,0.6,0.4,Non-Solver,N/A
28,W3_NYJ_CLE,1,2,0.39,0.61,Non-Solver,N/A
29,W3_NYJ_CLE,2,6,0.34,0.66,Solver,N/A
30,W3_NYJ_CLE,1,2,0.27,0.73,Non-Solver,N/A
31,W3_NYJ_CLE,1,8,0.8,0.2,Non-Solver,N/A
32,W3_NYJ_CLE,1,2,0.52,0.48,Non-Solver,N/A
33,W3_NYJ_CLE,1,2,0.5,0.5,Non-Solver,N/A
44,W3_NYJ_CLE,1,8,0.8,0.2,Non-Solver,N/A
45,W3_NYJ_CLE,2,6,0.42,0.58,Solver,N/A
46,W3_NYJ_CLE,1,6,0.59,0.41,Non-Solver,N/A
48,W3_NYJ_CLE,2,2,0.34,0.66,Solver,N/A
50,W3_NYJ_CLE,2,6,0.6,0.4,Solver,N/A
51,W3_NYJ_CLE,1,6,0.66,0.34,Non-Solver,N/A
52,W3_NYJ_CLE,2,10,0.8,0.2,Solver,N/A
53,W3_NYJ_CLE,1,2,0.5,0.5,Non-Solver,N/A
54,W3_NYJ_CLE,2,4,0.75,0.25,Solver,N/A
55,W3_NYJ_CLE,2,4,0.59,0.41,Solver,N/A
56,W3_NYJ_CLE,1,2,0.53,0.47,Non-Solver,N/A
60,W3_NYJ_CLE,1,6,0.59,0.41,Non-Solver,N/A
61,W3_NYJ_CLE,1,10,0.8,0.2,Non-Solver,N/A
64,W3_NYJ_CLE,1,6,0.65,0.35,Non-Solver,N/A
65,W3_NYJ_CLE,2,6,0.47,0.53,Solver,N/A
66,W3_NYJ_CLE,1,6,0.42,0.58,Non-Solver,N/A
70,W3_NYJ_CLE,2,6,0.5,0.5,Solver,N/A
71,W3_NYJ_CLE,2,8,0.71,0.29,Solver,N/A
73,W3_NYJ_CLE,2,2,0.5,0.5,Solver,N/A
75,W3_NYJ_CLE,1,6,0.65,0.35,Non-Solver,N/A
76,W3_NYJ_CLE,1,6,0.57,0.43,Non-Solver,N/A
77,W3_NYJ_CLE,1,6,0.66,0.34,Non-Solver,N/A
78,W3_NYJ_CLE,1,2,0.41,0.59,Non-Solver,N/A
80,W3_NYJ_CLE,1,2,0.92,0.08,Non-Solver,N/A
81,W3_NYJ_CLE,2,6,0.42,0.58,Solver,N/A
