Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W3_OAK_MIA,2,10,0.55,0.45,Solver,N/A
3,W3_OAK_MIA,1,2,0.3,0.7,Non-Solver,N/A
4,W3_OAK_MIA,1,14,0.99,0.01,Non-Solver,N/A
6,W3_OAK_MIA,1,8,0.58,0.42,Non-Solver,N/A
7,W3_OAK_MIA,1,8,0.71,0.29,Non-Solver,N/A
8,W3_OAK_MIA,1,10,0.33,0.67,Non-Solver,N/A
9,W3_OAK_MIA,2,10,0.32,0.68,Solver,N/A
11,W3_OAK_MIA,2,12,0.67,0.33,Solver,N/A
13,W3_OAK_MIA,1,8,0.3,0.7,Non-Solver,N/A
14,W3_OAK_MIA,1,8,0.3,0.7,Non-Solver,N/A
16,W3_OAK_MIA,2,10,0.77,0.23,Solver,N/A
17,W3_OAK_MIA,1,12,0.7,0.3,Non-Solver,N/A
18,W3_OAK_MIA,1,8,0.26,0.74,Non-Solver,N/A
20,W3_OAK_MIA,1,2,0.71,0.29,Non-Solver,N/A
21,W3_OAK_MIA,1,10,0.6,0.4,Non-Solver,N/A
23,W3_OAK_MIA,2,10,0.3,0.7,Solver,N/A
24,W3_OAK_MIA,1,2,0.88,0.12,Non-Solver,N/A
25,W3_OAK_MIA,1,10,0.73,0.27,Non-Solver,N/A
26,W3_OAK_MIA,1,8,0.85,0.15,Non-Solver,N/A
27,W3_OAK_MIA,2,10,0.35,0.65,Solver,N/A
28,W3_OAK_MIA,2,2,0.3,0.7,Solver,N/A
30,W3_OAK_MIA,1,8,0.77,0.23,Non-Solver,N/A
31,W3_OAK_MIA,1,8,0.35,0.65,Non-Solver,N/A
32,W3_OAK_MIA,1,2,0.52,0.48,Non-Solver,N/A
33,W3_OAK_MIA,1,2,0.5,0.5,Non-Solver,N/A
39,W3_OAK_MIA,1,2,0.2,0.8,Non-Solver,N/A
44,W3_OAK_MIA,2,10,0.7,0.3,Solver,N/A
45,W3_OAK_MIA,1,12,0.41,0.59,Non-Solver,N/A
46,W3_OAK_MIA,2,12,0.16,0.84,Solver,N/A
48,W3_OAK_MIA,2,10,0.43,0.57,Solver,N/A
50,W3_OAK_MIA,1,8,0.6,0.4,Non-Solver,N/A
51,W3_OAK_MIA,1,12,0.75,0.25,Non-Solver,N/A
52,W3_OAK_MIA,2,14,0.6,0.4,Solver,N/A
53,W3_OAK_MIA,2,2,0.5,0.5,Solver,N/A
54,W3_OAK_MIA,1,12,0.65,0.35,Non-Solver,N/A
55,W3_OAK_MIA,2,8,0.59,0.41,Solver,N/A
56,W3_OAK_MIA,1,2,0.71,0.29,Non-Solver,N/A
58,W3_OAK_MIA,2,2,0.3,0.7,Solver,N/A
60,W3_OAK_MIA,1,8,0.46,0.54,Non-Solver,N/A
61,W3_OAK_MIA,2,10,0.4,0.6,Solver,N/A
62,W3_OAK_MIA,1,12,0.71,0.29,Non-Solver,N/A
64,W3_OAK_MIA,2,10,0.2,0.8,Solver,N/A
65,W3_OAK_MIA,1,8,0.43,0.57,Non-Solver,N/A
