Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W3_PIT_TB,1,6,0.65,0.35,Solver,N/A
4,W3_PIT_TB,1,8,0.85,0.15,Solver,N/A
6,W3_PIT_TB,1,8,0.63,0.37,Solver,N/A
8,W3_PIT_TB,1,2,0.08,0.92,Solver,N/A
11,W3_PIT_TB,1,8,0.38,0.62,Solver,N/A
13,W3_PIT_TB,1,4,0.55,0.45,Solver,N/A
14,W3_PIT_TB,1,2,0.18,0.82,Solver,N/A
15,W3_PIT_TB,2,6,0.6,0.4,Non-Solver,N/A
16,W3_PIT_TB,1,6,0.56,0.44,Solver,N/A
17,W3_PIT_TB,2,6,0.44,0.56,Non-Solver,N/A
18,W3_PIT_TB,2,2,0.87,0.13,Non-Solver,N/A
21,W3_PIT_TB,1,2,0.52,0.48,Solver,N/A
23,W3_PIT_TB,1,8,0.8,0.2,Solver,N/A
24,W3_PIT_TB,1,2,0.95,0.05,Solver,N/A
25,W3_PIT_TB,1,6,0.84,0.16,Solver,N/A
26,W3_PIT_TB,1,4,0.38,0.62,Solver,N/A
27,W3_PIT_TB,1,6,0.6,0.4,Solver,N/A
28,W3_PIT_TB,1,2,0.46,0.54,Solver,N/A
29,W3_PIT_TB,1,4,0.4,0.6,Solver,N/A
30,W3_PIT_TB,1,4,0.6,0.4,Solver,N/A
31,W3_PIT_TB,2,8,0.65,0.35,Non-Solver,N/A
32,W3_PIT_TB,1,2,0.52,0.48,Solver,N/A
33,W3_PIT_TB,1,2,0.5,0.5,Solver,N/A
44,W3_PIT_TB,1,10,0.9,0.1,Solver,N/A
45,W3_PIT_TB,1,6,0.7,0.3,Solver,N/A
46,W3_PIT_TB,1,8,0.72,0.28,Solver,N/A
48,W3_PIT_TB,1,8,0.73,0.27,Solver,N/A
50,W3_PIT_TB,1,8,0.81,0.19,Solver,N/A
51,W3_PIT_TB,1,8,0.85,0.15,Solver,N/A
52,W3_PIT_TB,2,10,0.39,0.61,Non-Solver,N/A
53,W3_PIT_TB,1,2,0.5,0.5,Solver,N/A
54,W3_PIT_TB,1,6,0.6,0.4,Solver,N/A
56,W3_PIT_TB,1,4,0.64,0.36,Solver,N/A
60,W3_PIT_TB,1,6,0.59,0.41,Solver,N/A
61,W3_PIT_TB,1,8,0.65,0.35,Solver,N/A
62,W3_PIT_TB,2,2,0.09,0.91,Non-Solver,N/A
64,W3_PIT_TB,2,10,0.4,0.6,Non-Solver,N/A
65,W3_PIT_TB,2,6,0.38,0.62,Non-Solver,N/A
66,W3_PIT_TB,2,10,0.42,0.58,Non-Solver,N/A
67,W3_PIT_TB,1,6,0.85,0.15,Solver,N/A
70,W3_PIT_TB,1,6,0.7,0.3,Solver,N/A
73,W3_PIT_TB,1,2,0.5,0.5,Solver,N/A
74,W3_PIT_TB,1,4,0.6,0.4,Solver,N/A
76,W3_PIT_TB,2,6,0.44,0.56,Non-Solver,N/A
77,W3_PIT_TB,1,8,0.83,0.17,Solver,N/A
78,W3_PIT_TB,1,2,0.4,0.6,Solver,N/A
80,W3_PIT_TB,2,2,0.75,0.25,Non-Solver,N/A
81,W3_PIT_TB,2,8,0.27,0.73,Non-Solver,N/A
83,W3_PIT_TB,2,4,0.4,0.6,Non-Solver,N/A
84,W3_PIT_TB,1,6,0.51,0.49,Solver,N/A
86,W3_PIT_TB,1,4,0.41,0.59,Solver,N/A
88,W3_PIT_TB,1,6,0.59,0.41,Solver,N/A
90,W3_PIT_TB,1,6,0.7,0.3,Solver,N/A
91,W3_PIT_TB,1,2,0.55,0.45,Solver,N/A
97,W3_PIT_TB,1,2,0.46,0.54,Solver,N/A
98,W3_PIT_TB,2,6,0.37,0.63,Non-Solver,N/A
100,W3_PIT_TB,2,2,0.55,0.45,Non-Solver,N/A
101,W3_PIT_TB,2,6,0.44,0.56,Non-Solver,N/A
103,W3_PIT_TB,1,6,0.38,0.62,Solver,N/A
104,W3_PIT_TB,1,6,0.56,0.44,Solver,N/A
106,W3_PIT_TB,2,10,0.24,0.76,Non-Solver,N/A
109,W3_PIT_TB,2,6,0.23,0.77,Non-Solver,N/A
110,W3_PIT_TB,1,4,0.63,0.37,Solver,N/A
