Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W3_TEN_JAC,1,2,0.3,0.7,Solver,N/A
4,W3_TEN_JAC,1,8,0.8,0.2,Solver,N/A
6,W3_TEN_JAC,2,6,0.44,0.56,Non-Solver,N/A
8,W3_TEN_JAC,1,2,0.25,0.75,Solver,N/A
9,W3_TEN_JAC,2,10,0.13,0.87,Non-Solver,N/A
11,W3_TEN_JAC,1,4,0.44,0.56,Solver,N/A
13,W3_TEN_JAC,2,2,0.7,0.3,Non-Solver,N/A
14,W3_TEN_JAC,2,2,0.72,0.28,Non-Solver,N/A
15,W3_TEN_JAC,1,4,0.4,0.6,Solver,N/A
16,W3_TEN_JAC,1,4,0.54,0.46,Solver,N/A
17,W3_TEN_JAC,2,6,0.46,0.54,Non-Solver,N/A
18,W3_TEN_JAC,1,4,0.31,0.69,Solver,N/A
21,W3_TEN_JAC,2,4,0.61,0.39,Non-Solver,N/A
23,W3_TEN_JAC,2,6,0.3,0.7,Non-Solver,N/A
24,W3_TEN_JAC,1,2,0.14,0.86,Solver,N/A
25,W3_TEN_JAC,2,4,0.25,0.75,Non-Solver,N/A
26,W3_TEN_JAC,1,4,0.29,0.71,Solver,N/A
27,W3_TEN_JAC,2,2,0.5,0.5,Non-Solver,N/A
28,W3_TEN_JAC,2,2,0.59,0.41,Non-Solver,N/A
29,W3_TEN_JAC,2,4,0.6,0.4,Non-Solver,N/A
31,W3_TEN_JAC,2,8,0.29,0.71,Non-Solver,N/A
32,W3_TEN_JAC,2,2,0.42,0.58,Non-Solver,N/A
33,W3_TEN_JAC,2,2,0.5,0.5,Non-Solver,N/A
39,W3_TEN_JAC,2,6,0.7,0.3,Non-Solver,N/A
44,W3_TEN_JAC,1,2,0.2,0.8,Solver,N/A
45,W3_TEN_JAC,1,6,0.6,0.4,Solver,N/A
46,W3_TEN_JAC,1,8,0.92,0.08,Solver,N/A
48,W3_TEN_JAC,2,2,0.39,0.61,Non-Solver,N/A
50,W3_TEN_JAC,2,6,0.32,0.68,Non-Solver,N/A
51,W3_TEN_JAC,2,8,0.34,0.66,Non-Solver,N/A
52,W3_TEN_JAC,2,10,0.1,0.9,Non-Solver,N/A
53,W3_TEN_JAC,2,2,0.5,0.5,Non-Solver,N/A
54,W3_TEN_JAC,2,6,0.45,0.55,Non-Solver,N/A
55,W3_TEN_JAC,1,2,0.0,1.0,Solver,N/A
56,W3_TEN_JAC,1,2,0.28,0.72,Solver,N/A
60,W3_TEN_JAC,1,2,0.68,0.32,Solver,N/A
61,W3_TEN_JAC,1,6,0.6,0.4,Solver,N/A
62,W3_TEN_JAC,2,2,0.69,0.31,Non-Solver,N/A
64,W3_TEN_JAC,2,4,0.55,0.45,Non-Solver,N/A
65,W3_TEN_JAC,2,8,0.48,0.52,Non-Solver,N/A
66,W3_TEN_JAC,1,6,0.53,0.47,Solver,N/A
67,W3_TEN_JAC,1,2,0.5,0.5,Solver,N/A
71,W3_TEN_JAC,2,6,0.49,0.51,Non-Solver,N/A
73,W3_TEN_JAC,2,2,0.5,0.5,Non-Solver,N/A
75,W3_TEN_JAC,2,4,0.49,0.51,Non-Solver,N/A
76,W3_TEN_JAC,2,6,0.4,0.6,Non-Solver,N/A
77,W3_TEN_JAC,1,2,0.16,0.84,Solver,N/A
78,W3_TEN_JAC,1,2,0.4,0.6,Solver,N/A
80,W3_TEN_JAC,2,2,0.33,0.67,Non-Solver,N/A
81,W3_TEN_JAC,2,10,0.0,1.0,Non-Solver,N/A
83,W3_TEN_JAC,2,8,0.14,0.86,Non-Solver,N/A
84,W3_TEN_JAC,1,2,0.51,0.49,Solver,N/A
86,W3_TEN_JAC,2,6,0.46,0.54,Non-Solver,N/A
88,W3_TEN_JAC,2,8,0.37,0.63,Non-Solver,N/A
89,W3_TEN_JAC,2,6,0.29,0.71,Non-Solver,N/A
90,W3_TEN_JAC,2,2,0.9,0.1,Non-Solver,N/A
91,W3_TEN_JAC,2,6,0.22,0.78,Non-Solver,N/A
97,W3_TEN_JAC,2,6,0.57,0.43,Non-Solver,N/A
98,W3_TEN_JAC,1,6,0.59,0.41,Solver,N/A
100,W3_TEN_JAC,2,2,0.73,0.27,Non-Solver,N/A
101,W3_TEN_JAC,2,8,0.3,0.7,Non-Solver,N/A
103,W3_TEN_JAC,1,6,0.3,0.7,Solver,N/A
104,W3_TEN_JAC,2,8,0.16,0.84,Non-Solver,N/A
106,W3_TEN_JAC,2,6,0.39,0.61,Non-Solver,N/A
109,W3_TEN_JAC,2,6,0.36,0.64,Non-Solver,N/A
110,W3_TEN_JAC,1,4,0.56,0.44,Solver,N/A
111,W3_TEN_JAC,2,8,0.2,0.8,Non-Solver,N/A
112,W3_TEN_JAC,2,2,0.47,0.53,Non-Solver,N/A
113,W3_TEN_JAC,1,6,0.65,0.35,Solver,N/A
115,W3_TEN_JAC,1,2,0.39,0.61,Solver,N/A
118,W3_TEN_JAC,2,4,0.34,0.66,Non-Solver,N/A
121,W3_TEN_JAC,1,2,0.5,0.5,Solver,N/A
122,W3_TEN_JAC,2,6,0.49,0.51,Non-Solver,N/A
