Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_BAL_PIT,2,8,0.55,0.45,Non-Solver,N/A
6,W4_BAL_PIT,2,14,0.25,0.75,Non-Solver,N/A
8,W4_BAL_PIT,1,2,0.08,0.92,Solver,N/A
9,W4_BAL_PIT,1,2,0.37,0.63,Solver,N/A
11,W4_BAL_PIT,2,12,0.3,0.7,Non-Solver,N/A
13,W4_BAL_PIT,2,2,0.7,0.3,Non-Solver,N/A
14,W4_BAL_PIT,2,2,0.77,0.23,Non-Solver,N/A
15,W4_BAL_PIT,2,10,0.4,0.6,Non-Solver,N/A
16,W4_BAL_PIT,2,10,0.41,0.59,Non-Solver,N/A
17,W4_BAL_PIT,2,10,0.48,0.52,Non-Solver,N/A
21,W4_BAL_PIT,1,2,0.5,0.5,Solver,N/A
23,W4_BAL_PIT,1,12,0.8,0.2,Solver,N/A
24,W4_BAL_PIT,2,10,0.19,0.81,Non-Solver,N/A
25,W4_BAL_PIT,2,8,0.58,0.42,Non-Solver,N/A
26,W4_BAL_PIT,2,8,0.18,0.82,Non-Solver,N/A
28,W4_BAL_PIT,2,2,0.58,0.42,Non-Solver,N/A
29,W4_BAL_PIT,2,8,0.42,0.58,Non-Solver,N/A
31,W4_BAL_PIT,2,10,0.46,0.54,Non-Solver,N/A
32,W4_BAL_PIT,2,2,0.4,0.6,Non-Solver,N/A
33,W4_BAL_PIT,1,2,0.51,0.49,Solver,N/A
39,W4_BAL_PIT,2,8,0.66,0.34,Non-Solver,N/A
44,W4_BAL_PIT,2,14,0.0,1.0,Non-Solver,N/A
45,W4_BAL_PIT,1,8,0.5,0.5,Solver,N/A
46,W4_BAL_PIT,2,12,0.21,0.79,Non-Solver,N/A
48,W4_BAL_PIT,1,12,0.81,0.19,Solver,N/A
50,W4_BAL_PIT,1,12,0.2,0.8,Solver,N/A
51,W4_BAL_PIT,2,10,0.37,0.63,Non-Solver,N/A
53,W4_BAL_PIT,1,2,0.5,0.5,Solver,N/A
54,W4_BAL_PIT,2,10,0.55,0.45,Non-Solver,N/A
60,W4_BAL_PIT,1,10,0.8,0.2,Solver,N/A
61,W4_BAL_PIT,1,10,0.55,0.45,Solver,N/A
62,W4_BAL_PIT,2,2,0.69,0.31,Non-Solver,N/A
64,W4_BAL_PIT,2,10,0.37,0.63,Non-Solver,N/A
65,W4_BAL_PIT,2,14,0.03,0.97,Non-Solver,N/A
66,W4_BAL_PIT,2,12,0.4,0.6,Non-Solver,N/A
67,W4_BAL_PIT,2,10,0.24,0.76,Non-Solver,N/A
69,W4_BAL_PIT,2,12,0.4,0.6,Non-Solver,N/A
70,W4_BAL_PIT,2,12,0.21,0.79,Non-Solver,N/A
71,W4_BAL_PIT,1,10,0.0,1.0,Solver,N/A
76,W4_BAL_PIT,1,12,0.57,0.43,Solver,N/A
78,W4_BAL_PIT,2,2,0.4,0.6,Non-Solver,N/A
80,W4_BAL_PIT,2,2,0.83,0.17,Non-Solver,N/A
83,W4_BAL_PIT,2,8,0.63,0.37,Non-Solver,N/A
87,W4_BAL_PIT,2,10,0.22,0.78,Non-Solver,N/A
88,W4_BAL_PIT,2,8,0.45,0.55,Non-Solver,N/A
89,W4_BAL_PIT,2,10,0.4,0.6,Non-Solver,N/A
90,W4_BAL_PIT,2,10,0.6,0.4,Non-Solver,N/A
91,W4_BAL_PIT,2,8,0.56,0.44,Non-Solver,N/A
93,W4_BAL_PIT,1,8,0.1,0.9,Solver,N/A
96,W4_BAL_PIT,2,12,0.17,0.83,Non-Solver,N/A
97,W4_BAL_PIT,2,10,0.56,0.44,Non-Solver,N/A
98,W4_BAL_PIT,2,12,0.24,0.76,Non-Solver,N/A
