Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_HOU_IND,2,2,0.7,0.3,Non-Solver,N/A
6,W4_HOU_IND,2,2,0.54,0.46,Non-Solver,N/A
8,W4_HOU_IND,1,2,0.08,0.92,Solver,N/A
9,W4_HOU_IND,2,2,0.59,0.41,Non-Solver,N/A
11,W4_HOU_IND,1,6,0.45,0.55,Solver,N/A
13,W4_HOU_IND,1,2,0.44,0.56,Solver,N/A
14,W4_HOU_IND,1,2,0.33,0.67,Solver,N/A
15,W4_HOU_IND,1,6,0.6,0.4,Solver,N/A
16,W4_HOU_IND,2,6,0.37,0.63,Non-Solver,N/A
17,W4_HOU_IND,2,8,0.17,0.83,Non-Solver,N/A
21,W4_HOU_IND,2,2,0.49,0.51,Non-Solver,N/A
23,W4_HOU_IND,2,8,0.2,0.8,Non-Solver,N/A
24,W4_HOU_IND,2,2,0.71,0.29,Non-Solver,N/A
25,W4_HOU_IND,2,2,0.31,0.69,Non-Solver,N/A
26,W4_HOU_IND,1,4,0.87,0.13,Solver,N/A
28,W4_HOU_IND,1,2,0.38,0.62,Solver,N/A
29,W4_HOU_IND,2,4,0.52,0.48,Non-Solver,N/A
31,W4_HOU_IND,2,2,0.5,0.5,Non-Solver,N/A
32,W4_HOU_IND,1,2,0.53,0.47,Solver,N/A
33,W4_HOU_IND,1,2,0.5,0.5,Solver,N/A
44,W4_HOU_IND,2,6,0.4,0.6,Non-Solver,N/A
45,W4_HOU_IND,1,4,0.7,0.3,Solver,N/A
46,W4_HOU_IND,2,6,0.34,0.66,Non-Solver,N/A
48,W4_HOU_IND,2,6,0.43,0.57,Non-Solver,N/A
51,W4_HOU_IND,1,6,0.58,0.42,Solver,N/A
53,W4_HOU_IND,2,2,0.5,0.5,Non-Solver,N/A
54,W4_HOU_IND,2,6,0.55,0.45,Non-Solver,N/A
55,W4_HOU_IND,2,2,0.8,0.2,Non-Solver,N/A
60,W4_HOU_IND,2,4,0.45,0.55,Non-Solver,N/A
61,W4_HOU_IND,2,6,0.45,0.55,Non-Solver,N/A
62,W4_HOU_IND,1,2,0.4,0.6,Solver,N/A
64,W4_HOU_IND,1,6,0.45,0.55,Solver,N/A
65,W4_HOU_IND,1,4,0.56,0.44,Solver,N/A
66,W4_HOU_IND,1,6,0.43,0.57,Solver,N/A
67,W4_HOU_IND,2,2,0.3,0.7,Non-Solver,N/A
69,W4_HOU_IND,2,4,0.68,0.32,Non-Solver,N/A
71,W4_HOU_IND,2,8,0.25,0.75,Non-Solver,N/A
76,W4_HOU_IND,2,8,0.23,0.77,Non-Solver,N/A
80,W4_HOU_IND,2,4,0.61,0.39,Non-Solver,N/A
83,W4_HOU_IND,2,6,0.34,0.66,Non-Solver,N/A
87,W4_HOU_IND,2,2,0.58,0.42,Non-Solver,N/A
88,W4_HOU_IND,1,8,0.6,0.4,Solver,N/A
90,W4_HOU_IND,1,6,0.4,0.6,Solver,N/A
