Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_KC_DEN,2,2,0.4,0.6,Non-Solver,N/A
8,W4_KC_DEN,2,2,0.88,0.12,Non-Solver,N/A
9,W4_KC_DEN,1,10,0.79,0.21,Solver,N/A
11,W4_KC_DEN,1,8,0.5,0.5,Solver,N/A
13,W4_KC_DEN,2,6,0.36,0.64,Non-Solver,N/A
14,W4_KC_DEN,2,2,0.77,0.23,Non-Solver,N/A
15,W4_KC_DEN,1,6,0.6,0.4,Solver,N/A
16,W4_KC_DEN,2,8,0.3,0.7,Non-Solver,N/A
17,W4_KC_DEN,1,6,0.38,0.62,Solver,N/A
21,W4_KC_DEN,2,10,0.1,0.9,Non-Solver,N/A
24,W4_KC_DEN,2,2,0.72,0.28,Non-Solver,N/A
25,W4_KC_DEN,2,4,0.48,0.52,Non-Solver,N/A
26,W4_KC_DEN,2,4,0.83,0.17,Non-Solver,N/A
27,W4_KC_DEN,2,4,0.69,0.31,Non-Solver,N/A
28,W4_KC_DEN,2,2,0.39,0.61,Non-Solver,N/A
29,W4_KC_DEN,2,4,0.61,0.39,Non-Solver,N/A
31,W4_KC_DEN,2,2,0.46,0.54,Non-Solver,N/A
32,W4_KC_DEN,1,2,0.6,0.4,Solver,N/A
33,W4_KC_DEN,2,2,0.5,0.5,Non-Solver,N/A
39,W4_KC_DEN,2,4,0.74,0.26,Non-Solver,N/A
44,W4_KC_DEN,2,4,0.7,0.3,Non-Solver,N/A
45,W4_KC_DEN,1,8,0.75,0.25,Solver,N/A
46,W4_KC_DEN,2,6,0.41,0.59,Non-Solver,N/A
48,W4_KC_DEN,2,6,0.32,0.68,Non-Solver,N/A
50,W4_KC_DEN,1,4,0.43,0.57,Solver,N/A
53,W4_KC_DEN,1,2,0.5,0.5,Solver,N/A
54,W4_KC_DEN,2,6,0.45,0.55,Non-Solver,N/A
60,W4_KC_DEN,2,8,0.13,0.87,Non-Solver,N/A
61,W4_KC_DEN,2,6,0.46,0.54,Non-Solver,N/A
62,W4_KC_DEN,2,8,0.37,0.63,Non-Solver,N/A
64,W4_KC_DEN,2,6,0.34,0.66,Non-Solver,N/A
65,W4_KC_DEN,2,6,0.4,0.6,Non-Solver,N/A
66,W4_KC_DEN,2,6,0.4,0.6,Non-Solver,N/A
67,W4_KC_DEN,2,6,0.3,0.7,Non-Solver,N/A
69,W4_KC_DEN,2,6,0.36,0.64,Non-Solver,N/A
70,W4_KC_DEN,2,6,0.32,0.68,Non-Solver,N/A
71,W4_KC_DEN,1,10,1.0,0.0,Solver,N/A
73,W4_KC_DEN,2,2,0.5,0.5,Non-Solver,N/A
76,W4_KC_DEN,1,6,0.67,0.33,Solver,N/A
77,W4_KC_DEN,2,6,0.19,0.81,Non-Solver,N/A
78,W4_KC_DEN,2,2,0.6,0.4,Non-Solver,N/A
80,W4_KC_DEN,2,2,0.95,0.05,Non-Solver,N/A
