Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_NO_NYG,2,2,0.55,0.45,Non-Solver,N/A
6,W4_NO_NYG,2,6,0.35,0.65,Non-Solver,N/A
8,W4_NO_NYG,1,2,0.1,0.9,Solver,N/A
9,W4_NO_NYG,1,6,0.71,0.29,Solver,N/A
11,W4_NO_NYG,1,8,0.7,0.3,Solver,N/A
13,W4_NO_NYG,2,4,0.44,0.56,Non-Solver,N/A
14,W4_NO_NYG,2,2,0.78,0.22,Non-Solver,N/A
16,W4_NO_NYG,1,8,0.65,0.35,Solver,N/A
17,W4_NO_NYG,1,8,0.68,0.32,Solver,N/A
21,W4_NO_NYG,1,10,0.83,0.17,Solver,N/A
23,W4_NO_NYG,1,8,0.8,0.2,Solver,N/A
24,W4_NO_NYG,2,2,0.84,0.16,Non-Solver,N/A
25,W4_NO_NYG,2,6,0.26,0.74,Non-Solver,N/A
26,W4_NO_NYG,2,4,0.09,0.91,Non-Solver,N/A
27,W4_NO_NYG,1,8,0.66,0.34,Solver,N/A
28,W4_NO_NYG,2,2,0.23,0.77,Non-Solver,N/A
29,W4_NO_NYG,1,4,0.34,0.66,Solver,N/A
30,W4_NO_NYG,2,4,0.4,0.6,Non-Solver,N/A
31,W4_NO_NYG,2,2,0.51,0.49,Non-Solver,N/A
32,W4_NO_NYG,2,2,0.4,0.6,Non-Solver,N/A
33,W4_NO_NYG,2,2,0.51,0.49,Non-Solver,N/A
39,W4_NO_NYG,2,6,0.3,0.7,Non-Solver,N/A
44,W4_NO_NYG,1,8,0.85,0.15,Solver,N/A
45,W4_NO_NYG,1,10,0.9,0.1,Solver,N/A
46,W4_NO_NYG,2,8,0.09,0.91,Non-Solver,N/A
48,W4_NO_NYG,2,6,0.26,0.74,Non-Solver,N/A
51,W4_NO_NYG,2,8,0.3,0.7,Non-Solver,N/A
53,W4_NO_NYG,2,2,0.5,0.5,Non-Solver,N/A
54,W4_NO_NYG,2,6,0.61,0.39,Non-Solver,N/A
60,W4_NO_NYG,2,8,0.19,0.81,Non-Solver,N/A
61,W4_NO_NYG,2,8,0.33,0.67,Non-Solver,N/A
62,W4_NO_NYG,2,6,0.6,0.4,Non-Solver,N/A
64,W4_NO_NYG,1,6,0.58,0.42,Solver,N/A
65,W4_NO_NYG,2,6,0.56,0.44,Non-Solver,N/A
66,W4_NO_NYG,1,6,0.59,0.41,Solver,N/A
67,W4_NO_NYG,2,6,0.26,0.74,Non-Solver,N/A
69,W4_NO_NYG,2,6,0.52,0.48,Non-Solver,N/A
70,W4_NO_NYG,2,8,0.09,0.91,Non-Solver,N/A
71,W4_NO_NYG,2,10,0.0,1.0,Non-Solver,N/A
76,W4_NO_NYG,1,8,0.73,0.27,Solver,N/A
77,W4_NO_NYG,2,4,0.27,0.73,Non-Solver,N/A
78,W4_NO_NYG,1,2,0.5,0.5,Solver,N/A
80,W4_NO_NYG,2,2,0.8,0.2,Non-Solver,N/A
83,W4_NO_NYG,1,6,0.59,0.41,Solver,N/A
87,W4_NO_NYG,1,2,0.12,0.88,Solver,N/A
88,W4_NO_NYG,2,2,0.57,0.43,Non-Solver,N/A
89,W4_NO_NYG,2,4,0.46,0.54,Non-Solver,N/A
90,W4_NO_NYG,1,2,0.4,0.6,Solver,N/A
91,W4_NO_NYG,2,4,0.68,0.32,Non-Solver,N/A
93,W4_NO_NYG,2,2,0.91,0.09,Non-Solver,N/A
95,W4_NO_NYG,2,6,0.38,0.62,Non-Solver,N/A
96,W4_NO_NYG,2,2,0.25,0.75,Non-Solver,N/A
97,W4_NO_NYG,2,10,0.56,0.44,Non-Solver,N/A
98,W4_NO_NYG,1,6,0.55,0.45,Solver,N/A
99,W4_NO_NYG,1,2,0.78,0.22,Solver,N/A
100,W4_NO_NYG,2,4,0.36,0.64,Non-Solver,N/A
103,W4_NO_NYG,1,4,0.47,0.53,Solver,N/A
104,W4_NO_NYG,1,6,0.67,0.33,Solver,N/A
109,W4_NO_NYG,1,4,0.63,0.37,Solver,N/A
110,W4_NO_NYG,1,4,0.64,0.36,Solver,N/A
112,W4_NO_NYG,1,2,0.4,0.6,Solver,N/A
113,W4_NO_NYG,1,4,0.72,0.28,Solver,N/A
115,W4_NO_NYG,2,2,0.32,0.68,Non-Solver,N/A
118,W4_NO_NYG,2,6,0.19,0.81,Non-Solver,N/A
124,W4_NO_NYG,1,8,0.7,0.3,Solver,N/A
128,W4_NO_NYG,2,4,0.4,0.6,Non-Solver,N/A
129,W4_NO_NYG,2,6,0.31,0.69,Non-Solver,N/A
130,W4_NO_NYG,2,8,0.12,0.88,Non-Solver,N/A
132,W4_NO_NYG,1,8,0.85,0.15,Solver,N/A
134,W4_NO_NYG,2,8,0.25,0.75,Non-Solver,N/A
137,W4_NO_NYG,2,10,0.23,0.77,Non-Solver,N/A
143,W4_NO_NYG,1,4,0.77,0.23,Solver,N/A
144,W4_NO_NYG,1,2,0.37,0.63,Solver,N/A
146,W4_NO_NYG,2,2,0.47,0.53,Non-Solver,N/A
148,W4_NO_NYG,2,6,0.44,0.56,Non-Solver,N/A
149,W4_NO_NYG,2,6,0.49,0.51,Non-Solver,N/A
150,W4_NO_NYG,2,6,0.71,0.29,Non-Solver,N/A
151,W4_NO_NYG,1,6,0.41,0.59,Solver,N/A
156,W4_NO_NYG,1,6,0.54,0.46,Solver,N/A
159,W4_NO_NYG,2,4,0.44,0.56,Non-Solver,N/A
165,W4_NO_NYG,1,2,0.5,0.5,Solver,N/A
167,W4_NO_NYG,2,6,0.72,0.28,Non-Solver,N/A
169,W4_NO_NYG,1,6,0.72,0.28,Solver,N/A
171,W4_NO_NYG,2,8,0.37,0.63,Non-Solver,N/A
172,W4_NO_NYG,1,8,0.3,0.7,Solver,N/A
180,W4_NO_NYG,1,6,0.75,0.25,Solver,N/A
186,W4_NO_NYG,2,4,0.6,0.4,Non-Solver,N/A
189,W4_NO_NYG,2,4,0.7,0.3,Non-Solver,N/A
190,W4_NO_NYG,1,4,0.33,0.67,Solver,N/A
191,W4_NO_NYG,1,2,0.56,0.44,Solver,N/A
195,W4_NO_NYG,1,8,0.63,0.37,Solver,N/A
199,W4_NO_NYG,2,2,0.69,0.31,Non-Solver,N/A
200,W4_NO_NYG,2,8,0.0600000000000001,0.94,Non-Solver,N/A
203,W4_NO_NYG,2,4,0.63,0.37,Non-Solver,N/A
204,W4_NO_NYG,2,4,0.7,0.3,Non-Solver,N/A
211,W4_NO_NYG,1,8,0.72,0.28,Solver,N/A
214,W4_NO_NYG,2,6,0.55,0.45,Non-Solver,N/A
