Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W4_SF_LAC,1,4,0.6,0.4,Non-Solver,N/A
8,W4_SF_LAC,1,2,0.13,0.87,Non-Solver,N/A
9,W4_SF_LAC,2,10,0.15,0.85,Solver,N/A
11,W4_SF_LAC,2,6,0.51,0.49,Solver,N/A
13,W4_SF_LAC,2,2,0.7,0.3,Solver,N/A
14,W4_SF_LAC,2,4,0.77,0.23,Solver,N/A
16,W4_SF_LAC,2,6,0.38,0.62,Solver,N/A
17,W4_SF_LAC,2,4,0.56,0.44,Solver,N/A
21,W4_SF_LAC,1,6,0.7,0.3,Non-Solver,N/A
23,W4_SF_LAC,1,8,0.8,0.2,Non-Solver,N/A
24,W4_SF_LAC,1,2,0.8,0.2,Non-Solver,N/A
25,W4_SF_LAC,2,6,0.38,0.62,Solver,N/A
26,W4_SF_LAC,2,4,0.81,0.19,Solver,N/A
27,W4_SF_LAC,2,10,0.14,0.86,Solver,N/A
28,W4_SF_LAC,1,2,0.45,0.55,Non-Solver,N/A
29,W4_SF_LAC,2,4,0.45,0.55,Solver,N/A
31,W4_SF_LAC,2,2,0.46,0.54,Solver,N/A
32,W4_SF_LAC,1,2,0.58,0.42,Non-Solver,N/A
33,W4_SF_LAC,1,2,0.5,0.5,Non-Solver,N/A
39,W4_SF_LAC,1,8,0.8,0.2,Non-Solver,N/A
44,W4_SF_LAC,2,8,0.2,0.8,Solver,N/A
45,W4_SF_LAC,2,10,0.19,0.81,Solver,N/A
46,W4_SF_LAC,1,8,0.76,0.24,Non-Solver,N/A
48,W4_SF_LAC,2,10,0.01,0.99,Solver,N/A
53,W4_SF_LAC,1,2,0.5,0.5,Non-Solver,N/A
54,W4_SF_LAC,1,6,0.45,0.55,Non-Solver,N/A
55,W4_SF_LAC,2,10,0.0,1.0,Solver,N/A
60,W4_SF_LAC,2,10,0.0600000000000001,0.94,Solver,N/A
61,W4_SF_LAC,2,8,0.3,0.7,Solver,N/A
62,W4_SF_LAC,1,10,0.53,0.47,Non-Solver,N/A
63,W4_SF_LAC,1,4,0.6,0.4,Non-Solver,N/A
64,W4_SF_LAC,1,6,0.6,0.4,Non-Solver,N/A
65,W4_SF_LAC,2,6,0.37,0.63,Solver,N/A
66,W4_SF_LAC,1,6,0.59,0.41,Non-Solver,N/A
67,W4_SF_LAC,1,6,0.71,0.29,Non-Solver,N/A
69,W4_SF_LAC,2,6,0.4,0.6,Solver,N/A
70,W4_SF_LAC,1,10,0.85,0.15,Non-Solver,N/A
71,W4_SF_LAC,2,10,0.0,1.0,Solver,N/A
75,W4_SF_LAC,1,6,0.62,0.38,Non-Solver,N/A
77,W4_SF_LAC,2,6,0.3,0.7,Solver,N/A
78,W4_SF_LAC,2,2,0.2,0.8,Solver,N/A
80,W4_SF_LAC,1,2,0.04,0.96,Non-Solver,N/A
83,W4_SF_LAC,2,6,0.28,0.72,Solver,N/A
87,W4_SF_LAC,1,6,0.74,0.26,Non-Solver,N/A
88,W4_SF_LAC,2,6,0.4,0.6,Solver,N/A
89,W4_SF_LAC,2,4,0.4,0.6,Solver,N/A
90,W4_SF_LAC,2,6,0.59,0.41,Solver,N/A
91,W4_SF_LAC,2,6,0.37,0.63,Solver,N/A
93,W4_SF_LAC,2,2,0.89,0.11,Solver,N/A
96,W4_SF_LAC,2,6,0.21,0.79,Solver,N/A
97,W4_SF_LAC,1,6,0.26,0.74,Non-Solver,N/A
98,W4_SF_LAC,2,6,0.45,0.55,Solver,N/A
100,W4_SF_LAC,1,2,0.56,0.44,Non-Solver,N/A
101,W4_SF_LAC,2,4,0.45,0.55,Solver,N/A
103,W4_SF_LAC,1,6,0.43,0.57,Non-Solver,N/A
104,W4_SF_LAC,2,8,0.27,0.73,Solver,N/A
109,W4_SF_LAC,2,6,0.42,0.58,Solver,N/A
110,W4_SF_LAC,1,4,0.65,0.35,Non-Solver,N/A
112,W4_SF_LAC,1,6,0.8,0.2,Non-Solver,N/A
113,W4_SF_LAC,1,4,0.66,0.34,Non-Solver,N/A
115,W4_SF_LAC,1,2,0.68,0.32,Non-Solver,N/A
118,W4_SF_LAC,2,6,0.05,0.95,Solver,N/A
119,W4_SF_LAC,1,4,0.4,0.6,Non-Solver,N/A
122,W4_SF_LAC,1,8,0.84,0.16,Non-Solver,N/A
124,W4_SF_LAC,2,10,0.02,0.98,Solver,N/A
128,W4_SF_LAC,2,4,0.4,0.6,Solver,N/A
129,W4_SF_LAC,2,6,0.14,0.86,Solver,N/A
130,W4_SF_LAC,2,6,0.27,0.73,Solver,N/A
131,W4_SF_LAC,1,8,0.66,0.34,Non-Solver,N/A
132,W4_SF_LAC,1,6,0.7,0.3,Non-Solver,N/A
134,W4_SF_LAC,2,6,0.38,0.62,Solver,N/A
136,W4_SF_LAC,1,8,0.7,0.3,Non-Solver,N/A
137,W4_SF_LAC,2,10,0.24,0.76,Solver,N/A
143,W4_SF_LAC,1,4,0.19,0.81,Non-Solver,N/A
144,W4_SF_LAC,2,2,0.57,0.43,Solver,N/A
146,W4_SF_LAC,2,2,0.37,0.63,Solver,N/A
148,W4_SF_LAC,1,8,0.78,0.22,Non-Solver,N/A
149,W4_SF_LAC,1,8,0.62,0.38,Non-Solver,N/A
150,W4_SF_LAC,2,10,0.47,0.53,Solver,N/A
156,W4_SF_LAC,2,6,0.39,0.61,Solver,N/A
161,W4_SF_LAC,2,6,0.24,0.76,Solver,N/A
165,W4_SF_LAC,1,6,0.64,0.36,Non-Solver,N/A
167,W4_SF_LAC,2,8,0.15,0.85,Solver,N/A
169,W4_SF_LAC,1,4,0.52,0.48,Non-Solver,N/A
171,W4_SF_LAC,2,8,0.25,0.75,Solver,N/A
172,W4_SF_LAC,2,6,0.3,0.7,Solver,N/A
180,W4_SF_LAC,2,6,0.3,0.7,Solver,N/A
186,W4_SF_LAC,2,8,0.1,0.9,Solver,N/A
189,W4_SF_LAC,1,4,0.2,0.8,Non-Solver,N/A
190,W4_SF_LAC,1,6,0.63,0.37,Non-Solver,N/A
191,W4_SF_LAC,1,2,0.59,0.41,Non-Solver,N/A
195,W4_SF_LAC,2,4,0.29,0.71,Solver,N/A
199,W4_SF_LAC,2,4,0.36,0.64,Solver,N/A
200,W4_SF_LAC,1,8,0.86,0.14,Non-Solver,N/A
203,W4_SF_LAC,1,8,0.37,0.63,Non-Solver,N/A
204,W4_SF_LAC,2,10,0.11,0.89,Solver,N/A
207,W4_SF_LAC,1,6,0.55,0.45,Non-Solver,N/A
211,W4_SF_LAC,2,8,0.24,0.76,Solver,N/A
214,W4_SF_LAC,1,6,0.45,0.55,Non-Solver,N/A
215,W4_SF_LAC,1,6,0.4,0.6,Non-Solver,N/A
218,W4_SF_LAC,1,8,0.66,0.34,Non-Solver,N/A
224,W4_SF_LAC,1,8,0.75,0.25,Non-Solver,N/A
225,W4_SF_LAC,2,6,0.37,0.63,Solver,N/A
