Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,W4_TEN_PHI,1,4,0.8,0.2,Solver,N/A
3,W4_TEN_PHI,2,4,0.55,0.45,Non-Solver,N/A
6,W4_TEN_PHI,2,6,0.44,0.56,Non-Solver,N/A
8,W4_TEN_PHI,1,6,0.07,0.93,Solver,N/A
9,W4_TEN_PHI,2,6,0.3,0.7,Non-Solver,N/A
11,W4_TEN_PHI,2,6,0.6,0.4,Non-Solver,N/A
13,W4_TEN_PHI,2,2,0.74,0.26,Non-Solver,N/A
14,W4_TEN_PHI,2,2,0.67,0.33,Non-Solver,N/A
15,W4_TEN_PHI,2,6,0.4,0.6,Non-Solver,N/A
16,W4_TEN_PHI,2,8,0.45,0.55,Non-Solver,N/A
17,W4_TEN_PHI,2,6,0.28,0.72,Non-Solver,N/A
21,W4_TEN_PHI,2,8,0.59,0.41,Non-Solver,N/A
23,W4_TEN_PHI,2,8,0.2,0.8,Non-Solver,N/A
24,W4_TEN_PHI,2,2,0.36,0.64,Non-Solver,N/A
25,W4_TEN_PHI,2,6,0.15,0.85,Non-Solver,N/A
26,W4_TEN_PHI,2,4,0.29,0.71,Non-Solver,N/A
27,W4_TEN_PHI,2,8,0.4,0.6,Non-Solver,N/A
28,W4_TEN_PHI,2,2,0.25,0.75,Non-Solver,N/A
29,W4_TEN_PHI,2,10,0.0,1.0,Non-Solver,N/A
31,W4_TEN_PHI,2,6,0.47,0.53,Non-Solver,N/A
32,W4_TEN_PHI,2,2,0.4,0.6,Non-Solver,N/A
33,W4_TEN_PHI,2,2,0.5,0.5,Non-Solver,N/A
39,W4_TEN_PHI,2,4,0.7,0.3,Non-Solver,N/A
44,W4_TEN_PHI,2,8,0.05,0.95,Non-Solver,N/A
45,W4_TEN_PHI,2,8,0.5,0.5,Non-Solver,N/A
46,W4_TEN_PHI,1,6,0.6,0.4,Solver,N/A
48,W4_TEN_PHI,2,8,0.22,0.78,Non-Solver,N/A
50,W4_TEN_PHI,1,8,0.36,0.64,Solver,N/A
53,W4_TEN_PHI,2,2,0.5,0.5,Non-Solver,N/A
54,W4_TEN_PHI,2,6,0.54,0.46,Non-Solver,N/A
55,W4_TEN_PHI,2,10,0.0,1.0,Non-Solver,N/A
57,W4_TEN_PHI,2,8,0.4,0.6,Non-Solver,N/A
60,W4_TEN_PHI,2,6,0.31,0.69,Non-Solver,N/A
61,W4_TEN_PHI,2,8,0.34,0.66,Non-Solver,N/A
62,W4_TEN_PHI,2,6,0.39,0.61,Non-Solver,N/A
64,W4_TEN_PHI,2,6,0.35,0.65,Non-Solver,N/A
65,W4_TEN_PHI,2,8,0.22,0.78,Non-Solver,N/A
66,W4_TEN_PHI,1,8,0.7,0.3,Solver,N/A
67,W4_TEN_PHI,2,8,0.15,0.85,Non-Solver,N/A
69,W4_TEN_PHI,1,8,0.77,0.23,Solver,N/A
71,W4_TEN_PHI,2,8,0.4,0.6,Non-Solver,N/A
74,W4_TEN_PHI,2,4,0.41,0.59,Non-Solver,N/A
75,W4_TEN_PHI,2,6,0.39,0.61,Non-Solver,N/A
76,W4_TEN_PHI,2,8,0.24,0.76,Non-Solver,N/A
77,W4_TEN_PHI,2,6,0.26,0.74,Non-Solver,N/A
78,W4_TEN_PHI,1,2,0.4,0.6,Solver,N/A
80,W4_TEN_PHI,2,2,0.56,0.44,Non-Solver,N/A
83,W4_TEN_PHI,2,6,0.35,0.65,Non-Solver,N/A
87,W4_TEN_PHI,2,6,0.25,0.75,Non-Solver,N/A
88,W4_TEN_PHI,2,4,0.3,0.7,Non-Solver,N/A
89,W4_TEN_PHI,2,6,0.4,0.6,Non-Solver,N/A
90,W4_TEN_PHI,2,2,0.8,0.2,Non-Solver,N/A
91,W4_TEN_PHI,2,8,0.28,0.72,Non-Solver,N/A
93,W4_TEN_PHI,1,4,0.09,0.91,Solver,N/A
94,W4_TEN_PHI,2,8,0.38,0.62,Non-Solver,N/A
95,W4_TEN_PHI,2,2,0.49,0.51,Non-Solver,N/A
96,W4_TEN_PHI,1,6,0.84,0.16,Solver,N/A
97,W4_TEN_PHI,1,4,0.36,0.64,Solver,N/A
98,W4_TEN_PHI,2,8,0.39,0.61,Non-Solver,N/A
99,W4_TEN_PHI,2,6,0.01,0.99,Non-Solver,N/A
100,W4_TEN_PHI,2,2,0.81,0.19,Non-Solver,N/A
101,W4_TEN_PHI,1,4,0.5,0.5,Solver,N/A
103,W4_TEN_PHI,2,2,0.55,0.45,Non-Solver,N/A
104,W4_TEN_PHI,2,6,0.09,0.91,Non-Solver,N/A
109,W4_TEN_PHI,2,4,0.39,0.61,Non-Solver,N/A
110,W4_TEN_PHI,1,4,0.64,0.36,Solver,N/A
112,W4_TEN_PHI,2,6,0.4,0.6,Non-Solver,N/A
113,W4_TEN_PHI,2,4,0.31,0.69,Non-Solver,N/A
115,W4_TEN_PHI,2,2,0.24,0.76,Non-Solver,N/A
118,W4_TEN_PHI,1,6,0.6,0.4,Solver,N/A
122,W4_TEN_PHI,2,6,0.17,0.83,Non-Solver,N/A
124,W4_TEN_PHI,2,2,0.4,0.6,Non-Solver,N/A
127,W4_TEN_PHI,1,6,0.7,0.3,Solver,N/A
129,W4_TEN_PHI,1,8,0.71,0.29,Solver,N/A
130,W4_TEN_PHI,2,8,0.3,0.7,Non-Solver,N/A
132,W4_TEN_PHI,2,6,0.4,0.6,Non-Solver,N/A
134,W4_TEN_PHI,1,4,0.66,0.34,Solver,N/A
136,W4_TEN_PHI,2,2,0.85,0.15,Non-Solver,N/A
143,W4_TEN_PHI,1,6,0.58,0.42,Solver,N/A
146,W4_TEN_PHI,2,2,0.19,0.81,Non-Solver,N/A
148,W4_TEN_PHI,2,2,0.84,0.16,Non-Solver,N/A
149,W4_TEN_PHI,2,6,0.45,0.55,Non-Solver,N/A
150,W4_TEN_PHI,2,6,0.63,0.37,Non-Solver,N/A
151,W4_TEN_PHI,2,6,0.39,0.61,Non-Solver,N/A
156,W4_TEN_PHI,1,2,0.5,0.5,Solver,N/A
159,W4_TEN_PHI,2,4,0.42,0.58,Non-Solver,N/A
165,W4_TEN_PHI,2,4,0.7,0.3,Non-Solver,N/A
167,W4_TEN_PHI,1,6,0.51,0.49,Solver,N/A
169,W4_TEN_PHI,2,4,0.48,0.52,Non-Solver,N/A
171,W4_TEN_PHI,2,6,0.4,0.6,Non-Solver,N/A
