Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W5_CIN_MIA,2,2,0.45,0.55,Non-Solver,N/A
4,W5_CIN_MIA,2,6,0.61,0.39,Non-Solver,N/A
6,W5_CIN_MIA,1,2,0.62,0.38,Solver,N/A
9,W5_CIN_MIA,1,8,0.38,0.62,Solver,N/A
10,W5_CIN_MIA,2,6,0.44,0.56,Non-Solver,N/A
11,W5_CIN_MIA,1,8,0.45,0.55,Solver,N/A
13,W5_CIN_MIA,2,2,0.68,0.32,Non-Solver,N/A
14,W5_CIN_MIA,2,2,0.78,0.22,Non-Solver,N/A
17,W5_CIN_MIA,1,6,0.6,0.4,Solver,N/A
21,W5_CIN_MIA,1,2,0.6,0.4,Solver,N/A
23,W5_CIN_MIA,1,8,0.79,0.21,Solver,N/A
24,W5_CIN_MIA,1,2,0.51,0.49,Solver,N/A
25,W5_CIN_MIA,2,2,0.78,0.22,Non-Solver,N/A
26,W5_CIN_MIA,2,4,0.71,0.29,Non-Solver,N/A
28,W5_CIN_MIA,2,2,0.55,0.45,Non-Solver,N/A
29,W5_CIN_MIA,2,4,0.55,0.45,Non-Solver,N/A
31,W5_CIN_MIA,2,4,0.49,0.51,Non-Solver,N/A
32,W5_CIN_MIA,1,2,0.65,0.35,Solver,N/A
33,W5_CIN_MIA,1,2,0.49,0.51,Solver,N/A
35,W5_CIN_MIA,2,2,0.5,0.5,Non-Solver,N/A
44,W5_CIN_MIA,1,2,0.2,0.8,Solver,N/A
45,W5_CIN_MIA,1,8,0.4,0.6,Solver,N/A
46,W5_CIN_MIA,2,6,0.45,0.55,Non-Solver,N/A
48,W5_CIN_MIA,2,2,0.64,0.36,Non-Solver,N/A
49,W5_CIN_MIA,1,6,0.69,0.31,Solver,N/A
51,W5_CIN_MIA,1,8,0.7,0.3,Solver,N/A
52,W5_CIN_MIA,1,10,1.0,0.0,Solver,N/A
53,W5_CIN_MIA,1,2,0.5,0.5,Solver,N/A
54,W5_CIN_MIA,1,6,0.45,0.55,Solver,N/A
