Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W5_HOU_DAL,2,8,0.4,0.6,Non-Solver,N/A
6,W5_HOU_DAL,1,2,0.42,0.58,Solver,N/A
9,W5_HOU_DAL,2,10,0.71,0.29,Non-Solver,N/A
10,W5_HOU_DAL,2,12,0.22,0.78,Non-Solver,N/A
11,W5_HOU_DAL,2,12,0.5,0.5,Non-Solver,N/A
13,W5_HOU_DAL,2,8,0.37,0.63,Non-Solver,N/A
14,W5_HOU_DAL,1,2,0.34,0.66,Solver,N/A
17,W5_HOU_DAL,1,10,0.62,0.38,Solver,N/A
21,W5_HOU_DAL,2,14,0.09,0.91,Non-Solver,N/A
23,W5_HOU_DAL,1,12,0.81,0.19,Solver,N/A
24,W5_HOU_DAL,1,8,0.85,0.15,Solver,N/A
25,W5_HOU_DAL,2,2,0.54,0.46,Non-Solver,N/A
26,W5_HOU_DAL,2,8,0.85,0.15,Non-Solver,N/A
28,W5_HOU_DAL,2,2,0.3,0.7,Non-Solver,N/A
29,W5_HOU_DAL,1,2,0.1,0.9,Solver,N/A
31,W5_HOU_DAL,2,14,0.24,0.76,Non-Solver,N/A
32,W5_HOU_DAL,2,2,0.3,0.7,Non-Solver,N/A
33,W5_HOU_DAL,2,2,0.52,0.48,Non-Solver,N/A
35,W5_HOU_DAL,2,2,0.3,0.7,Non-Solver,N/A
44,W5_HOU_DAL,2,8,0.7,0.3,Non-Solver,N/A
45,W5_HOU_DAL,2,12,0.2,0.8,Non-Solver,N/A
46,W5_HOU_DAL,2,10,0.42,0.58,Non-Solver,N/A
48,W5_HOU_DAL,2,8,0.64,0.36,Non-Solver,N/A
49,W5_HOU_DAL,2,10,0.28,0.72,Non-Solver,N/A
50,W5_HOU_DAL,2,10,0.61,0.39,Non-Solver,N/A
52,W5_HOU_DAL,2,14,0.0,1.0,Non-Solver,N/A
53,W5_HOU_DAL,1,2,0.5,0.5,Solver,N/A
54,W5_HOU_DAL,2,10,0.45,0.55,Non-Solver,N/A
56,W5_HOU_DAL,1,2,0.65,0.35,Solver,N/A
58,W5_HOU_DAL,2,2,0.3,0.7,Non-Solver,N/A
60,W5_HOU_DAL,2,12,0.14,0.86,Non-Solver,N/A
61,W5_HOU_DAL,1,10,0.58,0.42,Solver,N/A
64,W5_HOU_DAL,1,2,0.45,0.55,Solver,N/A
65,W5_HOU_DAL,1,8,0.43,0.57,Solver,N/A
66,W5_HOU_DAL,1,10,0.44,0.56,Solver,N/A
67,W5_HOU_DAL,2,10,0.23,0.77,Non-Solver,N/A
70,W5_HOU_DAL,2,14,0.08,0.92,Non-Solver,N/A
73,W5_HOU_DAL,2,2,0.5,0.5,Non-Solver,N/A
76,W5_HOU_DAL,2,10,0.58,0.42,Non-Solver,N/A
77,W5_HOU_DAL,1,2,0.21,0.79,Solver,N/A
78,W5_HOU_DAL,2,2,0.2,0.8,Non-Solver,N/A
80,W5_HOU_DAL,1,2,0.17,0.83,Solver,N/A
83,W5_HOU_DAL,2,10,0.58,0.42,Non-Solver,N/A
84,W5_HOU_DAL,1,10,0.51,0.49,Solver,N/A
86,W5_HOU_DAL,2,10,0.6,0.4,Non-Solver,N/A
87,W5_HOU_DAL,2,8,0.78,0.22,Non-Solver,N/A
88,W5_HOU_DAL,2,12,0.35,0.65,Non-Solver,N/A
89,W5_HOU_DAL,2,10,0.41,0.59,Non-Solver,N/A
92,W5_HOU_DAL,1,8,0.25,0.75,Solver,N/A
95,W5_HOU_DAL,2,2,0.61,0.39,Non-Solver,N/A
