Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W5_JAC_KC,1,2,0.35,0.65,Non-Solver,N/A
4,W5_JAC_KC,1,4,0.41,0.59,Non-Solver,N/A
6,W5_JAC_KC,2,2,0.55,0.45,Solver,N/A
9,W5_JAC_KC,1,6,0.56,0.44,Non-Solver,N/A
10,W5_JAC_KC,2,2,0.5,0.5,Solver,N/A
11,W5_JAC_KC,2,8,0.4,0.6,Solver,N/A
13,W5_JAC_KC,1,2,0.3,0.7,Non-Solver,N/A
14,W5_JAC_KC,1,2,0.25,0.75,Non-Solver,N/A
15,W5_JAC_KC,2,6,0.34,0.66,Solver,N/A
17,W5_JAC_KC,2,4,0.4,0.6,Solver,N/A
21,W5_JAC_KC,1,8,0.69,0.31,Non-Solver,N/A
23,W5_JAC_KC,1,6,0.56,0.44,Non-Solver,N/A
24,W5_JAC_KC,1,6,0.63,0.37,Non-Solver,N/A
25,W5_JAC_KC,1,4,0.41,0.59,Non-Solver,N/A
26,W5_JAC_KC,2,2,0.75,0.25,Solver,N/A
28,W5_JAC_KC,2,2,0.66,0.34,Solver,N/A
29,W5_JAC_KC,1,4,0.6,0.4,Non-Solver,N/A
31,W5_JAC_KC,1,4,0.5,0.5,Non-Solver,N/A
32,W5_JAC_KC,1,2,0.55,0.45,Non-Solver,N/A
33,W5_JAC_KC,1,2,0.5,0.5,Non-Solver,N/A
35,W5_JAC_KC,1,2,0.6,0.4,Non-Solver,N/A
39,W5_JAC_KC,1,8,0.7,0.3,Non-Solver,N/A
44,W5_JAC_KC,1,8,0.85,0.15,Non-Solver,N/A
45,W5_JAC_KC,2,4,0.4,0.6,Solver,N/A
46,W5_JAC_KC,2,6,0.56,0.44,Solver,N/A
48,W5_JAC_KC,1,4,0.35,0.65,Non-Solver,N/A
52,W5_JAC_KC,2,8,0.17,0.83,Solver,N/A
53,W5_JAC_KC,1,2,0.5,0.5,Non-Solver,N/A
54,W5_JAC_KC,1,8,0.66,0.34,Non-Solver,N/A
56,W5_JAC_KC,1,2,0.54,0.46,Non-Solver,N/A
60,W5_JAC_KC,1,8,0.91,0.09,Non-Solver,N/A
64,W5_JAC_KC,2,2,0.5,0.5,Solver,N/A
65,W5_JAC_KC,1,8,0.24,0.76,Non-Solver,N/A
66,W5_JAC_KC,1,6,0.4,0.6,Non-Solver,N/A
67,W5_JAC_KC,1,2,0.6,0.4,Non-Solver,N/A
71,W5_JAC_KC,2,10,0.24,0.76,Solver,N/A
73,W5_JAC_KC,1,2,0.5,0.5,Non-Solver,N/A
76,W5_JAC_KC,2,2,0.49,0.51,Solver,N/A
77,W5_JAC_KC,1,8,0.8,0.2,Non-Solver,N/A
78,W5_JAC_KC,1,2,0.51,0.49,Non-Solver,N/A
80,W5_JAC_KC,2,2,0.68,0.32,Solver,N/A
83,W5_JAC_KC,1,6,0.7,0.3,Non-Solver,N/A
84,W5_JAC_KC,2,6,0.49,0.51,Solver,N/A
86,W5_JAC_KC,1,4,0.41,0.59,Non-Solver,N/A
87,W5_JAC_KC,1,2,0.17,0.83,Non-Solver,N/A
88,W5_JAC_KC,1,2,0.48,0.52,Non-Solver,N/A
89,W5_JAC_KC,1,4,0.56,0.44,Non-Solver,N/A
92,W5_JAC_KC,2,6,0.41,0.59,Solver,N/A
95,W5_JAC_KC,2,10,0.31,0.69,Solver,N/A
96,W5_JAC_KC,2,6,0.38,0.62,Solver,N/A
97,W5_JAC_KC,1,8,0.79,0.21,Non-Solver,N/A
98,W5_JAC_KC,2,8,0.2,0.8,Solver,N/A
100,W5_JAC_KC,1,2,0.38,0.62,Non-Solver,N/A
101,W5_JAC_KC,2,6,0.37,0.63,Solver,N/A
103,W5_JAC_KC,1,6,0.3,0.7,Non-Solver,N/A
104,W5_JAC_KC,2,6,0.37,0.63,Solver,N/A
105,W5_JAC_KC,1,2,0.6,0.4,Non-Solver,N/A
106,W5_JAC_KC,2,8,0.19,0.81,Solver,N/A
109,W5_JAC_KC,2,6,0.41,0.59,Solver,N/A
110,W5_JAC_KC,1,4,0.63,0.37,Non-Solver,N/A
111,W5_JAC_KC,2,6,0.3,0.7,Solver,N/A
112,W5_JAC_KC,1,4,0.46,0.54,Non-Solver,N/A
113,W5_JAC_KC,2,6,0.48,0.52,Solver,N/A
114,W5_JAC_KC,1,6,0.57,0.43,Non-Solver,N/A
115,W5_JAC_KC,1,2,0.34,0.66,Non-Solver,N/A
118,W5_JAC_KC,1,8,0.95,0.05,Non-Solver,N/A
121,W5_JAC_KC,1,4,0.33,0.67,Non-Solver,N/A
127,W5_JAC_KC,1,10,0.63,0.37,Non-Solver,N/A
129,W5_JAC_KC,2,6,0.64,0.36,Solver,N/A
131,W5_JAC_KC,2,10,0.19,0.81,Solver,N/A
132,W5_JAC_KC,1,6,0.7,0.3,Non-Solver,N/A
134,W5_JAC_KC,1,6,0.51,0.49,Non-Solver,N/A
140,W5_JAC_KC,2,8,0.56,0.44,Solver,N/A
143,W5_JAC_KC,1,4,0.17,0.83,Non-Solver,N/A
146,W5_JAC_KC,2,2,0.5,0.5,Solver,N/A
149,W5_JAC_KC,1,2,0.3,0.7,Non-Solver,N/A
150,W5_JAC_KC,2,6,0.48,0.52,Solver,N/A
153,W5_JAC_KC,2,2,0.49,0.51,Solver,N/A
156,W5_JAC_KC,1,4,0.36,0.64,Non-Solver,N/A
165,W5_JAC_KC,1,10,1.0,0.0,Non-Solver,N/A
167,W5_JAC_KC,1,6,0.6,0.4,Non-Solver,N/A
169,W5_JAC_KC,1,2,0.43,0.57,Non-Solver,N/A
171,W5_JAC_KC,2,6,0.46,0.54,Solver,N/A
172,W5_JAC_KC,2,6,0.3,0.7,Solver,N/A
175,W5_JAC_KC,2,6,0.68,0.32,Solver,N/A
177,W5_JAC_KC,2,6,0.4,0.6,Solver,N/A
180,W5_JAC_KC,2,6,0.2,0.8,Solver,N/A
186,W5_JAC_KC,1,4,0.36,0.64,Non-Solver,N/A
190,W5_JAC_KC,2,2,0.6,0.4,Solver,N/A
191,W5_JAC_KC,1,2,0.54,0.46,Non-Solver,N/A
196,W5_JAC_KC,1,4,0.42,0.58,Non-Solver,N/A
199,W5_JAC_KC,1,2,0.29,0.71,Non-Solver,N/A
200,W5_JAC_KC,1,8,0.92,0.08,Non-Solver,N/A
202,W5_JAC_KC,2,10,0.15,0.85,Solver,N/A
203,W5_JAC_KC,1,4,0.46,0.54,Non-Solver,N/A
204,W5_JAC_KC,2,6,0.3,0.7,Solver,N/A
206,W5_JAC_KC,1,10,0.81,0.19,Non-Solver,N/A
207,W5_JAC_KC,2,10,0.0,1.0,Solver,N/A
210,W5_JAC_KC,1,4,0.36,0.64,Non-Solver,N/A
211,W5_JAC_KC,1,6,0.54,0.46,Non-Solver,N/A
212,W5_JAC_KC,2,8,0.15,0.85,Solver,N/A
215,W5_JAC_KC,2,6,0.3,0.7,Solver,N/A
218,W5_JAC_KC,1,2,0.13,0.87,Non-Solver,N/A
221,W5_JAC_KC,2,6,0.45,0.55,Solver,N/A
225,W5_JAC_KC,1,2,0.62,0.38,Non-Solver,N/A
227,W5_JAC_KC,1,6,0.73,0.27,Non-Solver,N/A
