Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,W5_TEN_BUF,2,2,0.65,0.35,Solver,N/A
4,W5_TEN_BUF,1,2,0.25,0.75,Non-Solver,N/A
6,W5_TEN_BUF,1,2,0.45,0.55,Non-Solver,N/A
9,W5_TEN_BUF,2,4,0.22,0.78,Solver,N/A
10,W5_TEN_BUF,2,6,0.42,0.58,Solver,N/A
11,W5_TEN_BUF,2,6,0.5,0.5,Solver,N/A
13,W5_TEN_BUF,2,2,0.8,0.2,Solver,N/A
14,W5_TEN_BUF,1,2,0.24,0.76,Non-Solver,N/A
17,W5_TEN_BUF,2,8,0.3,0.7,Solver,N/A
21,W5_TEN_BUF,1,2,0.5,0.5,Non-Solver,N/A
23,W5_TEN_BUF,2,8,0.19,0.81,Solver,N/A
24,W5_TEN_BUF,2,4,0.6,0.4,Solver,N/A
25,W5_TEN_BUF,1,2,0.27,0.73,Non-Solver,N/A
26,W5_TEN_BUF,1,2,0.83,0.17,Non-Solver,N/A
27,W5_TEN_BUF,1,4,0.61,0.39,Non-Solver,N/A
28,W5_TEN_BUF,2,2,0.81,0.19,Solver,N/A
29,W5_TEN_BUF,2,4,0.66,0.34,Solver,N/A
31,W5_TEN_BUF,1,8,0.74,0.26,Non-Solver,N/A
32,W5_TEN_BUF,2,2,0.45,0.55,Solver,N/A
33,W5_TEN_BUF,1,2,0.47,0.53,Non-Solver,N/A
35,W5_TEN_BUF,2,4,0.5,0.5,Solver,N/A
39,W5_TEN_BUF,1,6,0.71,0.29,Non-Solver,N/A
44,W5_TEN_BUF,1,4,0.2,0.8,Non-Solver,N/A
45,W5_TEN_BUF,1,10,0.8,0.2,Non-Solver,N/A
46,W5_TEN_BUF,1,10,0.85,0.15,Non-Solver,N/A
48,W5_TEN_BUF,1,6,0.68,0.32,Non-Solver,N/A
49,W5_TEN_BUF,2,6,0.31,0.69,Solver,N/A
51,W5_TEN_BUF,1,2,0.4,0.6,Non-Solver,N/A
52,W5_TEN_BUF,2,4,0.9,0.1,Solver,N/A
53,W5_TEN_BUF,2,2,0.5,0.5,Solver,N/A
54,W5_TEN_BUF,2,6,0.65,0.35,Solver,N/A
56,W5_TEN_BUF,1,2,0.58,0.42,Non-Solver,N/A
58,W5_TEN_BUF,2,2,0.39,0.61,Solver,N/A
60,W5_TEN_BUF,1,6,0.71,0.29,Non-Solver,N/A
61,W5_TEN_BUF,2,6,0.44,0.56,Solver,N/A
64,W5_TEN_BUF,2,6,0.45,0.55,Solver,N/A
65,W5_TEN_BUF,2,8,0.37,0.63,Solver,N/A
66,W5_TEN_BUF,1,8,0.62,0.38,Non-Solver,N/A
67,W5_TEN_BUF,1,2,0.6,0.4,Non-Solver,N/A
70,W5_TEN_BUF,1,8,0.81,0.19,Non-Solver,N/A
73,W5_TEN_BUF,2,2,0.5,0.5,Solver,N/A
76,W5_TEN_BUF,1,8,0.7,0.3,Non-Solver,N/A
77,W5_TEN_BUF,1,2,0.13,0.87,Non-Solver,N/A
78,W5_TEN_BUF,1,2,0.5,0.5,Non-Solver,N/A
80,W5_TEN_BUF,2,2,0.85,0.15,Solver,N/A
83,W5_TEN_BUF,1,4,0.54,0.46,Non-Solver,N/A
84,W5_TEN_BUF,1,6,0.52,0.48,Non-Solver,N/A
86,W5_TEN_BUF,1,4,0.4,0.6,Non-Solver,N/A
87,W5_TEN_BUF,2,2,0.85,0.15,Solver,N/A
88,W5_TEN_BUF,1,6,0.66,0.34,Non-Solver,N/A
92,W5_TEN_BUF,1,6,0.6,0.4,Non-Solver,N/A
95,W5_TEN_BUF,1,2,0.29,0.71,Non-Solver,N/A
96,W5_TEN_BUF,2,8,0.32,0.68,Solver,N/A
97,W5_TEN_BUF,2,4,0.67,0.33,Solver,N/A
98,W5_TEN_BUF,1,8,0.77,0.23,Non-Solver,N/A
100,W5_TEN_BUF,2,2,0.41,0.59,Solver,N/A
101,W5_TEN_BUF,1,8,0.71,0.29,Non-Solver,N/A
103,W5_TEN_BUF,1,6,0.32,0.68,Non-Solver,N/A
104,W5_TEN_BUF,2,6,0.41,0.59,Solver,N/A
105,W5_TEN_BUF,1,2,0.5,0.5,Non-Solver,N/A
106,W5_TEN_BUF,1,2,0.73,0.27,Non-Solver,N/A
109,W5_TEN_BUF,2,6,0.37,0.63,Solver,N/A
110,W5_TEN_BUF,1,4,0.62,0.38,Non-Solver,N/A
111,W5_TEN_BUF,1,10,0.91,0.09,Non-Solver,N/A
112,W5_TEN_BUF,2,6,0.4,0.6,Solver,N/A
113,W5_TEN_BUF,2,4,0.55,0.45,Solver,N/A
114,W5_TEN_BUF,1,8,0.72,0.28,Non-Solver,N/A
118,W5_TEN_BUF,1,8,0.82,0.18,Non-Solver,N/A
119,W5_TEN_BUF,1,2,0.5,0.5,Non-Solver,N/A
121,W5_TEN_BUF,2,2,0.5,0.5,Solver,N/A
129,W5_TEN_BUF,2,2,0.69,0.31,Solver,N/A
131,W5_TEN_BUF,1,6,0.65,0.35,Non-Solver,N/A
132,W5_TEN_BUF,1,8,0.8,0.2,Non-Solver,N/A
134,W5_TEN_BUF,2,6,0.35,0.65,Solver,N/A
137,W5_TEN_BUF,2,6,0.42,0.58,Solver,N/A
140,W5_TEN_BUF,2,4,0.67,0.33,Solver,N/A
143,W5_TEN_BUF,1,6,0.51,0.49,Non-Solver,N/A
146,W5_TEN_BUF,2,2,0.59,0.41,Solver,N/A
149,W5_TEN_BUF,1,2,0.29,0.71,Non-Solver,N/A
150,W5_TEN_BUF,2,4,0.53,0.47,Solver,N/A
153,W5_TEN_BUF,2,2,0.49,0.51,Solver,N/A
156,W5_TEN_BUF,1,4,0.34,0.66,Non-Solver,N/A
162,W5_TEN_BUF,1,2,0.48,0.52,Non-Solver,N/A
167,W5_TEN_BUF,2,8,0.1,0.9,Solver,N/A
169,W5_TEN_BUF,1,2,0.41,0.59,Non-Solver,N/A
171,W5_TEN_BUF,2,6,0.38,0.62,Solver,N/A
172,W5_TEN_BUF,1,8,0.2,0.8,Non-Solver,N/A
175,W5_TEN_BUF,2,4,0.73,0.27,Solver,N/A
177,W5_TEN_BUF,2,6,0.6,0.4,Solver,N/A
180,W5_TEN_BUF,1,6,0.81,0.19,Non-Solver,N/A
186,W5_TEN_BUF,1,6,0.51,0.49,Non-Solver,N/A
190,W5_TEN_BUF,2,6,0.35,0.65,Solver,N/A
191,W5_TEN_BUF,2,2,0.46,0.54,Solver,N/A
196,W5_TEN_BUF,1,4,0.43,0.57,Non-Solver,N/A
199,W5_TEN_BUF,2,2,0.66,0.34,Solver,N/A
200,W5_TEN_BUF,1,6,0.75,0.25,Non-Solver,N/A
202,W5_TEN_BUF,2,4,0.78,0.22,Solver,N/A
203,W5_TEN_BUF,1,8,0.44,0.56,Non-Solver,N/A
204,W5_TEN_BUF,2,6,0.4,0.6,Solver,N/A
206,W5_TEN_BUF,1,4,0.26,0.74,Non-Solver,N/A
210,W5_TEN_BUF,1,4,0.31,0.69,Non-Solver,N/A
211,W5_TEN_BUF,1,6,0.54,0.46,Non-Solver,N/A
212,W5_TEN_BUF,2,6,0.28,0.72,Solver,N/A
215,W5_TEN_BUF,2,8,0.35,0.65,Solver,N/A
218,W5_TEN_BUF,1,6,0.56,0.44,Non-Solver,N/A
221,W5_TEN_BUF,1,10,1.0,0.0,Non-Solver,N/A
225,W5_TEN_BUF,1,2,0.54,0.46,Non-Solver,N/A
227,W5_TEN_BUF,1,6,0.5,0.5,Non-Solver,N/A
