Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W6_CAR_WAS,1,4,0.52,0.48,Non-Solver,N/A
3,W6_CAR_WAS,2,2,0.7,0.3,Solver,N/A
4,W6_CAR_WAS,2,6,0.39,0.61,Solver,N/A
6,W6_CAR_WAS,1,2,0.59,0.41,Non-Solver,N/A
8,W6_CAR_WAS,1,2,0.09,0.91,Non-Solver,N/A
9,W6_CAR_WAS,2,4,0.62,0.38,Solver,N/A
11,W6_CAR_WAS,2,6,0.5,0.5,Solver,N/A
13,W6_CAR_WAS,1,4,0.62,0.38,Non-Solver,N/A
14,W6_CAR_WAS,1,2,0.24,0.76,Non-Solver,N/A
15,W6_CAR_WAS,1,4,0.42,0.58,Non-Solver,N/A
16,W6_CAR_WAS,1,6,0.53,0.47,Non-Solver,N/A
17,W6_CAR_WAS,2,6,0.35,0.65,Solver,N/A
21,W6_CAR_WAS,1,6,0.29,0.71,Non-Solver,N/A
23,W6_CAR_WAS,1,8,0.8,0.2,Non-Solver,N/A
24,W6_CAR_WAS,2,4,0.84,0.16,Solver,N/A
25,W6_CAR_WAS,1,2,0.29,0.71,Non-Solver,N/A
26,W6_CAR_WAS,1,2,0.8,0.2,Non-Solver,N/A
27,W6_CAR_WAS,2,4,0.6,0.4,Solver,N/A
28,W6_CAR_WAS,2,2,0.39,0.61,Solver,N/A
29,W6_CAR_WAS,1,2,0.3,0.7,Non-Solver,N/A
31,W6_CAR_WAS,2,6,0.47,0.53,Solver,N/A
32,W6_CAR_WAS,1,2,0.56,0.44,Non-Solver,N/A
33,W6_CAR_WAS,1,2,0.51,0.49,Non-Solver,N/A
35,W6_CAR_WAS,1,4,0.2,0.8,Non-Solver,N/A
44,W6_CAR_WAS,1,6,0.4,0.6,Non-Solver,N/A
45,W6_CAR_WAS,1,10,0.7,0.3,Non-Solver,N/A
46,W6_CAR_WAS,1,8,0.54,0.46,Non-Solver,N/A
48,W6_CAR_WAS,2,4,0.54,0.46,Solver,N/A
49,W6_CAR_WAS,2,6,0.59,0.41,Solver,N/A
50,W6_CAR_WAS,1,4,0.42,0.58,Non-Solver,N/A
51,W6_CAR_WAS,1,8,0.61,0.39,Non-Solver,N/A
53,W6_CAR_WAS,1,2,0.5,0.5,Non-Solver,N/A
54,W6_CAR_WAS,1,6,0.65,0.35,Non-Solver,N/A
56,W6_CAR_WAS,1,2,0.54,0.46,Non-Solver,N/A
57,W6_CAR_WAS,1,8,0.6,0.4,Non-Solver,N/A
60,W6_CAR_WAS,1,8,0.75,0.25,Non-Solver,N/A
61,W6_CAR_WAS,1,6,0.55,0.45,Non-Solver,N/A
62,W6_CAR_WAS,1,2,0.42,0.58,Non-Solver,N/A
64,W6_CAR_WAS,2,6,0.35,0.65,Solver,N/A
65,W6_CAR_WAS,2,6,0.55,0.45,Solver,N/A
66,W6_CAR_WAS,2,6,0.42,0.58,Solver,N/A
67,W6_CAR_WAS,1,2,0.7,0.3,Non-Solver,N/A
69,W6_CAR_WAS,1,8,0.83,0.17,Non-Solver,N/A
70,W6_CAR_WAS,1,6,0.78,0.22,Non-Solver,N/A
73,W6_CAR_WAS,1,2,0.5,0.5,Non-Solver,N/A
75,W6_CAR_WAS,1,8,0.66,0.34,Non-Solver,N/A
76,W6_CAR_WAS,1,6,0.6,0.4,Non-Solver,N/A
77,W6_CAR_WAS,1,2,0.62,0.38,Non-Solver,N/A
78,W6_CAR_WAS,1,2,0.51,0.49,Non-Solver,N/A
80,W6_CAR_WAS,1,4,0.27,0.73,Non-Solver,N/A
82,W6_CAR_WAS,2,6,0.5,0.5,Solver,N/A
83,W6_CAR_WAS,1,8,0.68,0.32,Non-Solver,N/A
84,W6_CAR_WAS,1,6,0.59,0.41,Non-Solver,N/A
86,W6_CAR_WAS,1,6,0.56,0.44,Non-Solver,N/A
88,W6_CAR_WAS,1,4,0.42,0.58,Non-Solver,N/A
91,W6_CAR_WAS,2,4,0.68,0.32,Solver,N/A
92,W6_CAR_WAS,1,8,0.66,0.34,Non-Solver,N/A
95,W6_CAR_WAS,1,2,0.6,0.4,Non-Solver,N/A
97,W6_CAR_WAS,1,10,0.57,0.43,Non-Solver,N/A
98,W6_CAR_WAS,1,6,0.54,0.46,Non-Solver,N/A
99,W6_CAR_WAS,2,2,0.5,0.5,Solver,N/A
100,W6_CAR_WAS,2,4,0.25,0.75,Solver,N/A
101,W6_CAR_WAS,1,6,0.67,0.33,Non-Solver,N/A
103,W6_CAR_WAS,1,6,0.41,0.59,Non-Solver,N/A
104,W6_CAR_WAS,1,6,0.49,0.51,Non-Solver,N/A
105,W6_CAR_WAS,1,2,0.5,0.5,Non-Solver,N/A
106,W6_CAR_WAS,2,6,0.42,0.58,Solver,N/A
109,W6_CAR_WAS,1,6,0.65,0.35,Non-Solver,N/A
110,W6_CAR_WAS,1,4,0.58,0.42,Non-Solver,N/A
111,W6_CAR_WAS,1,6,0.75,0.25,Non-Solver,N/A
113,W6_CAR_WAS,2,6,0.48,0.52,Solver,N/A
114,W6_CAR_WAS,1,6,0.53,0.47,Non-Solver,N/A
115,W6_CAR_WAS,1,2,0.65,0.35,Non-Solver,N/A
117,W6_CAR_WAS,1,8,0.78,0.22,Non-Solver,N/A
118,W6_CAR_WAS,2,8,0.22,0.78,Solver,N/A
119,W6_CAR_WAS,1,6,0.65,0.35,Non-Solver,N/A
122,W6_CAR_WAS,2,8,0.13,0.87,Solver,N/A
123,W6_CAR_WAS,1,6,0.9,0.1,Non-Solver,N/A
