Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W6_IND_NYJ,2,4,0.63,0.37,Solver,N/A
3,W6_IND_NYJ,2,2,0.45,0.55,Solver,N/A
4,W6_IND_NYJ,1,6,0.52,0.48,Non-Solver,N/A
6,W6_IND_NYJ,1,2,0.45,0.55,Non-Solver,N/A
8,W6_IND_NYJ,1,2,0.04,0.96,Non-Solver,N/A
9,W6_IND_NYJ,1,6,0.68,0.32,Non-Solver,N/A
11,W6_IND_NYJ,1,8,0.7,0.3,Non-Solver,N/A
13,W6_IND_NYJ,2,2,0.68,0.32,Solver,N/A
14,W6_IND_NYJ,2,4,0.68,0.32,Solver,N/A
15,W6_IND_NYJ,2,4,0.55,0.45,Solver,N/A
16,W6_IND_NYJ,1,2,0.4,0.6,Non-Solver,N/A
17,W6_IND_NYJ,1,8,0.65,0.35,Non-Solver,N/A
21,W6_IND_NYJ,2,10,0.2,0.8,Solver,N/A
23,W6_IND_NYJ,2,6,0.31,0.69,Solver,N/A
24,W6_IND_NYJ,2,6,0.15,0.85,Solver,N/A
25,W6_IND_NYJ,1,4,0.69,0.31,Non-Solver,N/A
27,W6_IND_NYJ,1,6,0.4,0.6,Non-Solver,N/A
28,W6_IND_NYJ,2,2,0.67,0.33,Solver,N/A
29,W6_IND_NYJ,1,4,0.4,0.6,Non-Solver,N/A
31,W6_IND_NYJ,2,6,0.47,0.53,Solver,N/A
32,W6_IND_NYJ,1,2,0.52,0.48,Non-Solver,N/A
33,W6_IND_NYJ,2,2,0.5,0.5,Solver,N/A
35,W6_IND_NYJ,2,2,1.0,0.0,Solver,N/A
44,W6_IND_NYJ,1,4,0.4,0.6,Non-Solver,N/A
45,W6_IND_NYJ,2,4,0.72,0.28,Solver,N/A
46,W6_IND_NYJ,2,8,0.4,0.6,Solver,N/A
48,W6_IND_NYJ,2,4,0.33,0.67,Solver,N/A
49,W6_IND_NYJ,1,2,0.53,0.47,Non-Solver,N/A
50,W6_IND_NYJ,1,6,0.69,0.31,Non-Solver,N/A
51,W6_IND_NYJ,1,4,0.39,0.61,Non-Solver,N/A
53,W6_IND_NYJ,1,2,0.5,0.5,Non-Solver,N/A
54,W6_IND_NYJ,1,6,0.46,0.54,Non-Solver,N/A
56,W6_IND_NYJ,2,2,0.45,0.55,Solver,N/A
60,W6_IND_NYJ,2,6,0.22,0.78,Solver,N/A
61,W6_IND_NYJ,1,6,0.6,0.4,Non-Solver,N/A
62,W6_IND_NYJ,1,2,0.4,0.6,Non-Solver,N/A
64,W6_IND_NYJ,2,6,0.3,0.7,Solver,N/A
65,W6_IND_NYJ,2,8,0.42,0.58,Solver,N/A
66,W6_IND_NYJ,2,4,0.58,0.42,Solver,N/A
67,W6_IND_NYJ,2,6,0.19,0.81,Solver,N/A
69,W6_IND_NYJ,2,6,0.52,0.48,Solver,N/A
70,W6_IND_NYJ,2,10,0.05,0.95,Solver,N/A
71,W6_IND_NYJ,1,8,0.75,0.25,Non-Solver,N/A
73,W6_IND_NYJ,1,2,0.5,0.5,Non-Solver,N/A
76,W6_IND_NYJ,1,6,0.66,0.34,Non-Solver,N/A
77,W6_IND_NYJ,1,2,0.64,0.36,Non-Solver,N/A
