Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W6_LAR_DEN,1,8,0.52,0.48,Solver,N/A
3,W6_LAR_DEN,2,4,0.45,0.55,Non-Solver,N/A
4,W6_LAR_DEN,2,8,0.3,0.7,Non-Solver,N/A
6,W6_LAR_DEN,1,2,0.5,0.5,Solver,N/A
8,W6_LAR_DEN,1,2,0.08,0.92,Solver,N/A
9,W6_LAR_DEN,1,10,0.94,0.0600000000000001,Solver,N/A
11,W6_LAR_DEN,1,10,0.85,0.15,Solver,N/A
13,W6_LAR_DEN,2,4,0.29,0.71,Non-Solver,N/A
14,W6_LAR_DEN,1,4,0.38,0.62,Solver,N/A
15,W6_LAR_DEN,1,6,0.59,0.41,Solver,N/A
16,W6_LAR_DEN,1,8,0.72,0.28,Solver,N/A
17,W6_LAR_DEN,1,8,0.63,0.37,Solver,N/A
20,W6_LAR_DEN,1,6,0.69,0.31,Solver,N/A
21,W6_LAR_DEN,1,10,0.8,0.2,Solver,N/A
23,W6_LAR_DEN,1,10,1.0,0.0,Solver,N/A
24,W6_LAR_DEN,1,2,0.95,0.05,Solver,N/A
25,W6_LAR_DEN,1,8,0.83,0.17,Solver,N/A
28,W6_LAR_DEN,2,2,0.3,0.7,Non-Solver,N/A
29,W6_LAR_DEN,1,8,0.5,0.5,Solver,N/A
31,W6_LAR_DEN,1,6,0.52,0.48,Solver,N/A
32,W6_LAR_DEN,1,2,0.6,0.4,Solver,N/A
33,W6_LAR_DEN,1,2,0.49,0.51,Solver,N/A
35,W6_LAR_DEN,1,2,0.1,0.9,Solver,N/A
44,W6_LAR_DEN,1,8,0.8,0.2,Solver,N/A
45,W6_LAR_DEN,1,10,0.89,0.11,Solver,N/A
46,W6_LAR_DEN,2,6,0.4,0.6,Non-Solver,N/A
48,W6_LAR_DEN,1,8,0.86,0.14,Solver,N/A
49,W6_LAR_DEN,1,6,0.68,0.32,Solver,N/A
51,W6_LAR_DEN,1,8,0.75,0.25,Solver,N/A
53,W6_LAR_DEN,1,2,0.5,0.5,Solver,N/A
54,W6_LAR_DEN,2,6,0.53,0.47,Non-Solver,N/A
56,W6_LAR_DEN,2,2,0.44,0.56,Non-Solver,N/A
57,W6_LAR_DEN,1,8,0.65,0.35,Solver,N/A
60,W6_LAR_DEN,1,6,0.71,0.29,Solver,N/A
61,W6_LAR_DEN,1,8,0.75,0.25,Solver,N/A
62,W6_LAR_DEN,1,6,0.61,0.39,Solver,N/A
64,W6_LAR_DEN,2,6,0.44,0.56,Non-Solver,N/A
65,W6_LAR_DEN,1,10,1.0,0.0,Solver,N/A
67,W6_LAR_DEN,1,6,0.76,0.24,Solver,N/A
69,W6_LAR_DEN,2,6,0.47,0.53,Non-Solver,N/A
70,W6_LAR_DEN,2,8,0.11,0.89,Non-Solver,N/A
71,W6_LAR_DEN,1,10,0.66,0.34,Solver,N/A
73,W6_LAR_DEN,1,2,0.5,0.5,Solver,N/A
75,W6_LAR_DEN,1,8,0.71,0.29,Solver,N/A
76,W6_LAR_DEN,1,10,0.88,0.12,Solver,N/A
77,W6_LAR_DEN,2,2,0.31,0.69,Non-Solver,N/A
78,W6_LAR_DEN,1,2,0.7,0.3,Solver,N/A
80,W6_LAR_DEN,2,2,0.72,0.28,Non-Solver,N/A
82,W6_LAR_DEN,1,6,0.46,0.54,Solver,N/A
83,W6_LAR_DEN,1,8,0.76,0.24,Solver,N/A
84,W6_LAR_DEN,1,8,0.76,0.24,Solver,N/A
88,W6_LAR_DEN,1,6,0.55,0.45,Solver,N/A
89,W6_LAR_DEN,1,6,0.7,0.3,Solver,N/A
91,W6_LAR_DEN,1,8,0.85,0.15,Solver,N/A
92,W6_LAR_DEN,1,10,1.0,0.0,Solver,N/A
95,W6_LAR_DEN,2,4,0.4,0.6,Non-Solver,N/A
97,W6_LAR_DEN,2,4,0.73,0.27,Non-Solver,N/A
98,W6_LAR_DEN,2,6,0.52,0.48,Non-Solver,N/A
99,W6_LAR_DEN,1,6,0.61,0.39,Solver,N/A
100,W6_LAR_DEN,2,2,0.58,0.42,Non-Solver,N/A
103,W6_LAR_DEN,1,6,0.36,0.64,Solver,N/A
104,W6_LAR_DEN,2,6,0.57,0.43,Non-Solver,N/A
105,W6_LAR_DEN,2,2,0.5,0.5,Non-Solver,N/A
