Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W6_PHI_NYG,2,6,0.3,0.7,Non-Solver,N/A
3,W6_PHI_NYG,1,4,0.45,0.55,Solver,N/A
4,W6_PHI_NYG,2,6,0.39,0.61,Non-Solver,N/A
6,W6_PHI_NYG,2,4,0.65,0.35,Non-Solver,N/A
8,W6_PHI_NYG,1,2,0.06,0.94,Solver,N/A
9,W6_PHI_NYG,1,8,0.79,0.21,Solver,N/A
11,W6_PHI_NYG,2,6,0.6,0.4,Non-Solver,N/A
13,W6_PHI_NYG,2,4,0.6,0.4,Non-Solver,N/A
14,W6_PHI_NYG,2,4,0.67,0.33,Non-Solver,N/A
16,W6_PHI_NYG,1,2,0.3,0.7,Solver,N/A
17,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
21,W6_PHI_NYG,2,8,0.2,0.8,Non-Solver,N/A
23,W6_PHI_NYG,2,6,0.46,0.54,Non-Solver,N/A
24,W6_PHI_NYG,2,2,0.17,0.83,Non-Solver,N/A
25,W6_PHI_NYG,1,6,0.64,0.36,Solver,N/A
26,W6_PHI_NYG,1,2,0.69,0.31,Solver,N/A
27,W6_PHI_NYG,1,6,0.5,0.5,Solver,N/A
28,W6_PHI_NYG,2,2,0.38,0.62,Non-Solver,N/A
29,W6_PHI_NYG,1,10,0.7,0.3,Solver,N/A
30,W6_PHI_NYG,2,4,0.45,0.55,Non-Solver,N/A
31,W6_PHI_NYG,1,6,0.46,0.54,Solver,N/A
32,W6_PHI_NYG,1,2,0.51,0.49,Solver,N/A
33,W6_PHI_NYG,2,2,0.53,0.47,Non-Solver,N/A
35,W6_PHI_NYG,1,6,0.5,0.5,Solver,N/A
39,W6_PHI_NYG,1,4,0.11,0.89,Solver,N/A
44,W6_PHI_NYG,1,6,0.7,0.3,Solver,N/A
45,W6_PHI_NYG,1,8,0.9,0.1,Solver,N/A
46,W6_PHI_NYG,2,6,0.35,0.65,Non-Solver,N/A
48,W6_PHI_NYG,1,6,0.66,0.34,Solver,N/A
49,W6_PHI_NYG,1,6,0.74,0.26,Solver,N/A
50,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
53,W6_PHI_NYG,1,2,0.5,0.5,Solver,N/A
54,W6_PHI_NYG,1,6,0.55,0.45,Solver,N/A
56,W6_PHI_NYG,1,2,0.54,0.46,Solver,N/A
57,W6_PHI_NYG,1,6,0.5,0.5,Solver,N/A
60,W6_PHI_NYG,2,6,0.33,0.67,Non-Solver,N/A
61,W6_PHI_NYG,2,6,0.4,0.6,Non-Solver,N/A
62,W6_PHI_NYG,1,8,0.71,0.29,Solver,N/A
64,W6_PHI_NYG,1,6,0.6,0.4,Solver,N/A
65,W6_PHI_NYG,1,6,0.54,0.46,Solver,N/A
66,W6_PHI_NYG,1,4,0.47,0.53,Solver,N/A
67,W6_PHI_NYG,1,8,0.8,0.2,Solver,N/A
69,W6_PHI_NYG,2,8,0.15,0.85,Non-Solver,N/A
71,W6_PHI_NYG,1,10,0.78,0.22,Solver,N/A
73,W6_PHI_NYG,1,2,0.5,0.5,Solver,N/A
75,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
76,W6_PHI_NYG,1,8,0.65,0.35,Solver,N/A
77,W6_PHI_NYG,2,2,0.27,0.73,Non-Solver,N/A
78,W6_PHI_NYG,1,2,0.4,0.6,Solver,N/A
80,W6_PHI_NYG,2,2,0.86,0.14,Non-Solver,N/A
82,W6_PHI_NYG,1,8,0.7,0.3,Solver,N/A
83,W6_PHI_NYG,1,8,0.69,0.31,Solver,N/A
84,W6_PHI_NYG,1,6,0.53,0.47,Solver,N/A
86,W6_PHI_NYG,1,8,0.6,0.4,Solver,N/A
88,W6_PHI_NYG,1,4,0.48,0.52,Solver,N/A
89,W6_PHI_NYG,1,6,0.64,0.36,Solver,N/A
91,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
92,W6_PHI_NYG,1,10,0.8,0.2,Solver,N/A
95,W6_PHI_NYG,2,6,0.5,0.5,Non-Solver,N/A
97,W6_PHI_NYG,1,4,0.35,0.65,Solver,N/A
98,W6_PHI_NYG,2,8,0.46,0.54,Non-Solver,N/A
99,W6_PHI_NYG,2,6,0.28,0.72,Non-Solver,N/A
100,W6_PHI_NYG,2,2,0.36,0.64,Non-Solver,N/A
101,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
103,W6_PHI_NYG,2,6,0.69,0.31,Non-Solver,N/A
104,W6_PHI_NYG,2,6,0.53,0.47,Non-Solver,N/A
105,W6_PHI_NYG,2,2,0.4,0.6,Non-Solver,N/A
106,W6_PHI_NYG,1,10,0.76,0.24,Solver,N/A
109,W6_PHI_NYG,1,6,0.65,0.35,Solver,N/A
110,W6_PHI_NYG,1,4,0.58,0.42,Solver,N/A
111,W6_PHI_NYG,2,6,0.7,0.3,Non-Solver,N/A
113,W6_PHI_NYG,1,6,0.53,0.47,Solver,N/A
114,W6_PHI_NYG,1,8,0.85,0.15,Solver,N/A
115,W6_PHI_NYG,2,2,0.55,0.45,Non-Solver,N/A
117,W6_PHI_NYG,1,8,0.84,0.16,Solver,N/A
118,W6_PHI_NYG,2,8,0.4,0.6,Non-Solver,N/A
119,W6_PHI_NYG,1,2,0.5,0.5,Solver,N/A
122,W6_PHI_NYG,1,6,0.7,0.3,Solver,N/A
123,W6_PHI_NYG,1,2,0.68,0.32,Solver,N/A
124,W6_PHI_NYG,1,6,0.6,0.4,Solver,N/A
126,W6_PHI_NYG,1,4,0.7,0.3,Solver,N/A
129,W6_PHI_NYG,2,4,0.37,0.63,Non-Solver,N/A
130,W6_PHI_NYG,2,2,0.7,0.3,Non-Solver,N/A
132,W6_PHI_NYG,2,2,0.5,0.5,Non-Solver,N/A
134,W6_PHI_NYG,2,6,0.45,0.55,Non-Solver,N/A
136,W6_PHI_NYG,1,4,0.37,0.63,Solver,N/A
137,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
143,W6_PHI_NYG,1,4,0.18,0.82,Solver,N/A
146,W6_PHI_NYG,1,4,0.8,0.2,Solver,N/A
149,W6_PHI_NYG,2,6,0.39,0.61,Non-Solver,N/A
150,W6_PHI_NYG,2,6,0.47,0.53,Non-Solver,N/A
153,W6_PHI_NYG,1,2,0.51,0.49,Solver,N/A
156,W6_PHI_NYG,1,2,0.72,0.28,Solver,N/A
158,W6_PHI_NYG,2,2,0.39,0.61,Non-Solver,N/A
165,W6_PHI_NYG,1,6,0.61,0.39,Solver,N/A
167,W6_PHI_NYG,2,8,0.11,0.89,Non-Solver,N/A
169,W6_PHI_NYG,1,4,0.5,0.5,Solver,N/A
171,W6_PHI_NYG,1,6,0.45,0.55,Solver,N/A
172,W6_PHI_NYG,2,2,0.47,0.53,Non-Solver,N/A
175,W6_PHI_NYG,2,8,0.23,0.77,Non-Solver,N/A
177,W6_PHI_NYG,2,6,0.25,0.75,Non-Solver,N/A
180,W6_PHI_NYG,1,8,0.85,0.15,Solver,N/A
181,W6_PHI_NYG,2,2,0.49,0.51,Non-Solver,N/A
189,W6_PHI_NYG,1,8,0.6,0.4,Solver,N/A
190,W6_PHI_NYG,2,6,0.33,0.67,Non-Solver,N/A
192,W6_PHI_NYG,1,10,0.86,0.14,Solver,N/A
196,W6_PHI_NYG,1,2,0.32,0.68,Solver,N/A
199,W6_PHI_NYG,2,2,0.68,0.32,Non-Solver,N/A
200,W6_PHI_NYG,2,6,0.25,0.75,Non-Solver,N/A
203,W6_PHI_NYG,2,4,0.59,0.41,Non-Solver,N/A
204,W6_PHI_NYG,2,6,0.4,0.6,Non-Solver,N/A
207,W6_PHI_NYG,1,8,0.8,0.2,Solver,N/A
210,W6_PHI_NYG,2,2,0.69,0.31,Non-Solver,N/A
211,W6_PHI_NYG,2,6,0.47,0.53,Non-Solver,N/A
212,W6_PHI_NYG,1,8,0.8,0.2,Solver,N/A
214,W6_PHI_NYG,1,4,0.25,0.75,Solver,N/A
215,W6_PHI_NYG,1,8,0.7,0.3,Solver,N/A
218,W6_PHI_NYG,2,10,0.31,0.69,Non-Solver,N/A
225,W6_PHI_NYG,2,6,0.25,0.75,Non-Solver,N/A
227,W6_PHI_NYG,1,6,0.63,0.37,Solver,N/A
