Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W6_PIT_CIN,1,10,0.77,0.23,Solver,N/A
3,W6_PIT_CIN,1,6,0.65,0.35,Solver,N/A
4,W6_PIT_CIN,1,6,0.61,0.39,Solver,N/A
6,W6_PIT_CIN,1,8,0.73,0.27,Solver,N/A
8,W6_PIT_CIN,1,2,0.12,0.88,Solver,N/A
9,W6_PIT_CIN,1,4,0.65,0.35,Solver,N/A
11,W6_PIT_CIN,2,6,0.55,0.45,Non-Solver,N/A
13,W6_PIT_CIN,1,2,0.43,0.57,Solver,N/A
14,W6_PIT_CIN,1,2,0.21,0.79,Solver,N/A
15,W6_PIT_CIN,1,6,0.54,0.46,Solver,N/A
16,W6_PIT_CIN,1,6,0.62,0.38,Solver,N/A
17,W6_PIT_CIN,2,6,0.43,0.57,Non-Solver,N/A
21,W6_PIT_CIN,2,4,0.5,0.5,Non-Solver,N/A
23,W6_PIT_CIN,1,8,0.8,0.2,Solver,N/A
24,W6_PIT_CIN,1,2,0.87,0.13,Solver,N/A
25,W6_PIT_CIN,1,4,0.25,0.75,Solver,N/A
27,W6_PIT_CIN,1,6,0.6,0.4,Solver,N/A
28,W6_PIT_CIN,1,2,0.62,0.38,Solver,N/A
29,W6_PIT_CIN,1,2,0.35,0.65,Solver,N/A
31,W6_PIT_CIN,1,6,0.53,0.47,Solver,N/A
32,W6_PIT_CIN,1,2,0.54,0.46,Solver,N/A
33,W6_PIT_CIN,2,2,0.5,0.5,Non-Solver,N/A
35,W6_PIT_CIN,1,2,0.1,0.9,Solver,N/A
44,W6_PIT_CIN,1,10,1.0,0.0,Solver,N/A
45,W6_PIT_CIN,2,8,0.59,0.41,Non-Solver,N/A
46,W6_PIT_CIN,1,8,0.75,0.25,Solver,N/A
48,W6_PIT_CIN,1,8,0.76,0.24,Solver,N/A
49,W6_PIT_CIN,1,6,0.74,0.26,Solver,N/A
50,W6_PIT_CIN,2,4,0.57,0.43,Non-Solver,N/A
