Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W6_TB_ATL,2,8,0.2,0.8,Solver,N/A
3,W6_TB_ATL,2,2,0.6,0.4,Solver,N/A
4,W6_TB_ATL,2,4,0.57,0.43,Solver,N/A
6,W6_TB_ATL,2,2,0.59,0.41,Solver,N/A
8,W6_TB_ATL,1,2,0.03,0.97,Non-Solver,N/A
9,W6_TB_ATL,2,8,0.24,0.76,Solver,N/A
11,W6_TB_ATL,2,8,0.4,0.6,Solver,N/A
13,W6_TB_ATL,2,2,0.73,0.27,Solver,N/A
14,W6_TB_ATL,2,2,0.71,0.29,Solver,N/A
15,W6_TB_ATL,2,4,0.59,0.41,Solver,N/A
16,W6_TB_ATL,2,6,0.39,0.61,Solver,N/A
17,W6_TB_ATL,2,4,0.54,0.46,Solver,N/A
21,W6_TB_ATL,2,2,0.3,0.7,Solver,N/A
23,W6_TB_ATL,2,8,0.2,0.8,Solver,N/A
24,W6_TB_ATL,2,6,0.29,0.71,Solver,N/A
25,W6_TB_ATL,2,4,0.59,0.41,Solver,N/A
26,W6_TB_ATL,2,2,0.82,0.18,Solver,N/A
27,W6_TB_ATL,2,6,0.41,0.59,Solver,N/A
28,W6_TB_ATL,2,2,0.61,0.39,Solver,N/A
29,W6_TB_ATL,1,4,0.4,0.6,Non-Solver,N/A
31,W6_TB_ATL,1,4,0.53,0.47,Non-Solver,N/A
32,W6_TB_ATL,1,2,0.5,0.5,Non-Solver,N/A
33,W6_TB_ATL,2,2,0.5,0.5,Solver,N/A
35,W6_TB_ATL,1,2,0.0,1.0,Non-Solver,N/A
44,W6_TB_ATL,2,4,0.7,0.3,Solver,N/A
45,W6_TB_ATL,2,6,0.36,0.64,Solver,N/A
46,W6_TB_ATL,2,6,0.41,0.59,Solver,N/A
49,W6_TB_ATL,2,8,0.17,0.83,Solver,N/A
50,W6_TB_ATL,2,8,0.29,0.71,Solver,N/A
51,W6_TB_ATL,2,8,0.38,0.62,Solver,N/A
53,W6_TB_ATL,2,2,0.5,0.5,Solver,N/A
54,W6_TB_ATL,2,8,0.31,0.69,Solver,N/A
56,W6_TB_ATL,1,2,0.54,0.46,Non-Solver,N/A
57,W6_TB_ATL,2,6,0.46,0.54,Solver,N/A
60,W6_TB_ATL,2,6,0.32,0.68,Solver,N/A
61,W6_TB_ATL,2,6,0.45,0.55,Solver,N/A
62,W6_TB_ATL,2,2,0.59,0.41,Solver,N/A
64,W6_TB_ATL,2,2,0.55,0.45,Solver,N/A
65,W6_TB_ATL,1,4,0.33,0.67,Non-Solver,N/A
66,W6_TB_ATL,1,4,0.55,0.45,Non-Solver,N/A
67,W6_TB_ATL,2,4,0.25,0.75,Solver,N/A
69,W6_TB_ATL,1,8,0.81,0.19,Non-Solver,N/A
70,W6_TB_ATL,2,6,0.31,0.69,Solver,N/A
71,W6_TB_ATL,2,6,0.35,0.65,Solver,N/A
73,W6_TB_ATL,2,2,0.5,0.5,Solver,N/A
76,W6_TB_ATL,1,6,0.58,0.42,Non-Solver,N/A
77,W6_TB_ATL,2,2,0.38,0.62,Solver,N/A
78,W6_TB_ATL,2,2,0.6,0.4,Solver,N/A
80,W6_TB_ATL,1,2,0.11,0.89,Non-Solver,N/A
82,W6_TB_ATL,2,8,0.2,0.8,Solver,N/A
83,W6_TB_ATL,2,6,0.51,0.49,Solver,N/A
84,W6_TB_ATL,1,6,0.39,0.61,Non-Solver,N/A
88,W6_TB_ATL,2,6,0.4,0.6,Solver,N/A
89,W6_TB_ATL,2,6,0.35,0.65,Solver,N/A
91,W6_TB_ATL,2,6,0.44,0.56,Solver,N/A
92,W6_TB_ATL,1,4,0.41,0.59,Non-Solver,N/A
95,W6_TB_ATL,2,2,0.6,0.4,Solver,N/A
97,W6_TB_ATL,2,8,0.46,0.54,Solver,N/A
