Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_CIN_KC,2,6,0.49,0.51,Solver,N/A
3,W7_CIN_KC,1,2,0.25,0.75,Non-Solver,N/A
4,W7_CIN_KC,1,4,0.41,0.59,Non-Solver,N/A
6,W7_CIN_KC,2,6,0.36,0.64,Solver,N/A
9,W7_CIN_KC,2,10,0.11,0.89,Solver,N/A
13,W7_CIN_KC,2,2,0.68,0.32,Solver,N/A
15,W7_CIN_KC,2,6,0.4,0.6,Solver,N/A
16,W7_CIN_KC,2,6,0.43,0.57,Solver,N/A
21,W7_CIN_KC,1,2,0.41,0.59,Non-Solver,N/A
24,W7_CIN_KC,2,2,0.41,0.59,Solver,N/A
25,W7_CIN_KC,1,2,0.39,0.61,Non-Solver,N/A
26,W7_CIN_KC,2,2,0.7,0.3,Solver,N/A
27,W7_CIN_KC,1,2,0.1,0.9,Non-Solver,N/A
28,W7_CIN_KC,1,2,0.35,0.65,Non-Solver,N/A
29,W7_CIN_KC,2,4,0.48,0.52,Solver,N/A
31,W7_CIN_KC,2,4,0.47,0.53,Solver,N/A
32,W7_CIN_KC,2,2,0.33,0.67,Solver,N/A
33,W7_CIN_KC,2,2,0.49,0.51,Solver,N/A
35,W7_CIN_KC,2,2,1.0,0.0,Solver,N/A
39,W7_CIN_KC,2,2,0.89,0.11,Solver,N/A
44,W7_CIN_KC,2,2,0.9,0.1,Solver,N/A
45,W7_CIN_KC,1,6,0.16,0.84,Non-Solver,N/A
46,W7_CIN_KC,2,6,0.45,0.55,Solver,N/A
48,W7_CIN_KC,2,2,0.45,0.55,Solver,N/A
49,W7_CIN_KC,2,6,0.37,0.63,Solver,N/A
50,W7_CIN_KC,2,2,0.3,0.7,Solver,N/A
53,W7_CIN_KC,1,2,0.5,0.5,Non-Solver,N/A
54,W7_CIN_KC,1,4,0.34,0.66,Non-Solver,N/A
56,W7_CIN_KC,1,2,0.54,0.46,Non-Solver,N/A
57,W7_CIN_KC,2,6,0.45,0.55,Solver,N/A
60,W7_CIN_KC,2,6,0.37,0.63,Solver,N/A
61,W7_CIN_KC,1,6,0.55,0.45,Non-Solver,N/A
62,W7_CIN_KC,2,6,0.33,0.67,Solver,N/A
63,W7_CIN_KC,1,2,0.25,0.75,Non-Solver,N/A
64,W7_CIN_KC,1,2,0.54,0.46,Non-Solver,N/A
65,W7_CIN_KC,1,6,0.47,0.53,Non-Solver,N/A
66,W7_CIN_KC,2,8,0.41,0.59,Solver,N/A
67,W7_CIN_KC,1,2,0.73,0.27,Non-Solver,N/A
69,W7_CIN_KC,2,4,0.76,0.24,Solver,N/A
70,W7_CIN_KC,2,6,0.3,0.7,Solver,N/A
71,W7_CIN_KC,2,10,0.28,0.72,Solver,N/A
73,W7_CIN_KC,1,2,0.5,0.5,Non-Solver,N/A
75,W7_CIN_KC,2,4,0.36,0.64,Solver,N/A
76,W7_CIN_KC,2,8,0.3,0.7,Solver,N/A
77,W7_CIN_KC,1,6,0.62,0.38,Non-Solver,N/A
78,W7_CIN_KC,1,2,0.4,0.6,Non-Solver,N/A
80,W7_CIN_KC,1,2,0.18,0.82,Non-Solver,N/A
83,W7_CIN_KC,2,8,0.39,0.61,Solver,N/A
86,W7_CIN_KC,2,4,0.59,0.41,Solver,N/A
90,W7_CIN_KC,2,6,0.6,0.4,Solver,N/A
95,W7_CIN_KC,2,8,0.31,0.69,Solver,N/A
97,W7_CIN_KC,1,4,0.48,0.52,Non-Solver,N/A
98,W7_CIN_KC,1,4,0.36,0.64,Non-Solver,N/A
100,W7_CIN_KC,1,2,0.34,0.66,Non-Solver,N/A
103,W7_CIN_KC,2,6,0.67,0.33,Solver,N/A
104,W7_CIN_KC,2,6,0.26,0.74,Solver,N/A
105,W7_CIN_KC,1,6,0.7,0.3,Non-Solver,N/A
106,W7_CIN_KC,2,10,0.2,0.8,Solver,N/A
110,W7_CIN_KC,1,4,0.65,0.35,Non-Solver,N/A
111,W7_CIN_KC,1,6,0.64,0.36,Non-Solver,N/A
