Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_CLE_TB,1,4,0.51,0.49,Non-Solver,N/A
3,W7_CLE_TB,1,2,0.45,0.55,Non-Solver,N/A
4,W7_CLE_TB,1,6,0.69,0.31,Non-Solver,N/A
6,W7_CLE_TB,1,2,0.36,0.64,Non-Solver,N/A
9,W7_CLE_TB,1,4,0.56,0.44,Non-Solver,N/A
13,W7_CLE_TB,1,2,0.34,0.66,Non-Solver,N/A
15,W7_CLE_TB,2,2,0.6,0.4,Solver,N/A
16,W7_CLE_TB,1,6,0.69,0.31,Non-Solver,N/A
21,W7_CLE_TB,1,6,0.3,0.7,Non-Solver,N/A
24,W7_CLE_TB,1,2,0.63,0.37,Non-Solver,N/A
25,W7_CLE_TB,1,2,0.34,0.66,Non-Solver,N/A
26,W7_CLE_TB,2,2,0.23,0.77,Solver,N/A
27,W7_CLE_TB,2,2,0.8,0.2,Solver,N/A
28,W7_CLE_TB,1,2,0.65,0.35,Non-Solver,N/A
29,W7_CLE_TB,1,2,0.35,0.65,Non-Solver,N/A
31,W7_CLE_TB,2,4,0.47,0.53,Solver,N/A
32,W7_CLE_TB,2,2,0.4,0.6,Solver,N/A
33,W7_CLE_TB,1,2,0.5,0.5,Non-Solver,N/A
35,W7_CLE_TB,1,2,0.0,1.0,Non-Solver,N/A
44,W7_CLE_TB,2,6,0.6,0.4,Solver,N/A
45,W7_CLE_TB,2,4,0.61,0.39,Solver,N/A
46,W7_CLE_TB,2,2,0.69,0.31,Solver,N/A
48,W7_CLE_TB,1,8,0.78,0.22,Non-Solver,N/A
50,W7_CLE_TB,1,10,0.41,0.59,Non-Solver,N/A
53,W7_CLE_TB,1,2,0.5,0.5,Non-Solver,N/A
54,W7_CLE_TB,2,2,0.7,0.3,Solver,N/A
56,W7_CLE_TB,2,2,0.46,0.54,Solver,N/A
57,W7_CLE_TB,1,6,0.52,0.48,Non-Solver,N/A
60,W7_CLE_TB,2,8,0.2,0.8,Solver,N/A
61,W7_CLE_TB,2,8,0.4,0.6,Solver,N/A
