Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_DEN_ARI,1,6,0.51,0.49,Solver,N/A
3,W7_DEN_ARI,1,4,0.6,0.4,Solver,N/A
4,W7_DEN_ARI,1,6,0.77,0.23,Solver,N/A
6,W7_DEN_ARI,1,2,0.58,0.42,Solver,N/A
9,W7_DEN_ARI,1,6,0.7,0.3,Solver,N/A
13,W7_DEN_ARI,1,4,0.72,0.28,Solver,N/A
15,W7_DEN_ARI,2,2,0.6,0.4,Non-Solver,N/A
16,W7_DEN_ARI,1,8,0.64,0.36,Solver,N/A
21,W7_DEN_ARI,1,4,0.6,0.4,Solver,N/A
24,W7_DEN_ARI,1,2,0.86,0.14,Solver,N/A
25,W7_DEN_ARI,2,2,0.7,0.3,Non-Solver,N/A
26,W7_DEN_ARI,1,2,0.65,0.35,Solver,N/A
27,W7_DEN_ARI,1,6,0.5,0.5,Solver,N/A
28,W7_DEN_ARI,2,2,0.39,0.61,Non-Solver,N/A
29,W7_DEN_ARI,2,4,0.33,0.67,Non-Solver,N/A
31,W7_DEN_ARI,1,6,0.53,0.47,Solver,N/A
32,W7_DEN_ARI,1,2,0.54,0.46,Solver,N/A
33,W7_DEN_ARI,1,2,0.48,0.52,Solver,N/A
35,W7_DEN_ARI,1,2,0.0,1.0,Solver,N/A
39,W7_DEN_ARI,1,2,0.27,0.73,Solver,N/A
44,W7_DEN_ARI,2,6,0.36,0.64,Non-Solver,N/A
45,W7_DEN_ARI,1,8,0.61,0.39,Solver,N/A
46,W7_DEN_ARI,1,6,0.65,0.35,Solver,N/A
48,W7_DEN_ARI,1,6,0.75,0.25,Solver,N/A
49,W7_DEN_ARI,1,6,0.7,0.3,Solver,N/A
50,W7_DEN_ARI,2,6,0.56,0.44,Non-Solver,N/A
53,W7_DEN_ARI,1,2,0.5,0.5,Solver,N/A
54,W7_DEN_ARI,1,6,0.6,0.4,Solver,N/A
56,W7_DEN_ARI,1,2,0.54,0.46,Solver,N/A
60,W7_DEN_ARI,1,6,0.76,0.24,Solver,N/A
61,W7_DEN_ARI,1,6,0.6,0.4,Solver,N/A
