Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_LAR_SF,1,6,0.5,0.5,Solver,N/A
3,W7_LAR_SF,2,6,0.3,0.7,Non-Solver,N/A
4,W7_LAR_SF,2,8,0.18,0.82,Non-Solver,N/A
6,W7_LAR_SF,2,6,0.35,0.65,Non-Solver,N/A
9,W7_LAR_SF,1,10,0.99,0.01,Solver,N/A
13,W7_LAR_SF,1,4,0.76,0.24,Solver,N/A
15,W7_LAR_SF,1,6,0.6,0.4,Solver,N/A
16,W7_LAR_SF,1,8,0.61,0.39,Solver,N/A
20,W7_LAR_SF,1,6,0.7,0.3,Solver,N/A
21,W7_LAR_SF,1,8,0.71,0.29,Solver,N/A
24,W7_LAR_SF,1,2,0.96,0.04,Solver,N/A
25,W7_LAR_SF,1,8,0.77,0.23,Solver,N/A
27,W7_LAR_SF,1,8,1.0,0.0,Solver,N/A
29,W7_LAR_SF,1,10,1.0,0.0,Solver,N/A
31,W7_LAR_SF,1,6,0.52,0.48,Solver,N/A
32,W7_LAR_SF,2,2,0.4,0.6,Non-Solver,N/A
33,W7_LAR_SF,1,2,0.5,0.5,Solver,N/A
35,W7_LAR_SF,1,4,0.1,0.9,Solver,N/A
39,W7_LAR_SF,2,8,0.18,0.82,Non-Solver,N/A
44,W7_LAR_SF,1,10,0.8,0.2,Solver,N/A
45,W7_LAR_SF,1,10,0.91,0.09,Solver,N/A
46,W7_LAR_SF,2,6,0.32,0.68,Non-Solver,N/A
48,W7_LAR_SF,1,10,1.0,0.0,Solver,N/A
49,W7_LAR_SF,1,6,0.84,0.16,Solver,N/A
50,W7_LAR_SF,2,4,0.37,0.63,Non-Solver,N/A
53,W7_LAR_SF,1,2,0.5,0.5,Solver,N/A
54,W7_LAR_SF,1,6,0.45,0.55,Solver,N/A
56,W7_LAR_SF,1,2,0.46,0.54,Solver,N/A
57,W7_LAR_SF,1,10,0.7,0.3,Solver,N/A
60,W7_LAR_SF,1,10,0.93,0.07,Solver,N/A
61,W7_LAR_SF,1,8,0.75,0.25,Solver,N/A
62,W7_LAR_SF,1,6,0.43,0.57,Solver,N/A
63,W7_LAR_SF,2,4,0.26,0.74,Non-Solver,N/A
64,W7_LAR_SF,1,2,0.69,0.31,Solver,N/A
65,W7_LAR_SF,2,6,0.36,0.64,Non-Solver,N/A
66,W7_LAR_SF,2,10,0.42,0.58,Non-Solver,N/A
67,W7_LAR_SF,1,8,0.86,0.14,Solver,N/A
69,W7_LAR_SF,1,6,0.6,0.4,Solver,N/A
70,W7_LAR_SF,2,10,0.1,0.9,Non-Solver,N/A
71,W7_LAR_SF,1,8,0.66,0.34,Solver,N/A
73,W7_LAR_SF,1,2,0.5,0.5,Solver,N/A
75,W7_LAR_SF,1,8,0.67,0.33,Solver,N/A
76,W7_LAR_SF,1,10,0.91,0.09,Solver,N/A
77,W7_LAR_SF,2,6,0.35,0.65,Non-Solver,N/A
80,W7_LAR_SF,2,2,0.83,0.17,Non-Solver,N/A
83,W7_LAR_SF,1,10,1.0,0.0,Solver,N/A
86,W7_LAR_SF,1,8,0.76,0.24,Solver,N/A
89,W7_LAR_SF,1,6,0.8,0.2,Solver,N/A
90,W7_LAR_SF,1,2,0.65,0.35,Solver,N/A
95,W7_LAR_SF,1,10,1.0,0.0,Solver,N/A
97,W7_LAR_SF,2,4,0.53,0.47,Non-Solver,N/A
98,W7_LAR_SF,1,8,0.68,0.32,Solver,N/A
