Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_NE_CHI,1,4,0.51,0.49,Solver,N/A
3,W7_NE_CHI,1,6,0.7,0.3,Solver,N/A
4,W7_NE_CHI,1,8,0.83,0.17,Solver,N/A
6,W7_NE_CHI,1,6,0.62,0.38,Solver,N/A
9,W7_NE_CHI,1,10,0.92,0.08,Solver,N/A
13,W7_NE_CHI,1,6,0.69,0.31,Solver,N/A
16,W7_NE_CHI,1,10,0.86,0.14,Solver,N/A
21,W7_NE_CHI,1,6,0.72,0.28,Solver,N/A
24,W7_NE_CHI,1,2,0.96,0.04,Solver,N/A
25,W7_NE_CHI,1,2,0.51,0.49,Solver,N/A
26,W7_NE_CHI,1,2,0.12,0.88,Solver,N/A
27,W7_NE_CHI,1,6,0.5,0.5,Solver,N/A
28,W7_NE_CHI,1,2,0.57,0.43,Solver,N/A
29,W7_NE_CHI,1,4,0.95,0.05,Solver,N/A
31,W7_NE_CHI,1,6,0.53,0.47,Solver,N/A
32,W7_NE_CHI,1,2,0.54,0.46,Solver,N/A
33,W7_NE_CHI,1,2,0.51,0.49,Solver,N/A
35,W7_NE_CHI,1,4,0.1,0.9,Solver,N/A
39,W7_NE_CHI,1,8,0.8,0.2,Solver,N/A
44,W7_NE_CHI,1,8,0.85,0.15,Solver,N/A
45,W7_NE_CHI,1,8,0.64,0.36,Solver,N/A
46,W7_NE_CHI,1,6,0.59,0.41,Solver,N/A
48,W7_NE_CHI,1,8,0.77,0.23,Solver,N/A
49,W7_NE_CHI,1,8,0.79,0.21,Solver,N/A
50,W7_NE_CHI,1,4,0.44,0.56,Solver,N/A
53,W7_NE_CHI,1,2,0.5,0.5,Solver,N/A
54,W7_NE_CHI,1,10,0.65,0.35,Solver,N/A
56,W7_NE_CHI,2,2,0.46,0.54,Non-Solver,N/A
57,W7_NE_CHI,1,8,0.65,0.35,Solver,N/A
60,W7_NE_CHI,1,10,0.95,0.05,Solver,N/A
61,W7_NE_CHI,1,8,0.7,0.3,Solver,N/A
62,W7_NE_CHI,1,10,1.0,0.0,Solver,N/A
64,W7_NE_CHI,1,2,0.5,0.5,Solver,N/A
66,W7_NE_CHI,1,6,0.6,0.4,Solver,N/A
67,W7_NE_CHI,1,8,0.9,0.1,Solver,N/A
69,W7_NE_CHI,1,2,0.67,0.33,Solver,N/A
70,W7_NE_CHI,1,10,1.0,0.0,Solver,N/A
71,W7_NE_CHI,1,8,0.91,0.09,Solver,N/A
73,W7_NE_CHI,1,2,0.5,0.5,Solver,N/A
75,W7_NE_CHI,2,8,0.25,0.75,Non-Solver,N/A
76,W7_NE_CHI,1,6,0.63,0.37,Solver,N/A
77,W7_NE_CHI,1,6,0.59,0.41,Solver,N/A
78,W7_NE_CHI,1,2,0.51,0.49,Solver,N/A
80,W7_NE_CHI,1,2,0.19,0.81,Solver,N/A
83,W7_NE_CHI,1,10,1.0,0.0,Solver,N/A
86,W7_NE_CHI,1,6,0.46,0.54,Solver,N/A
