Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W7_NYJ_MIN,1,10,0.51,0.49,Non-Solver,N/A
3,W7_NYJ_MIN,1,2,0.45,0.55,Non-Solver,N/A
9,W7_NYJ_MIN,2,12,0.27,0.73,Solver,N/A
13,W7_NYJ_MIN,1,8,0.67,0.33,Non-Solver,N/A
15,W7_NYJ_MIN,2,8,0.45,0.55,Solver,N/A
21,W7_NYJ_MIN,1,14,0.8,0.2,Non-Solver,N/A
24,W7_NYJ_MIN,2,2,0.0600000000000001,0.94,Solver,N/A
25,W7_NYJ_MIN,1,2,0.59,0.41,Non-Solver,N/A
26,W7_NYJ_MIN,1,8,0.15,0.85,Non-Solver,N/A
27,W7_NYJ_MIN,2,10,0.5,0.5,Solver,N/A
28,W7_NYJ_MIN,1,2,0.44,0.56,Non-Solver,N/A
29,W7_NYJ_MIN,2,8,0.42,0.58,Solver,N/A
31,W7_NYJ_MIN,1,10,0.53,0.47,Non-Solver,N/A
32,W7_NYJ_MIN,1,2,0.46,0.54,Non-Solver,N/A
33,W7_NYJ_MIN,1,2,0.5,0.5,Non-Solver,N/A
35,W7_NYJ_MIN,1,2,0.1,0.9,Non-Solver,N/A
39,W7_NYJ_MIN,1,12,0.8,0.2,Non-Solver,N/A
45,W7_NYJ_MIN,2,14,0.09,0.91,Solver,N/A
46,W7_NYJ_MIN,1,10,0.58,0.42,Non-Solver,N/A
48,W7_NYJ_MIN,1,10,0.58,0.42,Non-Solver,N/A
49,W7_NYJ_MIN,2,10,0.37,0.63,Solver,N/A
50,W7_NYJ_MIN,2,8,0.62,0.38,Solver,N/A
53,W7_NYJ_MIN,1,2,0.5,0.5,Non-Solver,N/A
54,W7_NYJ_MIN,1,2,0.26,0.74,Non-Solver,N/A
56,W7_NYJ_MIN,1,2,0.54,0.46,Non-Solver,N/A
57,W7_NYJ_MIN,2,12,0.39,0.61,Solver,N/A
60,W7_NYJ_MIN,2,12,0.13,0.87,Solver,N/A
61,W7_NYJ_MIN,2,10,0.45,0.55,Solver,N/A
62,W7_NYJ_MIN,2,10,0.22,0.78,Solver,N/A
64,W7_NYJ_MIN,2,2,0.39,0.61,Solver,N/A
65,W7_NYJ_MIN,2,12,0.38,0.62,Solver,N/A
66,W7_NYJ_MIN,1,12,0.37,0.63,Non-Solver,N/A
67,W7_NYJ_MIN,2,2,0.25,0.75,Solver,N/A
69,W7_NYJ_MIN,1,10,0.52,0.48,Non-Solver,N/A
70,W7_NYJ_MIN,1,14,0.9,0.1,Non-Solver,N/A
71,W7_NYJ_MIN,2,12,0.24,0.76,Solver,N/A
73,W7_NYJ_MIN,1,2,0.5,0.5,Non-Solver,N/A
76,W7_NYJ_MIN,2,10,0.44,0.56,Solver,N/A
77,W7_NYJ_MIN,2,10,0.26,0.74,Solver,N/A
78,W7_NYJ_MIN,1,2,0.4,0.6,Non-Solver,N/A
80,W7_NYJ_MIN,1,2,0.18,0.82,Non-Solver,N/A
83,W7_NYJ_MIN,2,10,0.57,0.43,Solver,N/A
86,W7_NYJ_MIN,1,10,0.45,0.55,Non-Solver,N/A
89,W7_NYJ_MIN,1,8,0.55,0.45,Non-Solver,N/A
90,W7_NYJ_MIN,2,8,0.75,0.25,Solver,N/A
95,W7_NYJ_MIN,2,12,0.3,0.7,Solver,N/A
97,W7_NYJ_MIN,1,10,0.32,0.68,Non-Solver,N/A
98,W7_NYJ_MIN,2,10,0.45,0.55,Solver,N/A
100,W7_NYJ_MIN,1,2,0.44,0.56,Non-Solver,N/A
101,W7_NYJ_MIN,2,12,0.35,0.65,Solver,N/A
103,W7_NYJ_MIN,1,10,0.38,0.62,Non-Solver,N/A
104,W7_NYJ_MIN,2,10,0.37,0.63,Solver,N/A
105,W7_NYJ_MIN,1,10,0.7,0.3,Non-Solver,N/A
106,W7_NYJ_MIN,2,12,0.29,0.71,Solver,N/A
109,W7_NYJ_MIN,2,10,0.27,0.73,Solver,N/A
110,W7_NYJ_MIN,2,8,0.4,0.6,Solver,N/A
111,W7_NYJ_MIN,2,10,0.4,0.6,Solver,N/A
112,W7_NYJ_MIN,1,2,0.5,0.5,Non-Solver,N/A
113,W7_NYJ_MIN,2,8,0.64,0.36,Solver,N/A
115,W7_NYJ_MIN,1,2,0.68,0.32,Non-Solver,N/A
117,W7_NYJ_MIN,2,14,0.11,0.89,Solver,N/A
118,W7_NYJ_MIN,1,12,0.91,0.09,Non-Solver,N/A
119,W7_NYJ_MIN,2,2,0.49,0.51,Solver,N/A
121,W7_NYJ_MIN,1,12,0.57,0.43,Non-Solver,N/A
124,W7_NYJ_MIN,2,14,0.04,0.96,Solver,N/A
127,W7_NYJ_MIN,2,8,0.4,0.6,Solver,N/A
129,W7_NYJ_MIN,1,10,0.83,0.17,Non-Solver,N/A
130,W7_NYJ_MIN,1,8,0.21,0.79,Non-Solver,N/A
131,W7_NYJ_MIN,1,12,0.61,0.39,Non-Solver,N/A
132,W7_NYJ_MIN,1,10,0.74,0.26,Non-Solver,N/A
134,W7_NYJ_MIN,2,2,0.85,0.15,Solver,N/A
136,W7_NYJ_MIN,2,8,0.84,0.16,Solver,N/A
137,W7_NYJ_MIN,1,8,0.39,0.61,Non-Solver,N/A
142,W7_NYJ_MIN,1,2,0.0,1.0,Non-Solver,N/A
143,W7_NYJ_MIN,1,8,0.14,0.86,Non-Solver,N/A
146,W7_NYJ_MIN,2,2,0.44,0.56,Solver,N/A
154,W7_NYJ_MIN,2,2,0.5,0.5,Solver,N/A
156,W7_NYJ_MIN,1,2,0.4,0.6,Non-Solver,N/A
159,W7_NYJ_MIN,1,8,0.57,0.43,Non-Solver,N/A
162,W7_NYJ_MIN,2,8,0.66,0.34,Solver,N/A
165,W7_NYJ_MIN,1,12,0.8,0.2,Non-Solver,N/A
167,W7_NYJ_MIN,2,10,0.09,0.91,Solver,N/A
169,W7_NYJ_MIN,1,8,0.46,0.54,Non-Solver,N/A
171,W7_NYJ_MIN,1,10,0.71,0.29,Non-Solver,N/A
172,W7_NYJ_MIN,2,10,0.39,0.61,Solver,N/A
175,W7_NYJ_MIN,2,10,0.36,0.64,Solver,N/A
177,W7_NYJ_MIN,1,12,0.7,0.3,Non-Solver,N/A
180,W7_NYJ_MIN,2,10,0.3,0.7,Solver,N/A
186,W7_NYJ_MIN,1,2,0.26,0.74,Non-Solver,N/A
190,W7_NYJ_MIN,2,10,0.4,0.6,Solver,N/A
191,W7_NYJ_MIN,2,2,0.39,0.61,Solver,N/A
199,W7_NYJ_MIN,1,2,0.32,0.68,Non-Solver,N/A
200,W7_NYJ_MIN,2,10,0.17,0.83,Solver,N/A
202,W7_NYJ_MIN,1,14,0.88,0.12,Non-Solver,N/A
203,W7_NYJ_MIN,2,10,0.56,0.44,Solver,N/A
204,W7_NYJ_MIN,1,10,0.55,0.45,Non-Solver,N/A
206,W7_NYJ_MIN,2,12,0.26,0.74,Solver,N/A
211,W7_NYJ_MIN,2,12,0.25,0.75,Solver,N/A
212,W7_NYJ_MIN,2,12,0.24,0.76,Solver,N/A
214,W7_NYJ_MIN,1,8,0.4,0.6,Non-Solver,N/A
218,W7_NYJ_MIN,1,14,0.95,0.05,Non-Solver,N/A
220,W7_NYJ_MIN,1,12,0.8,0.2,Non-Solver,N/A
225,W7_NYJ_MIN,1,2,0.62,0.38,Non-Solver,N/A
