Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W8_BAL_CAR,2,6,0.5,0.5,Solver,N/A
3,W8_BAL_CAR,1,2,0.45,0.55,Non-Solver,N/A
4,W8_BAL_CAR,1,6,0.62,0.38,Non-Solver,N/A
6,W8_BAL_CAR,1,2,0.58,0.42,Non-Solver,N/A
8,W8_BAL_CAR,1,2,0.2,0.8,Non-Solver,N/A
9,W8_BAL_CAR,1,8,0.64,0.36,Non-Solver,N/A
11,W8_BAL_CAR,1,6,0.57,0.43,Non-Solver,N/A
14,W8_BAL_CAR,2,2,0.82,0.18,Solver,N/A
15,W8_BAL_CAR,2,2,0.6,0.4,Solver,N/A
16,W8_BAL_CAR,1,2,0.45,0.55,Non-Solver,N/A
17,W8_BAL_CAR,1,6,0.41,0.59,Non-Solver,N/A
21,W8_BAL_CAR,2,6,0.39,0.61,Solver,N/A
23,W8_BAL_CAR,2,8,0.21,0.79,Solver,N/A
25,W8_BAL_CAR,1,4,0.35,0.65,Non-Solver,N/A
26,W8_BAL_CAR,1,2,0.08,0.92,Non-Solver,N/A
28,W8_BAL_CAR,2,2,0.55,0.45,Solver,N/A
29,W8_BAL_CAR,1,2,0.44,0.56,Non-Solver,N/A
31,W8_BAL_CAR,1,4,0.52,0.48,Non-Solver,N/A
32,W8_BAL_CAR,1,2,0.5,0.5,Non-Solver,N/A
35,W8_BAL_CAR,2,2,1.0,0.0,Solver,N/A
39,W8_BAL_CAR,2,2,0.91,0.09,Solver,N/A
44,W8_BAL_CAR,1,8,0.65,0.35,Non-Solver,N/A
45,W8_BAL_CAR,1,6,0.83,0.17,Non-Solver,N/A
46,W8_BAL_CAR,2,6,0.4,0.6,Solver,N/A
48,W8_BAL_CAR,1,6,0.81,0.19,Non-Solver,N/A
49,W8_BAL_CAR,1,6,0.7,0.3,Non-Solver,N/A
50,W8_BAL_CAR,1,6,0.64,0.36,Non-Solver,N/A
53,W8_BAL_CAR,1,2,0.5,0.5,Non-Solver,N/A
54,W8_BAL_CAR,2,8,0.35,0.65,Solver,N/A
60,W8_BAL_CAR,2,8,0.14,0.86,Solver,N/A
61,W8_BAL_CAR,1,6,0.55,0.45,Non-Solver,N/A
62,W8_BAL_CAR,1,2,0.42,0.58,Non-Solver,N/A
64,W8_BAL_CAR,1,2,0.55,0.45,Non-Solver,N/A
65,W8_BAL_CAR,2,6,0.4,0.6,Solver,N/A
66,W8_BAL_CAR,2,6,0.52,0.48,Solver,N/A
67,W8_BAL_CAR,1,4,0.75,0.25,Non-Solver,N/A
69,W8_BAL_CAR,2,8,0.26,0.74,Solver,N/A
70,W8_BAL_CAR,1,8,0.88,0.12,Non-Solver,N/A
71,W8_BAL_CAR,2,10,0.66,0.34,Solver,N/A
73,W8_BAL_CAR,2,2,0.5,0.5,Solver,N/A
76,W8_BAL_CAR,1,4,0.33,0.67,Non-Solver,N/A
78,W8_BAL_CAR,2,2,0.5,0.5,Solver,N/A
80,W8_BAL_CAR,2,2,0.75,0.25,Solver,N/A
83,W8_BAL_CAR,2,6,0.35,0.65,Solver,N/A
90,W8_BAL_CAR,1,6,0.55,0.45,Non-Solver,N/A
93,W8_BAL_CAR,2,2,0.91,0.09,Solver,N/A
97,W8_BAL_CAR,2,8,0.43,0.57,Solver,N/A
98,W8_BAL_CAR,2,6,0.43,0.57,Solver,N/A
100,W8_BAL_CAR,1,2,0.69,0.31,Non-Solver,N/A
101,W8_BAL_CAR,1,6,0.51,0.49,Non-Solver,N/A
103,W8_BAL_CAR,2,6,0.56,0.44,Solver,N/A
104,W8_BAL_CAR,1,8,0.72,0.28,Non-Solver,N/A
105,W8_BAL_CAR,2,2,0.5,0.5,Solver,N/A
106,W8_BAL_CAR,1,6,0.78,0.22,Non-Solver,N/A
109,W8_BAL_CAR,2,6,0.41,0.59,Solver,N/A
110,W8_BAL_CAR,2,4,0.4,0.6,Solver,N/A
111,W8_BAL_CAR,1,8,0.7,0.3,Non-Solver,N/A
112,W8_BAL_CAR,1,6,0.6,0.4,Non-Solver,N/A
113,W8_BAL_CAR,2,10,0.02,0.98,Solver,N/A
115,W8_BAL_CAR,2,2,0.32,0.68,Solver,N/A
117,W8_BAL_CAR,2,6,0.44,0.56,Solver,N/A
118,W8_BAL_CAR,1,8,0.83,0.17,Non-Solver,N/A
119,W8_BAL_CAR,2,6,0.25,0.75,Solver,N/A
124,W8_BAL_CAR,1,8,0.81,0.19,Non-Solver,N/A
127,W8_BAL_CAR,2,6,0.4,0.6,Solver,N/A
131,W8_BAL_CAR,2,8,0.37,0.63,Solver,N/A
132,W8_BAL_CAR,2,2,0.5,0.5,Solver,N/A
134,W8_BAL_CAR,2,2,0.95,0.05,Solver,N/A
136,W8_BAL_CAR,2,2,0.7,0.3,Solver,N/A
137,W8_BAL_CAR,1,10,0.92,0.08,Non-Solver,N/A
143,W8_BAL_CAR,1,6,0.67,0.33,Non-Solver,N/A
148,W8_BAL_CAR,2,2,1.0,0.0,Solver,N/A
149,W8_BAL_CAR,2,6,0.28,0.72,Solver,N/A
150,W8_BAL_CAR,2,8,0.42,0.58,Solver,N/A
153,W8_BAL_CAR,1,2,0.5,0.5,Non-Solver,N/A
156,W8_BAL_CAR,2,4,0.65,0.35,Solver,N/A
159,W8_BAL_CAR,1,2,0.59,0.41,Non-Solver,N/A
161,W8_BAL_CAR,1,4,0.54,0.46,Non-Solver,N/A
162,W8_BAL_CAR,1,6,0.62,0.38,Non-Solver,N/A
165,W8_BAL_CAR,2,8,0.34,0.66,Solver,N/A
167,W8_BAL_CAR,2,6,0.4,0.6,Solver,N/A
171,W8_BAL_CAR,2,6,0.51,0.49,Solver,N/A
172,W8_BAL_CAR,1,10,0.21,0.79,Non-Solver,N/A
177,W8_BAL_CAR,2,8,0.09,0.91,Solver,N/A
180,W8_BAL_CAR,1,6,0.71,0.29,Non-Solver,N/A
190,W8_BAL_CAR,2,6,0.19,0.81,Solver,N/A
191,W8_BAL_CAR,1,2,0.54,0.46,Non-Solver,N/A
196,W8_BAL_CAR,2,6,0.69,0.31,Solver,N/A
199,W8_BAL_CAR,2,2,0.68,0.32,Solver,N/A
200,W8_BAL_CAR,1,6,0.79,0.21,Non-Solver,N/A
202,W8_BAL_CAR,1,2,0.0,1.0,Non-Solver,N/A
203,W8_BAL_CAR,1,4,0.37,0.63,Non-Solver,N/A
204,W8_BAL_CAR,1,10,0.9,0.1,Non-Solver,N/A
211,W8_BAL_CAR,1,6,0.6,0.4,Non-Solver,N/A
215,W8_BAL_CAR,1,6,0.6,0.4,Non-Solver,N/A
220,W8_BAL_CAR,2,8,0.28,0.72,Solver,N/A
224,W8_BAL_CAR,1,8,0.75,0.25,Non-Solver,N/A
225,W8_BAL_CAR,1,2,0.73,0.27,Non-Solver,N/A
