Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W8_LAR_GB,1,6,0.62,0.38,Solver,N/A
3,W8_LAR_GB,2,2,0.4,0.6,Non-Solver,N/A
4,W8_LAR_GB,2,6,0.27,0.73,Non-Solver,N/A
6,W8_LAR_GB,2,8,0.27,0.73,Non-Solver,N/A
8,W8_LAR_GB,1,2,0.22,0.78,Solver,N/A
9,W8_LAR_GB,1,10,0.76,0.24,Solver,N/A
11,W8_LAR_GB,1,8,0.52,0.48,Solver,N/A
14,W8_LAR_GB,1,4,0.45,0.55,Solver,N/A
16,W8_LAR_GB,1,6,0.69,0.31,Solver,N/A
17,W8_LAR_GB,1,4,0.53,0.47,Solver,N/A
21,W8_LAR_GB,1,10,0.75,0.25,Solver,N/A
23,W8_LAR_GB,1,8,0.8,0.2,Solver,N/A
25,W8_LAR_GB,1,8,0.7,0.3,Solver,N/A
26,W8_LAR_GB,1,2,0.06,0.94,Solver,N/A
28,W8_LAR_GB,1,2,0.46,0.54,Solver,N/A
29,W8_LAR_GB,1,6,0.66,0.34,Solver,N/A
31,W8_LAR_GB,1,6,0.53,0.47,Solver,N/A
32,W8_LAR_GB,1,2,0.53,0.47,Solver,N/A
33,W8_LAR_GB,1,8,0.9,0.1,Solver,N/A
35,W8_LAR_GB,1,2,0.0,1.0,Solver,N/A
39,W8_LAR_GB,2,10,0.0,1.0,Non-Solver,N/A
44,W8_LAR_GB,1,8,0.8,0.2,Solver,N/A
46,W8_LAR_GB,2,6,0.35,0.65,Non-Solver,N/A
48,W8_LAR_GB,1,6,0.57,0.43,Solver,N/A
49,W8_LAR_GB,2,6,0.15,0.85,Non-Solver,N/A
50,W8_LAR_GB,1,4,0.66,0.34,Solver,N/A
51,W8_LAR_GB,1,8,0.59,0.41,Solver,N/A
53,W8_LAR_GB,1,2,0.5,0.5,Solver,N/A
54,W8_LAR_GB,2,6,0.45,0.55,Non-Solver,N/A
60,W8_LAR_GB,1,10,0.95,0.05,Solver,N/A
61,W8_LAR_GB,1,8,0.7,0.3,Solver,N/A
62,W8_LAR_GB,1,2,0.31,0.69,Solver,N/A
64,W8_LAR_GB,1,6,0.8,0.2,Solver,N/A
65,W8_LAR_GB,1,10,0.99,0.01,Solver,N/A
66,W8_LAR_GB,2,2,0.43,0.57,Non-Solver,N/A
67,W8_LAR_GB,1,8,0.85,0.15,Solver,N/A
69,W8_LAR_GB,2,6,0.53,0.47,Non-Solver,N/A
70,W8_LAR_GB,2,8,0.09,0.91,Non-Solver,N/A
71,W8_LAR_GB,1,6,0.6,0.4,Solver,N/A
73,W8_LAR_GB,1,2,0.5,0.5,Solver,N/A
76,W8_LAR_GB,1,10,0.8,0.2,Solver,N/A
78,W8_LAR_GB,1,2,0.6,0.4,Solver,N/A
80,W8_LAR_GB,2,2,0.77,0.23,Non-Solver,N/A
83,W8_LAR_GB,1,6,0.65,0.35,Solver,N/A
86,W8_LAR_GB,2,8,0.37,0.63,Non-Solver,N/A
89,W8_LAR_GB,1,6,0.55,0.45,Solver,N/A
92,W8_LAR_GB,1,10,1.0,0.0,Solver,N/A
93,W8_LAR_GB,1,8,0.18,0.82,Solver,N/A
97,W8_LAR_GB,1,8,0.58,0.42,Solver,N/A
98,W8_LAR_GB,1,8,0.73,0.27,Solver,N/A
99,W8_LAR_GB,1,8,0.75,0.25,Solver,N/A
100,W8_LAR_GB,1,2,0.38,0.62,Solver,N/A
101,W8_LAR_GB,1,10,0.94,0.0600000000000001,Solver,N/A
103,W8_LAR_GB,1,6,0.45,0.55,Solver,N/A
104,W8_LAR_GB,2,6,0.65,0.35,Non-Solver,N/A
105,W8_LAR_GB,2,8,0.25,0.75,Non-Solver,N/A
106,W8_LAR_GB,1,10,1.0,0.0,Solver,N/A
109,W8_LAR_GB,1,8,0.8,0.2,Solver,N/A
110,W8_LAR_GB,1,6,0.65,0.35,Solver,N/A
112,W8_LAR_GB,2,10,0.05,0.95,Non-Solver,N/A
113,W8_LAR_GB,2,6,0.42,0.58,Non-Solver,N/A
115,W8_LAR_GB,2,2,0.66,0.34,Non-Solver,N/A
117,W8_LAR_GB,1,8,0.87,0.13,Solver,N/A
118,W8_LAR_GB,1,8,0.89,0.11,Solver,N/A
119,W8_LAR_GB,1,6,0.75,0.25,Solver,N/A
124,W8_LAR_GB,1,8,0.91,0.09,Solver,N/A
126,W8_LAR_GB,2,4,0.45,0.55,Non-Solver,N/A
127,W8_LAR_GB,1,10,1.0,0.0,Solver,N/A
131,W8_LAR_GB,2,8,0.38,0.62,Non-Solver,N/A
132,W8_LAR_GB,1,8,0.85,0.15,Solver,N/A
134,W8_LAR_GB,2,4,0.32,0.68,Non-Solver,N/A
136,W8_LAR_GB,2,6,0.4,0.6,Non-Solver,N/A
137,W8_LAR_GB,1,8,0.72,0.28,Solver,N/A
143,W8_LAR_GB,1,4,0.71,0.29,Solver,N/A
148,W8_LAR_GB,2,6,0.39,0.61,Non-Solver,N/A
149,W8_LAR_GB,2,6,0.28,0.72,Non-Solver,N/A
150,W8_LAR_GB,2,6,0.43,0.57,Non-Solver,N/A
153,W8_LAR_GB,2,2,0.49,0.51,Non-Solver,N/A
156,W8_LAR_GB,2,4,0.63,0.37,Non-Solver,N/A
159,W8_LAR_GB,1,4,0.55,0.45,Solver,N/A
161,W8_LAR_GB,1,6,0.77,0.23,Solver,N/A
162,W8_LAR_GB,1,8,0.74,0.26,Solver,N/A
165,W8_LAR_GB,1,10,0.83,0.17,Solver,N/A
167,W8_LAR_GB,1,6,0.77,0.23,Solver,N/A
171,W8_LAR_GB,1,6,0.52,0.48,Solver,N/A
172,W8_LAR_GB,1,10,0.99,0.01,Solver,N/A
177,W8_LAR_GB,1,4,0.28,0.72,Solver,N/A
180,W8_LAR_GB,1,6,0.7,0.3,Solver,N/A
190,W8_LAR_GB,2,8,0.2,0.8,Non-Solver,N/A
191,W8_LAR_GB,1,2,0.57,0.43,Solver,N/A
196,W8_LAR_GB,1,8,0.67,0.33,Solver,N/A
199,W8_LAR_GB,1,2,0.33,0.67,Solver,N/A
200,W8_LAR_GB,1,8,0.81,0.19,Solver,N/A
202,W8_LAR_GB,1,10,1.0,0.0,Solver,N/A
203,W8_LAR_GB,1,2,0.36,0.64,Solver,N/A
204,W8_LAR_GB,2,8,0.4,0.6,Non-Solver,N/A
207,W8_LAR_GB,1,10,0.85,0.15,Solver,N/A
211,W8_LAR_GB,2,6,0.41,0.59,Non-Solver,N/A
212,W8_LAR_GB,1,10,0.72,0.28,Solver,N/A
214,W8_LAR_GB,1,8,0.7,0.3,Solver,N/A
220,W8_LAR_GB,2,8,0.18,0.82,Non-Solver,N/A
224,W8_LAR_GB,2,2,0.12,0.88,Non-Solver,N/A
225,W8_LAR_GB,1,2,0.66,0.34,Solver,N/A
