Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W8_NYJ_CHI,1,4,0.44,0.56,Non-Solver,N/A
3,W8_NYJ_CHI,1,2,0.4,0.6,Non-Solver,N/A
4,W8_NYJ_CHI,1,6,0.68,0.32,Non-Solver,N/A
6,W8_NYJ_CHI,1,2,0.57,0.43,Non-Solver,N/A
8,W8_NYJ_CHI,1,2,0.2,0.8,Non-Solver,N/A
9,W8_NYJ_CHI,2,8,0.22,0.78,Solver,N/A
11,W8_NYJ_CHI,2,6,0.59,0.41,Solver,N/A
14,W8_NYJ_CHI,1,2,0.23,0.77,Non-Solver,N/A
15,W8_NYJ_CHI,1,4,0.45,0.55,Non-Solver,N/A
16,W8_NYJ_CHI,1,6,0.61,0.39,Non-Solver,N/A
17,W8_NYJ_CHI,2,6,0.54,0.46,Solver,N/A
21,W8_NYJ_CHI,1,8,0.81,0.19,Non-Solver,N/A
23,W8_NYJ_CHI,2,8,0.2,0.8,Solver,N/A
25,W8_NYJ_CHI,1,2,0.3,0.7,Non-Solver,N/A
26,W8_NYJ_CHI,1,2,0.2,0.8,Non-Solver,N/A
28,W8_NYJ_CHI,1,2,0.45,0.55,Non-Solver,N/A
29,W8_NYJ_CHI,2,2,0.59,0.41,Solver,N/A
31,W8_NYJ_CHI,1,6,0.56,0.44,Non-Solver,N/A
32,W8_NYJ_CHI,2,2,0.49,0.51,Solver,N/A
35,W8_NYJ_CHI,1,2,0.0,1.0,Non-Solver,N/A
39,W8_NYJ_CHI,1,6,0.72,0.28,Non-Solver,N/A
44,W8_NYJ_CHI,1,6,0.45,0.55,Non-Solver,N/A
45,W8_NYJ_CHI,2,6,0.17,0.83,Solver,N/A
46,W8_NYJ_CHI,1,6,0.64,0.36,Non-Solver,N/A
48,W8_NYJ_CHI,1,6,0.45,0.55,Non-Solver,N/A
49,W8_NYJ_CHI,1,6,0.3,0.7,Non-Solver,N/A
51,W8_NYJ_CHI,1,4,0.43,0.57,Non-Solver,N/A
53,W8_NYJ_CHI,2,2,0.5,0.5,Solver,N/A
54,W8_NYJ_CHI,1,6,0.45,0.55,Non-Solver,N/A
60,W8_NYJ_CHI,1,8,0.9,0.1,Non-Solver,N/A
62,W8_NYJ_CHI,1,2,0.56,0.44,Non-Solver,N/A
64,W8_NYJ_CHI,2,2,0.42,0.58,Solver,N/A
65,W8_NYJ_CHI,1,6,0.55,0.45,Non-Solver,N/A
66,W8_NYJ_CHI,2,10,0.46,0.54,Solver,N/A
67,W8_NYJ_CHI,1,2,0.75,0.25,Non-Solver,N/A
69,W8_NYJ_CHI,2,6,0.49,0.51,Solver,N/A
70,W8_NYJ_CHI,1,10,0.92,0.08,Non-Solver,N/A
71,W8_NYJ_CHI,2,6,0.07,0.93,Solver,N/A
73,W8_NYJ_CHI,1,2,0.5,0.5,Non-Solver,N/A
76,W8_NYJ_CHI,2,6,0.6,0.4,Solver,N/A
80,W8_NYJ_CHI,1,2,0.2,0.8,Non-Solver,N/A
86,W8_NYJ_CHI,1,8,0.71,0.29,Non-Solver,N/A
89,W8_NYJ_CHI,2,4,0.45,0.55,Solver,N/A
90,W8_NYJ_CHI,2,2,0.7,0.3,Solver,N/A
92,W8_NYJ_CHI,2,6,0.4,0.6,Solver,N/A
93,W8_NYJ_CHI,2,2,0.76,0.24,Solver,N/A
97,W8_NYJ_CHI,2,4,0.43,0.57,Solver,N/A
98,W8_NYJ_CHI,2,6,0.44,0.56,Solver,N/A
99,W8_NYJ_CHI,1,6,0.63,0.37,Non-Solver,N/A
100,W8_NYJ_CHI,1,2,0.46,0.54,Non-Solver,N/A
101,W8_NYJ_CHI,2,4,0.57,0.43,Solver,N/A
103,W8_NYJ_CHI,1,6,0.43,0.57,Non-Solver,N/A
104,W8_NYJ_CHI,2,6,0.26,0.74,Solver,N/A
