Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W8_PHI_JAC,1,6,0.51,0.49,Solver,N/A
3,W8_PHI_JAC,1,2,0.65,0.35,Solver,N/A
4,W8_PHI_JAC,1,4,0.36,0.64,Solver,N/A
6,W8_PHI_JAC,2,2,0.6,0.4,Non-Solver,N/A
8,W8_PHI_JAC,1,2,0.18,0.82,Solver,N/A
9,W8_PHI_JAC,1,8,0.39,0.61,Solver,N/A
11,W8_PHI_JAC,1,6,0.76,0.24,Solver,N/A
14,W8_PHI_JAC,2,2,0.83,0.17,Non-Solver,N/A
15,W8_PHI_JAC,1,4,0.4,0.6,Solver,N/A
16,W8_PHI_JAC,1,6,0.63,0.37,Solver,N/A
17,W8_PHI_JAC,1,6,0.57,0.43,Solver,N/A
21,W8_PHI_JAC,2,8,0.3,0.7,Non-Solver,N/A
23,W8_PHI_JAC,1,8,0.8,0.2,Solver,N/A
25,W8_PHI_JAC,1,6,0.71,0.29,Solver,N/A
26,W8_PHI_JAC,1,2,0.83,0.17,Solver,N/A
28,W8_PHI_JAC,1,2,0.6,0.4,Solver,N/A
29,W8_PHI_JAC,1,8,0.64,0.36,Solver,N/A
31,W8_PHI_JAC,1,4,0.53,0.47,Solver,N/A
32,W8_PHI_JAC,1,2,0.6,0.4,Solver,N/A
33,W8_PHI_JAC,1,4,0.6,0.4,Solver,N/A
35,W8_PHI_JAC,1,2,0.05,0.95,Solver,N/A
44,W8_PHI_JAC,1,8,0.75,0.25,Solver,N/A
45,W8_PHI_JAC,1,6,0.6,0.4,Solver,N/A
46,W8_PHI_JAC,1,4,0.25,0.75,Solver,N/A
48,W8_PHI_JAC,1,6,0.77,0.23,Solver,N/A
49,W8_PHI_JAC,1,6,0.8,0.2,Solver,N/A
50,W8_PHI_JAC,1,4,0.66,0.34,Solver,N/A
51,W8_PHI_JAC,1,4,0.36,0.64,Solver,N/A
53,W8_PHI_JAC,1,2,0.5,0.5,Solver,N/A
54,W8_PHI_JAC,1,6,0.45,0.55,Solver,N/A
60,W8_PHI_JAC,1,8,0.92,0.08,Solver,N/A
62,W8_PHI_JAC,1,8,0.82,0.18,Solver,N/A
64,W8_PHI_JAC,1,2,0.67,0.33,Solver,N/A
65,W8_PHI_JAC,1,6,0.55,0.45,Solver,N/A
66,W8_PHI_JAC,1,8,0.58,0.42,Solver,N/A
67,W8_PHI_JAC,1,8,0.9,0.1,Solver,N/A
69,W8_PHI_JAC,2,8,0.23,0.77,Non-Solver,N/A
70,W8_PHI_JAC,1,10,0.91,0.09,Solver,N/A
71,W8_PHI_JAC,1,4,0.78,0.22,Solver,N/A
73,W8_PHI_JAC,1,2,0.5,0.5,Solver,N/A
76,W8_PHI_JAC,1,6,0.43,0.57,Solver,N/A
78,W8_PHI_JAC,1,2,0.4,0.6,Solver,N/A
80,W8_PHI_JAC,2,2,0.9,0.1,Non-Solver,N/A
83,W8_PHI_JAC,1,6,0.66,0.34,Solver,N/A
86,W8_PHI_JAC,1,8,0.67,0.33,Solver,N/A
89,W8_PHI_JAC,2,4,0.44,0.56,Non-Solver,N/A
90,W8_PHI_JAC,1,6,0.55,0.45,Solver,N/A
92,W8_PHI_JAC,1,10,0.87,0.13,Solver,N/A
93,W8_PHI_JAC,2,4,0.81,0.19,Non-Solver,N/A
97,W8_PHI_JAC,1,8,0.32,0.68,Solver,N/A
98,W8_PHI_JAC,1,8,0.66,0.34,Solver,N/A
99,W8_PHI_JAC,1,6,0.64,0.36,Solver,N/A
100,W8_PHI_JAC,2,2,0.69,0.31,Non-Solver,N/A
101,W8_PHI_JAC,1,6,0.61,0.39,Solver,N/A
103,W8_PHI_JAC,1,6,0.42,0.58,Solver,N/A
104,W8_PHI_JAC,1,8,0.81,0.19,Solver,N/A
105,W8_PHI_JAC,1,8,0.7,0.3,Solver,N/A
106,W8_PHI_JAC,1,6,0.7,0.3,Solver,N/A
109,W8_PHI_JAC,1,6,0.66,0.34,Solver,N/A
110,W8_PHI_JAC,1,4,0.61,0.39,Solver,N/A
111,W8_PHI_JAC,1,8,0.81,0.19,Solver,N/A
112,W8_PHI_JAC,1,8,0.7,0.3,Solver,N/A
113,W8_PHI_JAC,1,4,0.38,0.62,Solver,N/A
115,W8_PHI_JAC,1,2,0.4,0.6,Solver,N/A
117,W8_PHI_JAC,1,6,0.58,0.42,Solver,N/A
118,W8_PHI_JAC,2,8,0.22,0.78,Non-Solver,N/A
119,W8_PHI_JAC,1,4,0.6,0.4,Solver,N/A
124,W8_PHI_JAC,1,8,0.7,0.3,Solver,N/A
126,W8_PHI_JAC,1,2,0.59,0.41,Solver,N/A
127,W8_PHI_JAC,1,10,0.3,0.7,Solver,N/A
131,W8_PHI_JAC,2,4,0.52,0.48,Non-Solver,N/A
132,W8_PHI_JAC,1,6,0.65,0.35,Solver,N/A
134,W8_PHI_JAC,1,6,0.57,0.43,Solver,N/A
136,W8_PHI_JAC,2,4,0.86,0.14,Non-Solver,N/A
137,W8_PHI_JAC,1,6,0.58,0.42,Solver,N/A
143,W8_PHI_JAC,1,4,0.58,0.42,Solver,N/A
148,W8_PHI_JAC,1,2,0.0,1.0,Solver,N/A
149,W8_PHI_JAC,1,4,0.3,0.7,Solver,N/A
150,W8_PHI_JAC,2,6,0.39,0.61,Non-Solver,N/A
153,W8_PHI_JAC,1,2,0.51,0.49,Solver,N/A
156,W8_PHI_JAC,2,6,0.65,0.35,Non-Solver,N/A
159,W8_PHI_JAC,1,4,0.58,0.42,Solver,N/A
162,W8_PHI_JAC,2,6,0.39,0.61,Non-Solver,N/A
165,W8_PHI_JAC,1,8,0.8,0.2,Solver,N/A
167,W8_PHI_JAC,1,6,0.85,0.15,Solver,N/A
169,W8_PHI_JAC,1,4,0.43,0.57,Solver,N/A
171,W8_PHI_JAC,1,6,0.49,0.51,Solver,N/A
172,W8_PHI_JAC,1,8,0.41,0.59,Solver,N/A
177,W8_PHI_JAC,2,8,0.16,0.84,Non-Solver,N/A
180,W8_PHI_JAC,1,6,0.84,0.16,Solver,N/A
