Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W8_TB_CIN,2,2,0.61,0.39,Solver,N/A
3,W8_TB_CIN,1,2,0.35,0.65,Non-Solver,N/A
4,W8_TB_CIN,2,2,0.71,0.29,Solver,N/A
6,W8_TB_CIN,2,2,0.55,0.45,Solver,N/A
8,W8_TB_CIN,1,2,0.25,0.75,Non-Solver,N/A
9,W8_TB_CIN,2,4,0.37,0.63,Solver,N/A
11,W8_TB_CIN,2,6,0.51,0.49,Solver,N/A
14,W8_TB_CIN,1,2,0.18,0.82,Non-Solver,N/A
15,W8_TB_CIN,2,2,0.6,0.4,Solver,N/A
16,W8_TB_CIN,1,2,0.61,0.39,Non-Solver,N/A
17,W8_TB_CIN,2,8,0.34,0.66,Solver,N/A
21,W8_TB_CIN,2,6,0.41,0.59,Solver,N/A
25,W8_TB_CIN,1,2,0.26,0.74,Non-Solver,N/A
26,W8_TB_CIN,1,2,0.27,0.73,Non-Solver,N/A
28,W8_TB_CIN,2,2,0.31,0.69,Solver,N/A
29,W8_TB_CIN,1,2,0.39,0.61,Non-Solver,N/A
31,W8_TB_CIN,1,4,0.53,0.47,Non-Solver,N/A
32,W8_TB_CIN,1,2,0.51,0.49,Non-Solver,N/A
35,W8_TB_CIN,1,2,0.0,1.0,Non-Solver,N/A
39,W8_TB_CIN,2,2,0.94,0.06,Solver,N/A
44,W8_TB_CIN,2,2,0.7,0.3,Solver,N/A
45,W8_TB_CIN,2,8,0.16,0.84,Solver,N/A
46,W8_TB_CIN,1,2,0.43,0.57,Non-Solver,N/A
48,W8_TB_CIN,1,6,0.77,0.23,Non-Solver,N/A
50,W8_TB_CIN,2,4,0.35,0.65,Solver,N/A
51,W8_TB_CIN,2,8,0.42,0.58,Solver,N/A
53,W8_TB_CIN,2,2,0.5,0.5,Solver,N/A
54,W8_TB_CIN,2,6,0.55,0.45,Solver,N/A
60,W8_TB_CIN,1,8,0.89,0.11,Non-Solver,N/A
61,W8_TB_CIN,2,6,0.46,0.54,Solver,N/A
62,W8_TB_CIN,2,2,0.4,0.6,Solver,N/A
64,W8_TB_CIN,1,2,0.58,0.42,Non-Solver,N/A
65,W8_TB_CIN,2,8,0.39,0.61,Solver,N/A
66,W8_TB_CIN,1,4,0.51,0.49,Non-Solver,N/A
67,W8_TB_CIN,2,2,0.2,0.8,Solver,N/A
69,W8_TB_CIN,1,6,0.55,0.45,Non-Solver,N/A
70,W8_TB_CIN,2,6,0.18,0.82,Solver,N/A
71,W8_TB_CIN,2,6,0.49,0.51,Solver,N/A
73,W8_TB_CIN,2,2,0.5,0.5,Solver,N/A
76,W8_TB_CIN,2,6,0.39,0.61,Solver,N/A
