Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W8_WAS_NYG,2,8,0.37,0.63,Non-Solver,N/A
3,W8_WAS_NYG,2,2,0.65,0.35,Non-Solver,N/A
4,W8_WAS_NYG,2,6,0.37,0.63,Non-Solver,N/A
6,W8_WAS_NYG,2,6,0.45,0.55,Non-Solver,N/A
8,W8_WAS_NYG,1,2,0.17,0.83,Solver,N/A
9,W8_WAS_NYG,2,4,0.63,0.37,Non-Solver,N/A
11,W8_WAS_NYG,1,6,0.55,0.45,Solver,N/A
14,W8_WAS_NYG,2,2,0.78,0.22,Non-Solver,N/A
16,W8_WAS_NYG,2,6,0.41,0.59,Non-Solver,N/A
17,W8_WAS_NYG,1,8,0.65,0.35,Solver,N/A
21,W8_WAS_NYG,2,10,0.19,0.81,Non-Solver,N/A
23,W8_WAS_NYG,1,8,0.9,0.1,Solver,N/A
25,W8_WAS_NYG,2,4,0.74,0.26,Non-Solver,N/A
26,W8_WAS_NYG,2,4,0.13,0.87,Non-Solver,N/A
28,W8_WAS_NYG,2,2,0.59,0.41,Non-Solver,N/A
29,W8_WAS_NYG,1,2,0.33,0.67,Solver,N/A
31,W8_WAS_NYG,1,2,0.45,0.55,Solver,N/A
32,W8_WAS_NYG,2,2,0.53,0.47,Non-Solver,N/A
33,W8_WAS_NYG,2,4,0.4,0.6,Non-Solver,N/A
35,W8_WAS_NYG,2,2,0.95,0.05,Non-Solver,N/A
39,W8_WAS_NYG,2,8,0.1,0.9,Non-Solver,N/A
44,W8_WAS_NYG,2,2,0.8,0.2,Non-Solver,N/A
45,W8_WAS_NYG,1,6,0.82,0.18,Solver,N/A
46,W8_WAS_NYG,2,8,0.15,0.85,Non-Solver,N/A
48,W8_WAS_NYG,2,6,0.35,0.65,Non-Solver,N/A
49,W8_WAS_NYG,1,6,0.82,0.18,Solver,N/A
50,W8_WAS_NYG,2,6,0.21,0.79,Non-Solver,N/A
51,W8_WAS_NYG,2,4,0.59,0.41,Non-Solver,N/A
53,W8_WAS_NYG,1,2,0.5,0.5,Solver,N/A
54,W8_WAS_NYG,2,2,0.5,0.5,Non-Solver,N/A
60,W8_WAS_NYG,2,6,0.29,0.71,Non-Solver,N/A
61,W8_WAS_NYG,1,8,0.6,0.4,Solver,N/A
62,W8_WAS_NYG,2,2,0.67,0.33,Non-Solver,N/A
64,W8_WAS_NYG,1,2,0.54,0.46,Solver,N/A
65,W8_WAS_NYG,2,6,0.39,0.61,Non-Solver,N/A
66,W8_WAS_NYG,2,6,0.47,0.53,Non-Solver,N/A
67,W8_WAS_NYG,2,6,0.2,0.8,Non-Solver,N/A
69,W8_WAS_NYG,2,6,0.34,0.66,Non-Solver,N/A
70,W8_WAS_NYG,2,10,0.07,0.93,Non-Solver,N/A
76,W8_WAS_NYG,1,6,0.42,0.58,Solver,N/A
78,W8_WAS_NYG,2,2,0.6,0.4,Non-Solver,N/A
80,W8_WAS_NYG,1,2,0.13,0.87,Solver,N/A
83,W8_WAS_NYG,1,10,0.75,0.25,Solver,N/A
86,W8_WAS_NYG,2,6,0.43,0.57,Non-Solver,N/A
89,W8_WAS_NYG,2,4,0.45,0.55,Non-Solver,N/A
90,W8_WAS_NYG,1,4,0.3,0.7,Solver,N/A
92,W8_WAS_NYG,1,8,0.86,0.14,Solver,N/A
93,W8_WAS_NYG,2,8,0.89,0.11,Non-Solver,N/A
97,W8_WAS_NYG,2,6,0.53,0.47,Non-Solver,N/A
98,W8_WAS_NYG,2,6,0.44,0.56,Non-Solver,N/A
99,W8_WAS_NYG,2,6,0.36,0.64,Non-Solver,N/A
100,W8_WAS_NYG,2,2,0.61,0.39,Non-Solver,N/A
101,W8_WAS_NYG,1,6,0.65,0.35,Solver,N/A
103,W8_WAS_NYG,2,6,0.59,0.41,Non-Solver,N/A
104,W8_WAS_NYG,1,6,0.79,0.21,Solver,N/A
105,W8_WAS_NYG,2,8,0.3,0.7,Non-Solver,N/A
106,W8_WAS_NYG,1,10,1.0,0.0,Solver,N/A
109,W8_WAS_NYG,2,6,0.45,0.55,Non-Solver,N/A
110,W8_WAS_NYG,1,2,0.61,0.39,Solver,N/A
111,W8_WAS_NYG,2,6,0.5,0.5,Non-Solver,N/A
112,W8_WAS_NYG,2,8,0.25,0.75,Non-Solver,N/A
113,W8_WAS_NYG,1,8,0.98,0.02,Solver,N/A
