Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W9_GB_NE,2,8,0.44,0.56,Solver,N/A
3,W9_GB_NE,2,4,0.35,0.65,Solver,N/A
4,W9_GB_NE,1,6,0.47,0.53,Non-Solver,N/A
6,W9_GB_NE,1,6,0.73,0.27,Non-Solver,N/A
8,W9_GB_NE,1,2,0.1,0.9,Non-Solver,N/A
9,W9_GB_NE,1,6,0.34,0.66,Non-Solver,N/A
11,W9_GB_NE,2,4,0.5,0.5,Solver,N/A
13,W9_GB_NE,2,6,0.25,0.75,Solver,N/A
14,W9_GB_NE,1,2,0.24,0.76,Non-Solver,N/A
16,W9_GB_NE,2,8,0.12,0.88,Solver,N/A
17,W9_GB_NE,2,8,0.34,0.66,Solver,N/A
21,W9_GB_NE,2,8,0.29,0.71,Solver,N/A
23,W9_GB_NE,1,8,0.8,0.2,Non-Solver,N/A
25,W9_GB_NE,1,6,0.6,0.4,Non-Solver,N/A
26,W9_GB_NE,1,2,0.28,0.72,Non-Solver,N/A
29,W9_GB_NE,1,2,0.11,0.89,Non-Solver,N/A
31,W9_GB_NE,2,6,0.45,0.55,Solver,N/A
32,W9_GB_NE,1,2,0.56,0.44,Non-Solver,N/A
39,W9_GB_NE,1,10,1.0,0.0,Non-Solver,N/A
44,W9_GB_NE,2,8,0.1,0.9,Solver,N/A
46,W9_GB_NE,1,6,0.59,0.41,Non-Solver,N/A
48,W9_GB_NE,1,6,0.56,0.44,Non-Solver,N/A
49,W9_GB_NE,1,6,0.58,0.42,Non-Solver,N/A
51,W9_GB_NE,2,8,0.34,0.66,Solver,N/A
53,W9_GB_NE,1,2,0.5,0.5,Non-Solver,N/A
54,W9_GB_NE,1,2,0.5,0.5,Non-Solver,N/A
56,W9_GB_NE,1,2,0.53,0.47,Non-Solver,N/A
60,W9_GB_NE,2,10,0.05,0.95,Solver,N/A
61,W9_GB_NE,2,8,0.3,0.7,Solver,N/A
62,W9_GB_NE,2,2,0.69,0.31,Solver,N/A
63,W9_GB_NE,2,2,0.66,0.34,Solver,N/A
64,W9_GB_NE,1,6,0.56,0.44,Non-Solver,N/A
65,W9_GB_NE,1,10,0.9,0.1,Non-Solver,N/A
66,W9_GB_NE,1,4,0.59,0.41,Non-Solver,N/A
67,W9_GB_NE,2,8,0.17,0.83,Solver,N/A
70,W9_GB_NE,2,10,0.04,0.96,Solver,N/A
71,W9_GB_NE,2,8,0.17,0.83,Solver,N/A
