Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W9_LAC_SEA,1,8,0.6,0.4,Solver,N/A
3,W9_LAC_SEA,2,6,0.3,0.7,Non-Solver,N/A
4,W9_LAC_SEA,1,6,0.56,0.44,Solver,N/A
8,W9_LAC_SEA,1,4,0.13,0.87,Solver,N/A
9,W9_LAC_SEA,1,8,0.73,0.27,Solver,N/A
11,W9_LAC_SEA,1,10,0.44,0.56,Solver,N/A
13,W9_LAC_SEA,2,4,0.25,0.75,Non-Solver,N/A
14,W9_LAC_SEA,1,2,0.29,0.71,Solver,N/A
16,W9_LAC_SEA,2,8,0.26,0.74,Non-Solver,N/A
17,W9_LAC_SEA,1,8,0.7,0.3,Solver,N/A
21,W9_LAC_SEA,1,10,0.7,0.3,Solver,N/A
25,W9_LAC_SEA,1,6,0.64,0.36,Solver,N/A
26,W9_LAC_SEA,1,2,0.16,0.84,Solver,N/A
28,W9_LAC_SEA,1,2,0.56,0.44,Solver,N/A
29,W9_LAC_SEA,2,2,0.7,0.3,Non-Solver,N/A
31,W9_LAC_SEA,1,4,0.52,0.48,Solver,N/A
32,W9_LAC_SEA,1,2,0.42,0.58,Solver,N/A
33,W9_LAC_SEA,1,2,0.6,0.4,Solver,N/A
39,W9_LAC_SEA,1,8,0.81,0.19,Solver,N/A
44,W9_LAC_SEA,2,8,0.0,1.0,Non-Solver,N/A
46,W9_LAC_SEA,2,8,0.31,0.69,Non-Solver,N/A
48,W9_LAC_SEA,1,6,0.55,0.45,Solver,N/A
49,W9_LAC_SEA,1,6,0.71,0.29,Solver,N/A
50,W9_LAC_SEA,1,6,0.68,0.32,Solver,N/A
51,W9_LAC_SEA,1,8,0.58,0.42,Solver,N/A
53,W9_LAC_SEA,1,2,0.5,0.5,Solver,N/A
54,W9_LAC_SEA,1,2,0.5,0.5,Solver,N/A
56,W9_LAC_SEA,2,2,0.47,0.53,Non-Solver,N/A
57,W9_LAC_SEA,2,8,0.4,0.6,Non-Solver,N/A
60,W9_LAC_SEA,2,10,0.05,0.95,Non-Solver,N/A
61,W9_LAC_SEA,1,8,0.7,0.3,Solver,N/A
62,W9_LAC_SEA,2,2,0.7,0.3,Non-Solver,N/A
63,W9_LAC_SEA,2,4,0.36,0.64,Non-Solver,N/A
64,W9_LAC_SEA,1,2,0.53,0.47,Solver,N/A
65,W9_LAC_SEA,1,6,0.54,0.46,Solver,N/A
66,W9_LAC_SEA,1,6,0.45,0.55,Solver,N/A
67,W9_LAC_SEA,2,8,0.13,0.87,Non-Solver,N/A
70,W9_LAC_SEA,1,8,0.88,0.12,Solver,N/A
71,W9_LAC_SEA,1,10,0.74,0.26,Solver,N/A
72,W9_LAC_SEA,1,2,0.5,0.5,Solver,N/A
73,W9_LAC_SEA,2,2,0.5,0.5,Non-Solver,N/A
75,W9_LAC_SEA,2,6,0.33,0.67,Non-Solver,N/A
76,W9_LAC_SEA,2,6,0.46,0.54,Non-Solver,N/A
77,W9_LAC_SEA,1,2,0.5,0.5,Solver,N/A
78,W9_LAC_SEA,1,2,0.5,0.5,Solver,N/A
82,W9_LAC_SEA,2,8,0.16,0.84,Non-Solver,N/A
83,W9_LAC_SEA,1,8,0.64,0.36,Solver,N/A
86,W9_LAC_SEA,2,6,0.31,0.69,Non-Solver,N/A
91,W9_LAC_SEA,1,6,0.69,0.31,Solver,N/A
92,W9_LAC_SEA,2,6,0.51,0.49,Non-Solver,N/A
95,W9_LAC_SEA,2,4,0.39,0.61,Non-Solver,N/A
97,W9_LAC_SEA,2,4,0.53,0.47,Non-Solver,N/A
98,W9_LAC_SEA,2,4,0.61,0.39,Non-Solver,N/A
99,W9_LAC_SEA,1,8,0.72,0.28,Solver,N/A
100,W9_LAC_SEA,2,2,0.33,0.67,Non-Solver,N/A
101,W9_LAC_SEA,1,6,0.67,0.33,Solver,N/A
103,W9_LAC_SEA,2,6,0.57,0.43,Non-Solver,N/A
104,W9_LAC_SEA,1,6,0.67,0.33,Solver,N/A
105,W9_LAC_SEA,2,8,0.2,0.8,Non-Solver,N/A
106,W9_LAC_SEA,1,8,0.75,0.25,Solver,N/A
109,W9_LAC_SEA,2,6,0.38,0.62,Non-Solver,N/A
110,W9_LAC_SEA,1,2,0.56,0.44,Solver,N/A
111,W9_LAC_SEA,1,8,0.9,0.1,Solver,N/A
112,W9_LAC_SEA,1,4,0.6,0.4,Solver,N/A
113,W9_LAC_SEA,2,10,0.27,0.73,Non-Solver,N/A
115,W9_LAC_SEA,2,2,0.33,0.67,Non-Solver,N/A
118,W9_LAC_SEA,1,8,0.93,0.07,Solver,N/A
119,W9_LAC_SEA,2,6,0.25,0.75,Non-Solver,N/A
121,W9_LAC_SEA,1,10,0.79,0.21,Solver,N/A
129,W9_LAC_SEA,2,4,0.56,0.44,Non-Solver,N/A
130,W9_LAC_SEA,2,8,0.17,0.83,Non-Solver,N/A
132,W9_LAC_SEA,2,6,0.25,0.75,Non-Solver,N/A
136,W9_LAC_SEA,1,6,0.66,0.34,Solver,N/A
143,W9_LAC_SEA,1,10,0.99,0.01,Solver,N/A
146,W9_LAC_SEA,2,6,0.2,0.8,Non-Solver,N/A
148,W9_LAC_SEA,2,10,0.0,1.0,Non-Solver,N/A
149,W9_LAC_SEA,2,8,0.23,0.77,Non-Solver,N/A
150,W9_LAC_SEA,2,8,0.29,0.71,Non-Solver,N/A
153,W9_LAC_SEA,2,2,0.5,0.5,Non-Solver,N/A
156,W9_LAC_SEA,2,8,0.44,0.56,Non-Solver,N/A
161,W9_LAC_SEA,2,4,0.39,0.61,Non-Solver,N/A
165,W9_LAC_SEA,1,8,0.8,0.2,Solver,N/A
167,W9_LAC_SEA,2,6,0.23,0.77,Non-Solver,N/A
169,W9_LAC_SEA,2,4,0.48,0.52,Non-Solver,N/A
