Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W9_NYJ_MIA,1,6,0.54,0.46,Non-Solver,N/A
3,W9_NYJ_MIA,1,2,0.4,0.6,Non-Solver,N/A
4,W9_NYJ_MIA,1,4,0.29,0.71,Non-Solver,N/A
6,W9_NYJ_MIA,1,2,0.45,0.55,Non-Solver,N/A
8,W9_NYJ_MIA,1,2,0.06,0.94,Non-Solver,N/A
9,W9_NYJ_MIA,2,4,0.4,0.6,Solver,N/A
11,W9_NYJ_MIA,1,6,0.52,0.48,Non-Solver,N/A
13,W9_NYJ_MIA,1,2,0.22,0.78,Non-Solver,N/A
14,W9_NYJ_MIA,1,2,0.25,0.75,Non-Solver,N/A
15,W9_NYJ_MIA,1,4,0.45,0.55,Non-Solver,N/A
16,W9_NYJ_MIA,1,6,0.62,0.38,Non-Solver,N/A
17,W9_NYJ_MIA,1,4,0.63,0.37,Non-Solver,N/A
21,W9_NYJ_MIA,1,10,0.81,0.19,Non-Solver,N/A
23,W9_NYJ_MIA,2,6,0.38,0.62,Solver,N/A
25,W9_NYJ_MIA,1,2,0.74,0.26,Non-Solver,N/A
28,W9_NYJ_MIA,1,2,0.79,0.21,Non-Solver,N/A
29,W9_NYJ_MIA,2,4,0.7,0.3,Solver,N/A
31,W9_NYJ_MIA,1,6,0.53,0.47,Non-Solver,N/A
32,W9_NYJ_MIA,1,2,0.55,0.45,Non-Solver,N/A
39,W9_NYJ_MIA,2,8,0.3,0.7,Solver,N/A
44,W9_NYJ_MIA,1,2,0.3,0.7,Non-Solver,N/A
46,W9_NYJ_MIA,2,6,0.42,0.58,Solver,N/A
48,W9_NYJ_MIA,1,6,0.54,0.46,Non-Solver,N/A
49,W9_NYJ_MIA,2,6,0.23,0.77,Solver,N/A
51,W9_NYJ_MIA,1,8,0.6,0.4,Non-Solver,N/A
53,W9_NYJ_MIA,2,2,0.5,0.5,Solver,N/A
54,W9_NYJ_MIA,1,2,0.5,0.5,Non-Solver,N/A
56,W9_NYJ_MIA,1,2,0.54,0.46,Non-Solver,N/A
60,W9_NYJ_MIA,1,8,0.89,0.11,Non-Solver,N/A
61,W9_NYJ_MIA,2,6,0.45,0.55,Solver,N/A
64,W9_NYJ_MIA,2,6,0.47,0.53,Solver,N/A
65,W9_NYJ_MIA,1,6,0.54,0.46,Non-Solver,N/A
66,W9_NYJ_MIA,2,4,0.63,0.37,Solver,N/A
67,W9_NYJ_MIA,2,6,0.24,0.76,Solver,N/A
70,W9_NYJ_MIA,1,10,0.9,0.1,Non-Solver,N/A
71,W9_NYJ_MIA,2,6,0.31,0.69,Solver,N/A
73,W9_NYJ_MIA,1,2,0.5,0.5,Non-Solver,N/A
75,W9_NYJ_MIA,2,6,0.43,0.57,Solver,N/A
76,W9_NYJ_MIA,2,6,0.35,0.65,Solver,N/A
77,W9_NYJ_MIA,1,2,0.55,0.45,Non-Solver,N/A
78,W9_NYJ_MIA,1,2,0.4,0.6,Non-Solver,N/A
80,W9_NYJ_MIA,2,4,0.56,0.44,Solver,N/A
82,W9_NYJ_MIA,1,4,0.67,0.33,Non-Solver,N/A
83,W9_NYJ_MIA,2,6,0.5,0.5,Solver,N/A
86,W9_NYJ_MIA,1,8,0.71,0.29,Non-Solver,N/A
90,W9_NYJ_MIA,2,6,0.56,0.44,Solver,N/A
91,W9_NYJ_MIA,1,6,0.64,0.36,Non-Solver,N/A
