Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
2,W9_TB_CAR,1,6,0.54,0.46,Non-Solver,N/A
3,W9_TB_CAR,2,2,0.6,0.4,Solver,N/A
4,W9_TB_CAR,2,4,0.74,0.26,Solver,N/A
6,W9_TB_CAR,2,2,0.52,0.48,Solver,N/A
8,W9_TB_CAR,1,6,0.13,0.87,Non-Solver,N/A
9,W9_TB_CAR,2,6,0.33,0.67,Solver,N/A
11,W9_TB_CAR,1,4,0.52,0.48,Non-Solver,N/A
13,W9_TB_CAR,2,4,0.6,0.4,Solver,N/A
14,W9_TB_CAR,2,2,0.75,0.25,Solver,N/A
15,W9_TB_CAR,2,2,0.59,0.41,Solver,N/A
16,W9_TB_CAR,2,4,0.47,0.53,Solver,N/A
17,W9_TB_CAR,1,4,0.52,0.48,Non-Solver,N/A
21,W9_TB_CAR,2,6,0.2,0.8,Solver,N/A
23,W9_TB_CAR,2,8,0.2,0.8,Solver,N/A
25,W9_TB_CAR,1,2,0.35,0.65,Non-Solver,N/A
28,W9_TB_CAR,2,2,0.57,0.43,Solver,N/A
29,W9_TB_CAR,1,2,0.4,0.6,Non-Solver,N/A
31,W9_TB_CAR,2,4,0.47,0.53,Solver,N/A
32,W9_TB_CAR,2,2,0.37,0.63,Solver,N/A
33,W9_TB_CAR,2,2,1.0,0.0,Solver,N/A
44,W9_TB_CAR,2,8,0.2,0.8,Solver,N/A
46,W9_TB_CAR,2,6,0.54,0.46,Solver,N/A
48,W9_TB_CAR,1,6,0.45,0.55,Non-Solver,N/A
49,W9_TB_CAR,2,6,0.39,0.61,Solver,N/A
50,W9_TB_CAR,1,4,0.78,0.22,Non-Solver,N/A
51,W9_TB_CAR,2,8,0.37,0.63,Solver,N/A
53,W9_TB_CAR,2,2,0.5,0.5,Solver,N/A
54,W9_TB_CAR,1,2,0.5,0.5,Non-Solver,N/A
56,W9_TB_CAR,2,2,0.46,0.54,Solver,N/A
57,W9_TB_CAR,2,8,0.4,0.6,Solver,N/A
60,W9_TB_CAR,2,8,0.12,0.88,Solver,N/A
62,W9_TB_CAR,1,2,0.43,0.57,Non-Solver,N/A
63,W9_TB_CAR,1,2,0.15,0.85,Non-Solver,N/A
64,W9_TB_CAR,1,6,0.6,0.4,Non-Solver,N/A
65,W9_TB_CAR,1,6,0.54,0.46,Non-Solver,N/A
66,W9_TB_CAR,2,8,0.57,0.43,Solver,N/A
67,W9_TB_CAR,2,2,0.35,0.65,Solver,N/A
70,W9_TB_CAR,2,6,0.25,0.75,Solver,N/A
71,W9_TB_CAR,2,8,0.39,0.61,Solver,N/A
73,W9_TB_CAR,2,2,0.5,0.5,Solver,N/A
75,W9_TB_CAR,2,6,0.36,0.64,Solver,N/A
76,W9_TB_CAR,2,6,0.4,0.6,Solver,N/A
77,W9_TB_CAR,1,2,0.56,0.44,Non-Solver,N/A
78,W9_TB_CAR,2,2,0.6,0.4,Solver,N/A
80,W9_TB_CAR,2,8,0.45,0.55,Solver,N/A
82,W9_TB_CAR,1,8,0.66,0.34,Non-Solver,N/A
83,W9_TB_CAR,2,8,0.3,0.7,Solver,N/A
86,W9_TB_CAR,2,6,0.4,0.6,Solver,N/A
89,W9_TB_CAR,1,4,0.6,0.4,Non-Solver,N/A
91,W9_TB_CAR,2,8,0.16,0.84,Solver,N/A
92,W9_TB_CAR,1,6,0.55,0.45,Non-Solver,N/A
95,W9_TB_CAR,2,2,0.39,0.61,Solver,N/A
97,W9_TB_CAR,2,10,0.52,0.48,Solver,N/A
98,W9_TB_CAR,2,4,0.55,0.45,Solver,N/A
100,W9_TB_CAR,2,2,0.67,0.33,Solver,N/A
101,W9_TB_CAR,2,8,0.3,0.7,Solver,N/A
103,W9_TB_CAR,1,6,0.44,0.56,Non-Solver,N/A
104,W9_TB_CAR,2,6,0.31,0.69,Solver,N/A
105,W9_TB_CAR,2,2,0.4,0.6,Solver,N/A
106,W9_TB_CAR,2,6,0.32,0.68,Solver,N/A
109,W9_TB_CAR,2,6,0.39,0.61,Solver,N/A
110,W9_TB_CAR,2,2,0.34,0.66,Solver,N/A
111,W9_TB_CAR,2,8,0.1,0.9,Solver,N/A
112,W9_TB_CAR,1,2,0.5,0.5,Non-Solver,N/A
115,W9_TB_CAR,2,2,0.32,0.68,Solver,N/A
118,W9_TB_CAR,1,10,0.77,0.23,Non-Solver,N/A
119,W9_TB_CAR,2,6,0.3,0.7,Solver,N/A
121,W9_TB_CAR,2,6,0.47,0.53,Solver,N/A
129,W9_TB_CAR,2,10,0.0,1.0,Solver,N/A
130,W9_TB_CAR,2,2,0.84,0.16,Solver,N/A
132,W9_TB_CAR,2,8,0.2,0.8,Solver,N/A
136,W9_TB_CAR,1,2,0.04,0.96,Non-Solver,N/A
143,W9_TB_CAR,1,8,0.56,0.44,Non-Solver,N/A
146,W9_TB_CAR,2,2,0.25,0.75,Solver,N/A
148,W9_TB_CAR,2,8,0.31,0.69,Solver,N/A
149,W9_TB_CAR,1,6,0.71,0.29,Non-Solver,N/A
150,W9_TB_CAR,2,8,0.26,0.74,Solver,N/A
153,W9_TB_CAR,2,2,0.49,0.51,Solver,N/A
156,W9_TB_CAR,2,8,0.3,0.7,Solver,N/A
165,W9_TB_CAR,1,8,0.62,0.38,Non-Solver,N/A
167,W9_TB_CAR,2,8,0.09,0.91,Solver,N/A
169,W9_TB_CAR,2,6,0.49,0.51,Solver,N/A
171,W9_TB_CAR,2,4,0.59,0.41,Solver,N/A
172,W9_TB_CAR,2,6,0.4,0.6,Solver,N/A
175,W9_TB_CAR,1,6,0.61,0.39,Non-Solver,N/A
177,W9_TB_CAR,2,2,0.3,0.7,Solver,N/A
180,W9_TB_CAR,2,6,0.3,0.7,Solver,N/A
186,W9_TB_CAR,1,6,0.38,0.62,Non-Solver,N/A
190,W9_TB_CAR,1,8,0.68,0.32,Non-Solver,N/A
191,W9_TB_CAR,2,2,0.4,0.6,Solver,N/A
196,W9_TB_CAR,2,4,0.54,0.46,Solver,N/A
199,W9_TB_CAR,2,2,0.68,0.32,Solver,N/A
200,W9_TB_CAR,2,6,0.26,0.74,Solver,N/A
202,W9_TB_CAR,2,8,0.29,0.71,Solver,N/A
203,W9_TB_CAR,2,4,0.62,0.38,Solver,N/A
210,W9_TB_CAR,2,6,0.58,0.42,Solver,N/A
211,W9_TB_CAR,1,6,0.57,0.43,Non-Solver,N/A
212,W9_TB_CAR,2,8,0.22,0.78,Solver,N/A
214,W9_TB_CAR,1,6,0.4,0.6,Non-Solver,N/A
215,W9_TB_CAR,1,6,0.7,0.3,Non-Solver,N/A
218,W9_TB_CAR,2,6,0.32,0.68,Solver,N/A
225,W9_TB_CAR,2,2,0.26,0.74,Solver,N/A
