Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,WA_5,1,6,0.44,0.56,Non-Solver,N/A
5,WA_5,2,6,0.45,0.55,Solver,N/A
7,WA_5,1,8,0.89,0.11,Non-Solver,N/A
9,WA_5,1,2,0.51,0.49,Non-Solver,N/A
12,WA_5,1,8,0.89,0.11,Non-Solver,N/A
22,WA_5,1,8,0.66,0.34,Non-Solver,N/A
42,WA_5,1,6,0.4,0.6,Non-Solver,N/A
52,WA_5,2,4,0.49,0.51,Solver,N/A
56,WA_5,1,4,0.6,0.4,Non-Solver,N/A
58,WA_5,1,10,1.0,0.0,Non-Solver,N/A
70,WA_5,2,2,0.42,0.58,Solver,N/A
72,WA_5,1,6,0.4,0.6,Non-Solver,N/A
79,WA_5,1,4,0.51,0.49,Non-Solver,N/A
81,WA_5,1,6,0.79,0.21,Non-Solver,N/A
86,WA_5,1,4,0.4,0.6,Non-Solver,N/A
96,WA_5,1,2,0.72,0.28,Non-Solver,N/A
97,WA_5,2,4,0.41,0.59,Solver,N/A
104,WA_5,1,2,0.53,0.47,Non-Solver,N/A
114,WA_5,2,6,0.32,0.68,Solver,N/A
115,WA_5,2,6,0.3,0.7,Solver,N/A
116,WA_5,1,2,0.36,0.64,Non-Solver,N/A
117,WA_5,2,8,0.3,0.7,Solver,N/A
123,WA_5,1,8,0.71,0.29,Non-Solver,N/A
131,WA_5,1,6,0.44,0.56,Non-Solver,N/A
134,WA_5,2,4,0.57,0.43,Solver,N/A
135,WA_5,1,8,0.78,0.22,Non-Solver,N/A
137,WA_5,2,4,0.4,0.6,Solver,N/A
138,WA_5,2,8,0.19,0.81,Solver,N/A
140,WA_5,1,8,0.81,0.19,Non-Solver,N/A
141,WA_5,2,6,0.62,0.38,Solver,N/A
154,WA_5,1,6,0.58,0.42,Non-Solver,N/A
161,WA_5,1,2,0.65,0.35,Non-Solver,N/A
169,WA_5,1,8,0.65,0.35,Non-Solver,N/A
170,WA_5,1,2,0.55,0.45,Non-Solver,N/A
177,WA_5,2,6,0.2,0.8,Solver,N/A
178,WA_5,2,2,0.5,0.5,Solver,N/A
187,WA_5,2,2,0.53,0.47,Solver,N/A
189,WA_5,1,10,0.9,0.1,Non-Solver,N/A
198,WA_5,2,4,0.17,0.83,Solver,N/A
199,WA_5,1,6,0.51,0.49,Non-Solver,N/A
206,WA_5,1,6,0.62,0.38,Non-Solver,N/A
208,WA_5,2,2,0.49,0.51,Solver,N/A
211,WA_5,1,8,0.78,0.22,Non-Solver,N/A
213,WA_5,1,2,0.1,0.9,Non-Solver,N/A
217,WA_5,1,8,0.92,0.08,Non-Solver,N/A
218,WA_5,2,6,0.3,0.7,Solver,N/A
222,WA_5,2,6,0.34,0.66,Solver,N/A
223,WA_5,1,6,0.91,0.09,Non-Solver,N/A
224,WA_5,1,2,0.58,0.42,Non-Solver,N/A
231,WA_5,1,6,0.6,0.4,Non-Solver,N/A
235,WA_5,2,6,0.3,0.7,Solver,N/A
236,WA_5,2,2,0.5,0.5,Solver,N/A
237,WA_5,2,6,0.42,0.58,Solver,N/A
242,WA_5,2,8,0.35,0.65,Solver,N/A
248,WA_5,2,4,0.78,0.22,Solver,N/A
250,WA_5,1,6,0.51,0.49,Non-Solver,N/A
260,WA_5,1,6,0.85,0.15,Non-Solver,N/A
261,WA_5,2,6,0.32,0.68,Solver,N/A
267,WA_5,1,8,0.9,0.1,Non-Solver,N/A
271,WA_5,1,4,0.61,0.39,Non-Solver,N/A
272,WA_5,2,2,0.39,0.61,Solver,N/A
275,WA_5,2,8,0.3,0.7,Solver,N/A
276,WA_5,1,8,0.7,0.3,Non-Solver,N/A
280,WA_5,2,6,0.43,0.57,Solver,N/A
282,WA_5,1,4,0.5,0.5,Non-Solver,N/A
283,WA_5,2,4,0.58,0.42,Solver,N/A
288,WA_5,1,8,0.59,0.41,Non-Solver,N/A
295,WA_5,1,2,0.52,0.48,Non-Solver,N/A
297,WA_5,2,8,0.39,0.61,Solver,N/A
302,WA_5,1,8,0.63,0.37,Non-Solver,N/A
