Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,WA_sen,2,6,0.33,0.67,Non-Solver,N/A
9,WA_sen,1,2,0.51,0.49,Solver,N/A
19,WA_sen,2,8,0.49,0.51,Non-Solver,N/A
20,WA_sen,1,6,0.64,0.36,Solver,N/A
24,WA_sen,1,2,0.47,0.53,Solver,N/A
33,WA_sen,1,8,0.87,0.13,Solver,N/A
36,WA_sen,1,8,0.9,0.1,Solver,N/A
37,WA_sen,1,6,0.82,0.18,Solver,N/A
40,WA_sen,1,4,0.57,0.43,Solver,N/A
43,WA_sen,1,2,0.55,0.45,Solver,N/A
50,WA_sen,1,10,0.95,0.05,Solver,N/A
53,WA_sen,1,4,0.58,0.42,Solver,N/A
59,WA_sen,1,2,0.5,0.5,Solver,N/A
62,WA_sen,1,6,0.45,0.55,Solver,N/A
69,WA_sen,1,10,0.84,0.16,Solver,N/A
70,WA_sen,2,4,0.59,0.41,Non-Solver,N/A
71,WA_sen,1,6,0.67,0.33,Solver,N/A
73,WA_sen,1,4,0.66,0.34,Solver,N/A
77,WA_sen,1,6,0.63,0.37,Solver,N/A
93,WA_sen,1,2,0.51,0.49,Solver,N/A
95,WA_sen,1,2,0.5,0.5,Solver,N/A
100,WA_sen,1,6,0.57,0.43,Solver,N/A
106,WA_sen,1,4,0.45,0.55,Solver,N/A
112,WA_sen,1,2,0.77,0.23,Solver,N/A
118,WA_sen,2,8,0.19,0.81,Non-Solver,N/A
121,WA_sen,1,6,0.76,0.24,Solver,N/A
127,WA_sen,1,8,0.85,0.15,Solver,N/A
130,WA_sen,1,6,0.56,0.44,Solver,N/A
138,WA_sen,1,8,0.74,0.26,Solver,N/A
140,WA_sen,1,6,0.23,0.77,Solver,N/A
141,WA_sen,2,8,0.42,0.58,Non-Solver,N/A
144,WA_sen,1,6,0.61,0.39,Solver,N/A
153,WA_sen,2,8,0.11,0.89,Non-Solver,N/A
159,WA_sen,1,6,0.62,0.38,Solver,N/A
160,WA_sen,2,6,0.58,0.42,Non-Solver,N/A
163,WA_sen,2,8,0.18,0.82,Non-Solver,N/A
170,WA_sen,1,2,0.51,0.49,Solver,N/A
172,WA_sen,1,8,0.87,0.13,Solver,N/A
173,WA_sen,2,2,0.5,0.5,Non-Solver,N/A
176,WA_sen,1,4,0.38,0.62,Solver,N/A
179,WA_sen,2,2,0.49,0.51,Non-Solver,N/A
183,WA_sen,2,8,0.45,0.55,Non-Solver,N/A
186,WA_sen,1,4,0.45,0.55,Solver,N/A
188,WA_sen,2,2,0.5,0.5,Non-Solver,N/A
190,WA_sen,1,10,0.83,0.17,Solver,N/A
195,WA_sen,1,6,0.87,0.13,Solver,N/A
196,WA_sen,1,10,0.91,0.09,Solver,N/A
204,WA_sen,1,8,0.85,0.15,Solver,N/A
212,WA_sen,1,6,0.71,0.29,Solver,N/A
213,WA_sen,1,2,0.14,0.86,Solver,N/A
216,WA_sen,1,6,0.75,0.25,Solver,N/A
223,WA_sen,1,6,0.59,0.41,Solver,N/A
224,WA_sen,1,4,0.64,0.36,Solver,N/A
226,WA_sen,1,6,0.7,0.3,Solver,N/A
227,WA_sen,1,2,0.48,0.52,Solver,N/A
235,WA_sen,2,6,0.4,0.6,Non-Solver,N/A
236,WA_sen,1,2,0.5,0.5,Solver,N/A
245,WA_sen,1,8,0.7,0.3,Solver,N/A
250,WA_sen,1,4,0.6,0.4,Solver,N/A
252,WA_sen,1,6,0.79,0.21,Solver,N/A
254,WA_sen,1,6,0.51,0.49,Solver,N/A
255,WA_sen,1,10,0.8,0.2,Solver,N/A
256,WA_sen,2,2,0.48,0.52,Non-Solver,N/A
269,WA_sen,1,2,0.81,0.19,Solver,N/A
271,WA_sen,1,8,0.75,0.25,Solver,N/A
272,WA_sen,1,4,0.45,0.55,Solver,N/A
273,WA_sen,1,6,0.72,0.28,Solver,N/A
275,WA_sen,1,10,0.9,0.1,Solver,N/A
278,WA_sen,1,8,0.71,0.29,Solver,N/A
280,WA_sen,2,4,0.7,0.3,Non-Solver,N/A
287,WA_sen,1,6,0.49,0.51,Solver,N/A
295,WA_sen,1,2,0.6,0.4,Solver,N/A
301,WA_sen,1,6,0.66,0.34,Solver,N/A
302,WA_sen,1,8,0.8,0.2,Solver,N/A
