Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
8,WI_1,2,4,0.7,0.3,Solver,N/A
14,WI_1,1,4,0.19,0.81,Non-Solver,N/A
21,WI_1,1,4,0.38,0.62,Non-Solver,N/A
29,WI_1,2,6,0.63,0.37,Solver,N/A
33,WI_1,2,4,0.63,0.37,Solver,N/A
36,WI_1,1,6,0.7,0.3,Non-Solver,N/A
38,WI_1,1,6,0.3,0.7,Non-Solver,N/A
40,WI_1,2,4,0.45,0.55,Solver,N/A
50,WI_1,2,8,0.15,0.85,Solver,N/A
62,WI_1,1,2,0.58,0.42,Non-Solver,N/A
65,WI_1,2,2,0.56,0.44,Solver,N/A
68,WI_1,1,4,0.4,0.6,Non-Solver,N/A
69,WI_1,1,2,0.53,0.47,Non-Solver,N/A
75,WI_1,2,8,0.65,0.35,Solver,N/A
78,WI_1,1,8,0.74,0.26,Non-Solver,N/A
88,WI_1,2,4,0.72,0.28,Solver,N/A
91,WI_1,2,2,0.5,0.5,Solver,N/A
99,WI_1,1,8,0.99,0.01,Non-Solver,N/A
101,WI_1,2,6,0.49,0.51,Solver,N/A
104,WI_1,2,2,0.48,0.52,Solver,N/A
109,WI_1,2,2,0.49,0.51,Solver,N/A
111,WI_1,2,4,0.38,0.62,Solver,N/A
121,WI_1,2,4,0.27,0.73,Solver,N/A
127,WI_1,1,4,0.54,0.46,Non-Solver,N/A
130,WI_1,1,6,0.53,0.47,Non-Solver,N/A
136,WI_1,2,2,0.25,0.75,Solver,N/A
138,WI_1,2,6,0.19,0.81,Solver,N/A
140,WI_1,1,6,0.34,0.66,Non-Solver,N/A
142,WI_1,1,2,0.5,0.5,Non-Solver,N/A
145,WI_1,2,2,0.5,0.5,Solver,N/A
147,WI_1,1,4,0.22,0.78,Non-Solver,N/A
151,WI_1,2,4,0.5,0.5,Solver,N/A
152,WI_1,1,8,0.72,0.28,Non-Solver,N/A
155,WI_1,2,2,0.43,0.57,Solver,N/A
162,WI_1,1,6,0.61,0.39,Non-Solver,N/A
163,WI_1,2,6,0.25,0.75,Solver,N/A
174,WI_1,2,2,0.47,0.53,Solver,N/A
177,WI_1,2,6,0.17,0.83,Solver,N/A
179,WI_1,2,2,0.49,0.51,Solver,N/A
181,WI_1,1,6,0.31,0.69,Non-Solver,N/A
185,WI_1,2,6,0.3,0.7,Solver,N/A
191,WI_1,2,2,0.47,0.53,Solver,N/A
195,WI_1,1,10,0.91,0.09,Non-Solver,N/A
196,WI_1,1,8,0.81,0.19,Non-Solver,N/A
211,WI_1,1,6,0.71,0.29,Non-Solver,N/A
212,WI_1,1,6,0.67,0.33,Non-Solver,N/A
213,WI_1,1,2,0.12,0.88,Non-Solver,N/A
223,WI_1,2,6,0.34,0.66,Solver,N/A
224,WI_1,2,2,0.43,0.57,Solver,N/A
227,WI_1,2,2,0.51,0.49,Solver,N/A
228,WI_1,2,6,0.55,0.45,Solver,N/A
230,WI_1,1,6,0.56,0.44,Non-Solver,N/A
243,WI_1,2,6,0.41,0.59,Solver,N/A
265,WI_1,2,2,0.7,0.3,Solver,N/A
268,WI_1,1,8,0.89,0.11,Non-Solver,N/A
272,WI_1,1,4,0.61,0.39,Non-Solver,N/A
279,WI_1,1,8,0.79,0.21,Non-Solver,N/A
282,WI_1,2,6,0.45,0.55,Solver,N/A
288,WI_1,1,6,0.54,0.46,Non-Solver,N/A
290,WI_1,2,6,0.43,0.57,Solver,N/A
292,WI_1,2,2,0.3,0.7,Solver,N/A
294,WI_1,2,2,0.68,0.32,Solver,N/A
299,WI_1,2,2,0.5,0.5,Solver,N/A
303,WI_1,2,6,0.5,0.5,Solver,N/A
304,WI_1,1,2,0.4,0.6,Non-Solver,N/A
