Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
4,WI_gub,1,4,0.35,0.65,Solver,N/A
11,WI_gub,2,6,0.64,0.36,Non-Solver,N/A
14,WI_gub,2,6,0.23,0.77,Non-Solver,N/A
15,WI_gub,1,4,0.36,0.64,Solver,N/A
18,WI_gub,1,2,0.53,0.47,Solver,N/A
30,WI_gub,1,10,1.0,0.0,Solver,N/A
32,WI_gub,1,6,0.68,0.32,Solver,N/A
34,WI_gub,2,4,0.45,0.55,Non-Solver,N/A
37,WI_gub,1,6,0.75,0.25,Solver,N/A
38,WI_gub,1,10,0.28,0.72,Solver,N/A
46,WI_gub,2,8,0.31,0.69,Non-Solver,N/A
47,WI_gub,2,8,0.43,0.57,Non-Solver,N/A
48,WI_gub,2,8,0.1,0.9,Non-Solver,N/A
51,WI_gub,2,6,0.68,0.32,Non-Solver,N/A
53,WI_gub,1,4,0.41,0.59,Solver,N/A
60,WI_gub,1,6,0.63,0.37,Solver,N/A
66,WI_gub,1,4,0.36,0.64,Solver,N/A
71,WI_gub,2,2,0.42,0.58,Non-Solver,N/A
74,WI_gub,2,6,0.41,0.59,Non-Solver,N/A
79,WI_gub,1,6,0.54,0.46,Solver,N/A
82,WI_gub,1,8,0.9,0.1,Solver,N/A
87,WI_gub,2,6,0.25,0.75,Non-Solver,N/A
90,WI_gub,2,4,0.45,0.55,Non-Solver,N/A
94,WI_gub,2,8,0.15,0.85,Non-Solver,N/A
97,WI_gub,2,6,0.27,0.73,Non-Solver,N/A
100,WI_gub,2,6,0.3,0.7,Non-Solver,N/A
103,WI_gub,1,6,0.6,0.4,Solver,N/A
107,WI_gub,1,6,0.84,0.16,Solver,N/A
108,WI_gub,2,6,0.33,0.67,Non-Solver,N/A
109,WI_gub,1,4,0.33,0.67,Solver,N/A
112,WI_gub,2,6,0.29,0.71,Non-Solver,N/A
114,WI_gub,2,6,0.25,0.75,Non-Solver,N/A
129,WI_gub,2,6,0.49,0.51,Non-Solver,N/A
133,WI_gub,2,2,0.46,0.54,Non-Solver,N/A
141,WI_gub,2,6,0.53,0.47,Non-Solver,N/A
147,WI_gub,2,6,0.24,0.76,Non-Solver,N/A
155,WI_gub,2,2,0.31,0.69,Non-Solver,N/A
158,WI_gub,2,8,0.37,0.63,Non-Solver,N/A
159,WI_gub,1,6,0.41,0.59,Solver,N/A
161,WI_gub,1,4,0.3,0.7,Solver,N/A
165,WI_gub,1,6,0.49,0.51,Solver,N/A
171,WI_gub,2,6,0.32,0.68,Non-Solver,N/A
181,WI_gub,2,6,0.28,0.72,Non-Solver,N/A
190,WI_gub,1,6,0.54,0.46,Solver,N/A
192,WI_gub,1,4,0.58,0.42,Solver,N/A
193,WI_gub,1,6,0.46,0.54,Solver,N/A
194,WI_gub,2,6,0.45,0.55,Non-Solver,N/A
201,WI_gub,1,10,0.95,0.05,Solver,N/A
202,WI_gub,2,6,0.33,0.67,Non-Solver,N/A
203,WI_gub,1,10,0.67,0.33,Solver,N/A
204,WI_gub,2,6,0.4,0.6,Non-Solver,N/A
215,WI_gub,2,6,0.31,0.69,Non-Solver,N/A
222,WI_gub,1,6,0.66,0.34,Solver,N/A
234,WI_gub,2,6,0.21,0.79,Non-Solver,N/A
236,WI_gub,1,8,0.7,0.3,Solver,N/A
238,WI_gub,2,4,0.56,0.44,Non-Solver,N/A
248,WI_gub,2,10,0.05,0.95,Non-Solver,N/A
250,WI_gub,2,10,0.05,0.95,Non-Solver,N/A
253,WI_gub,1,6,0.31,0.69,Solver,N/A
255,WI_gub,2,6,0.4,0.6,Non-Solver,N/A
260,WI_gub,2,8,0.2,0.8,Non-Solver,N/A
269,WI_gub,2,2,0.43,0.57,Non-Solver,N/A
272,WI_gub,1,6,0.6,0.4,Solver,N/A
274,WI_gub,2,6,0.49,0.51,Non-Solver,N/A
276,WI_gub,1,6,0.5,0.5,Solver,N/A
279,WI_gub,1,8,0.88,0.12,Solver,N/A
282,WI_gub,2,6,0.4,0.6,Non-Solver,N/A
287,WI_gub,2,4,0.58,0.42,Non-Solver,N/A
294,WI_gub,2,4,0.69,0.31,Non-Solver,N/A
297,WI_gub,2,6,0.5,0.5,Non-Solver,N/A
304,WI_gub,1,4,0.57,0.43,Solver,N/A
308,WI_gub,2,6,0.39,0.61,Non-Solver,N/A
