Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
9,WI_sen,1,2,0.51,0.49,Solver,N/A
13,WI_sen,1,4,0.21,0.79,Solver,N/A
14,WI_sen,2,8,0.37,0.63,Non-Solver,N/A
25,WI_sen,1,10,0.55,0.45,Solver,N/A
26,WI_sen,1,8,0.85,0.15,Solver,N/A
34,WI_sen,2,4,0.55,0.45,Non-Solver,N/A
39,WI_sen,2,8,0.3,0.7,Non-Solver,N/A
44,WI_sen,2,2,0.52,0.48,Non-Solver,N/A
45,WI_sen,2,10,0.05,0.95,Non-Solver,N/A
47,WI_sen,2,6,0.45,0.55,Non-Solver,N/A
55,WI_sen,1,6,0.65,0.35,Solver,N/A
64,WI_sen,1,4,0.55,0.45,Solver,N/A
68,WI_sen,1,8,0.72,0.28,Solver,N/A
71,WI_sen,2,4,0.3,0.7,Non-Solver,N/A
74,WI_sen,2,6,0.41,0.59,Non-Solver,N/A
78,WI_sen,2,6,0.33,0.67,Non-Solver,N/A
81,WI_sen,2,8,0.21,0.79,Non-Solver,N/A
83,WI_sen,1,6,0.66,0.34,Solver,N/A
85,WI_sen,1,10,0.71,0.29,Solver,N/A
88,WI_sen,1,4,0.3,0.7,Solver,N/A
95,WI_sen,1,2,0.5,0.5,Solver,N/A
102,WI_sen,1,4,0.4,0.6,Solver,N/A
103,WI_sen,1,4,0.65,0.35,Solver,N/A
105,WI_sen,2,4,0.55,0.45,Non-Solver,N/A
117,WI_sen,1,8,0.89,0.11,Solver,N/A
125,WI_sen,1,6,0.57,0.43,Solver,N/A
134,WI_sen,2,4,0.74,0.26,Non-Solver,N/A
142,WI_sen,1,2,0.5,0.5,Solver,N/A
144,WI_sen,2,6,0.38,0.62,Non-Solver,N/A
153,WI_sen,1,6,0.47,0.53,Solver,N/A
155,WI_sen,2,2,0.41,0.59,Non-Solver,N/A
158,WI_sen,2,8,0.63,0.37,Non-Solver,N/A
166,WI_sen,2,4,0.6,0.4,Non-Solver,N/A
169,WI_sen,1,2,0.32,0.68,Solver,N/A
171,WI_sen,1,6,0.71,0.29,Solver,N/A
172,WI_sen,1,8,0.72,0.28,Solver,N/A
177,WI_sen,2,6,0.26,0.74,Non-Solver,N/A
179,WI_sen,2,2,0.39,0.61,Non-Solver,N/A
190,WI_sen,1,8,0.79,0.21,Solver,N/A
191,WI_sen,1,2,0.51,0.49,Solver,N/A
193,WI_sen,1,6,0.61,0.39,Solver,N/A
194,WI_sen,2,6,0.49,0.51,Non-Solver,N/A
196,WI_sen,1,8,0.78,0.22,Solver,N/A
198,WI_sen,1,2,0.67,0.33,Solver,N/A
216,WI_sen,1,4,0.45,0.55,Solver,N/A
217,WI_sen,2,6,0.39,0.61,Non-Solver,N/A
228,WI_sen,2,6,0.52,0.48,Non-Solver,N/A
231,WI_sen,2,8,0.24,0.76,Non-Solver,N/A
235,WI_sen,1,2,0.5,0.5,Solver,N/A
237,WI_sen,1,10,0.85,0.15,Solver,N/A
242,WI_sen,2,4,0.33,0.67,Non-Solver,N/A
249,WI_sen,1,6,0.64,0.36,Solver,N/A
257,WI_sen,1,6,0.61,0.39,Solver,N/A
260,WI_sen,2,8,0.25,0.75,Non-Solver,N/A
261,WI_sen,1,6,0.6,0.4,Solver,N/A
264,WI_sen,1,6,0.66,0.34,Solver,N/A
266,WI_sen,2,8,0.19,0.81,Non-Solver,N/A
271,WI_sen,1,6,0.7,0.3,Solver,N/A
272,WI_sen,1,6,0.65,0.35,Solver,N/A
273,WI_sen,1,4,0.51,0.49,Solver,N/A
282,WI_sen,2,8,0.3,0.7,Non-Solver,N/A
283,WI_sen,1,6,0.43,0.57,Solver,N/A
284,WI_sen,2,6,0.46,0.54,Non-Solver,N/A
291,WI_sen,1,2,0.51,0.49,Solver,N/A
298,WI_sen,1,4,0.17,0.83,Solver,N/A
301,WI_sen,1,6,0.68,0.32,Solver,N/A
306,WI_sen,1,2,0.51,0.49,Solver,N/A
