Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
9,WV_3,2,2,0.49,0.51,Solver,N/A
19,WV_3,1,6,0.57,0.43,Non-Solver,N/A
20,WV_3,1,6,0.57,0.43,Non-Solver,N/A
23,WV_3,2,2,0.39,0.61,Solver,N/A
31,WV_3,2,10,0.0,1.0,Solver,N/A
32,WV_3,2,6,0.45,0.55,Solver,N/A
34,WV_3,2,4,0.4,0.6,Solver,N/A
36,WV_3,1,6,0.68,0.32,Non-Solver,N/A
44,WV_3,2,2,0.57,0.43,Solver,N/A
53,WV_3,1,2,0.57,0.43,Non-Solver,N/A
63,WV_3,2,8,0.25,0.75,Solver,N/A
66,WV_3,2,10,0.23,0.77,Solver,N/A
74,WV_3,1,8,0.79,0.21,Non-Solver,N/A
82,WV_3,1,2,0.5,0.5,Non-Solver,N/A
85,WV_3,2,6,0.46,0.54,Solver,N/A
86,WV_3,2,6,0.43,0.57,Solver,N/A
89,WV_3,2,6,0.41,0.59,Solver,N/A
90,WV_3,2,2,0.3,0.7,Solver,N/A
93,WV_3,2,2,0.49,0.51,Solver,N/A
94,WV_3,2,4,0.91,0.09,Solver,N/A
95,WV_3,1,6,0.6,0.4,Non-Solver,N/A
97,WV_3,2,8,0.32,0.68,Solver,N/A
102,WV_3,2,6,0.29,0.71,Solver,N/A
106,WV_3,1,6,0.6,0.4,Non-Solver,N/A
115,WV_3,2,6,0.4,0.6,Solver,N/A
120,WV_3,2,2,0.41,0.59,Solver,N/A
122,WV_3,2,2,0.5,0.5,Solver,N/A
123,WV_3,2,8,0.37,0.63,Solver,N/A
126,WV_3,2,6,0.38,0.62,Solver,N/A
132,WV_3,2,6,0.55,0.45,Solver,N/A
137,WV_3,2,6,0.4,0.6,Solver,N/A
143,WV_3,2,4,0.23,0.77,Solver,N/A
144,WV_3,2,8,0.23,0.77,Solver,N/A
151,WV_3,1,2,0.5,0.5,Non-Solver,N/A
158,WV_3,2,8,0.55,0.45,Solver,N/A
170,WV_3,1,2,0.51,0.49,Non-Solver,N/A
171,WV_3,1,4,0.23,0.77,Non-Solver,N/A
173,WV_3,2,2,0.5,0.5,Solver,N/A
176,WV_3,2,10,0.03,0.97,Solver,N/A
178,WV_3,2,2,0.5,0.5,Solver,N/A
179,WV_3,1,2,0.6,0.4,Non-Solver,N/A
181,WV_3,2,4,0.62,0.38,Solver,N/A
182,WV_3,2,6,0.48,0.52,Solver,N/A
183,WV_3,2,6,0.15,0.85,Solver,N/A
186,WV_3,1,2,0.44,0.56,Non-Solver,N/A
214,WV_3,2,2,0.6,0.4,Solver,N/A
217,WV_3,2,6,0.4,0.6,Solver,N/A
220,WV_3,1,4,0.55,0.45,Non-Solver,N/A
222,WV_3,2,6,0.39,0.61,Solver,N/A
224,WV_3,2,4,0.4,0.6,Solver,N/A
225,WV_3,2,2,0.6,0.4,Solver,N/A
226,WV_3,2,2,0.75,0.25,Solver,N/A
228,WV_3,2,6,0.52,0.48,Solver,N/A
230,WV_3,1,8,0.4,0.6,Non-Solver,N/A
237,WV_3,2,4,0.62,0.38,Solver,N/A
238,WV_3,2,6,0.25,0.75,Solver,N/A
243,WV_3,2,8,0.21,0.79,Solver,N/A
245,WV_3,2,6,0.4,0.6,Solver,N/A
252,WV_3,1,6,0.8,0.2,Non-Solver,N/A
257,WV_3,2,2,0.48,0.52,Solver,N/A
260,WV_3,1,6,0.65,0.35,Non-Solver,N/A
266,WV_3,2,8,0.27,0.73,Solver,N/A
268,WV_3,1,8,0.82,0.18,Non-Solver,N/A
269,WV_3,2,4,0.45,0.55,Solver,N/A
276,WV_3,2,2,0.3,0.7,Solver,N/A
277,WV_3,2,8,0.14,0.86,Solver,N/A
286,WV_3,1,2,0.51,0.49,Non-Solver,N/A
290,WV_3,1,6,0.63,0.37,Non-Solver,N/A
291,WV_3,1,2,0.51,0.49,Non-Solver,N/A
302,WV_3,2,6,0.51,0.49,Solver,N/A
303,WV_3,2,6,0.49,0.51,Solver,N/A
306,WV_3,2,2,0.49,0.51,Solver,N/A
