Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
6,WV_sen,1,6,0.8,0.2,Solver,N/A
12,WV_sen,2,8,0.14,0.86,Non-Solver,N/A
15,WV_sen,2,6,0.2,0.8,Non-Solver,N/A
33,WV_sen,1,8,0.95,0.05,Solver,N/A
36,WV_sen,1,10,0.87,0.13,Solver,N/A
42,WV_sen,2,4,0.71,0.29,Non-Solver,N/A
43,WV_sen,2,2,0.48,0.52,Non-Solver,N/A
50,WV_sen,1,8,0.95,0.05,Solver,N/A
52,WV_sen,2,4,0.49,0.51,Non-Solver,N/A
53,WV_sen,1,4,0.57,0.43,Solver,N/A
55,WV_sen,2,6,0.75,0.25,Non-Solver,N/A
58,WV_sen,1,10,1.0,0.0,Solver,N/A
62,WV_sen,1,2,0.48,0.52,Solver,N/A
63,WV_sen,2,8,0.24,0.76,Non-Solver,N/A
65,WV_sen,1,8,0.8,0.2,Solver,N/A
66,WV_sen,2,8,0.14,0.86,Non-Solver,N/A
67,WV_sen,2,2,0.4,0.6,Non-Solver,N/A
72,WV_sen,1,6,0.45,0.55,Solver,N/A
78,WV_sen,2,8,0.41,0.59,Non-Solver,N/A
88,WV_sen,2,8,0.2,0.8,Non-Solver,N/A
89,WV_sen,2,6,0.41,0.59,Non-Solver,N/A
97,WV_sen,1,6,0.78,0.22,Solver,N/A
102,WV_sen,1,4,0.55,0.45,Solver,N/A
106,WV_sen,1,10,0.6,0.4,Solver,N/A
115,WV_sen,2,6,0.45,0.55,Non-Solver,N/A
121,WV_sen,2,6,0.27,0.73,Non-Solver,N/A
125,WV_sen,2,6,0.41,0.59,Non-Solver,N/A
130,WV_sen,1,6,0.55,0.45,Solver,N/A
140,WV_sen,1,4,0.27,0.73,Solver,N/A
143,WV_sen,1,6,0.6,0.4,Solver,N/A
144,WV_sen,2,6,0.38,0.62,Non-Solver,N/A
150,WV_sen,2,2,0.49,0.51,Non-Solver,N/A
159,WV_sen,1,6,0.64,0.36,Solver,N/A
164,WV_sen,1,6,0.71,0.29,Solver,N/A
170,WV_sen,2,2,0.49,0.51,Non-Solver,N/A
173,WV_sen,2,2,0.75,0.25,Non-Solver,N/A
184,WV_sen,1,6,0.51,0.49,Solver,N/A
189,WV_sen,2,6,0.2,0.8,Non-Solver,N/A
196,WV_sen,1,8,0.85,0.15,Solver,N/A
204,WV_sen,1,8,0.8,0.2,Solver,N/A
205,WV_sen,2,6,0.44,0.56,Non-Solver,N/A
207,WV_sen,1,2,0.44,0.56,Solver,N/A
208,WV_sen,1,2,0.51,0.49,Solver,N/A
215,WV_sen,2,6,0.28,0.72,Non-Solver,N/A
217,WV_sen,2,6,0.3,0.7,Non-Solver,N/A
219,WV_sen,1,4,0.6,0.4,Solver,N/A
227,WV_sen,2,2,0.51,0.49,Non-Solver,N/A
228,WV_sen,2,8,0.32,0.68,Non-Solver,N/A
230,WV_sen,1,6,0.51,0.49,Solver,N/A
231,WV_sen,1,6,0.67,0.33,Solver,N/A
234,WV_sen,2,2,0.65,0.35,Non-Solver,N/A
235,WV_sen,2,2,0.5,0.5,Non-Solver,N/A
237,WV_sen,2,2,0.8,0.2,Non-Solver,N/A
239,WV_sen,2,6,0.4,0.6,Non-Solver,N/A
251,WV_sen,1,4,0.41,0.59,Solver,N/A
252,WV_sen,1,6,0.79,0.21,Solver,N/A
253,WV_sen,1,6,0.43,0.57,Solver,N/A
259,WV_sen,1,8,0.74,0.26,Solver,N/A
266,WV_sen,2,8,0.28,0.72,Non-Solver,N/A
267,WV_sen,2,8,0.59,0.41,Non-Solver,N/A
272,WV_sen,2,6,0.31,0.69,Non-Solver,N/A
274,WV_sen,1,6,0.4,0.6,Solver,N/A
275,WV_sen,1,8,0.8,0.2,Solver,N/A
285,WV_sen,2,6,0.44,0.56,Non-Solver,N/A
296,WV_sen,2,8,0.15,0.85,Non-Solver,N/A
298,WV_sen,1,8,0.61,0.39,Solver,N/A
305,WV_sen,2,2,0.35,0.65,Non-Solver,N/A
308,WV_sen,1,6,0.61,0.39,Solver,N/A
