Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
3,WY_gub,1,4,0.37,0.63,Non-Solver,N/A
5,WY_gub,2,6,0.48,0.52,Solver,N/A
8,WY_gub,2,2,0.94,0.06,Solver,N/A
9,WY_gub,1,2,0.51,0.49,Non-Solver,N/A
12,WY_gub,2,6,0.27,0.73,Solver,N/A
14,WY_gub,2,6,0.37,0.63,Solver,N/A
18,WY_gub,1,2,0.66,0.34,Non-Solver,N/A
20,WY_gub,1,4,0.43,0.57,Non-Solver,N/A
37,WY_gub,1,6,0.85,0.15,Non-Solver,N/A
39,WY_gub,2,10,0.1,0.9,Solver,N/A
43,WY_gub,2,2,0.48,0.52,Solver,N/A
45,WY_gub,2,10,0.0,1.0,Solver,N/A
47,WY_gub,2,8,0.33,0.67,Solver,N/A
53,WY_gub,1,4,0.6,0.4,Non-Solver,N/A
60,WY_gub,2,4,0.72,0.28,Solver,N/A
73,WY_gub,2,4,0.5,0.5,Solver,N/A
80,WY_gub,2,6,0.3,0.7,Solver,N/A
81,WY_gub,2,8,0.2,0.8,Solver,N/A
85,WY_gub,2,8,0.16,0.84,Solver,N/A
96,WY_gub,2,6,0.28,0.72,Solver,N/A
103,WY_gub,2,4,0.44,0.56,Solver,N/A
107,WY_gub,2,6,0.17,0.83,Solver,N/A
114,WY_gub,2,6,0.36,0.64,Solver,N/A
117,WY_gub,2,6,0.25,0.75,Solver,N/A
118,WY_gub,2,10,0.0,1.0,Solver,N/A
119,WY_gub,2,6,0.37,0.63,Solver,N/A
120,WY_gub,2,4,0.44,0.56,Solver,N/A
124,WY_gub,2,8,0.3,0.7,Solver,N/A
127,WY_gub,2,10,0.14,0.86,Solver,N/A
133,WY_gub,2,6,0.34,0.66,Solver,N/A
148,WY_gub,2,2,0.5,0.5,Solver,N/A
149,WY_gub,2,8,0.29,0.71,Solver,N/A
153,WY_gub,1,6,0.56,0.44,Non-Solver,N/A
157,WY_gub,2,2,0.0600000000000001,0.94,Solver,N/A
159,WY_gub,1,6,0.62,0.38,Non-Solver,N/A
161,WY_gub,1,4,0.3,0.7,Non-Solver,N/A
165,WY_gub,2,6,0.3,0.7,Solver,N/A
168,WY_gub,2,2,0.35,0.65,Solver,N/A
170,WY_gub,2,2,0.5,0.5,Solver,N/A
172,WY_gub,2,6,0.43,0.57,Solver,N/A
178,WY_gub,2,2,0.5,0.5,Solver,N/A
183,WY_gub,2,6,0.65,0.35,Solver,N/A
198,WY_gub,2,2,0.48,0.52,Solver,N/A
203,WY_gub,1,10,0.92,0.08,Non-Solver,N/A
206,WY_gub,2,8,0.19,0.81,Solver,N/A
210,WY_gub,2,6,0.4,0.6,Solver,N/A
225,WY_gub,1,2,0.35,0.65,Non-Solver,N/A
230,WY_gub,2,8,0.3,0.7,Solver,N/A
237,WY_gub,2,8,0.24,0.76,Solver,N/A
245,WY_gub,2,8,0.3,0.7,Solver,N/A
246,WY_gub,2,4,0.44,0.56,Solver,N/A
256,WY_gub,2,2,0.38,0.62,Solver,N/A
263,WY_gub,2,6,0.35,0.65,Solver,N/A
266,WY_gub,2,6,0.49,0.51,Solver,N/A
269,WY_gub,2,2,0.44,0.56,Solver,N/A
270,WY_gub,2,2,0.93,0.07,Solver,N/A
274,WY_gub,1,6,0.51,0.49,Non-Solver,N/A
280,WY_gub,2,4,0.61,0.39,Solver,N/A
287,WY_gub,2,4,0.44,0.56,Solver,N/A
291,WY_gub,1,2,0.51,0.49,Non-Solver,N/A
295,WY_gub,2,2,0.45,0.55,Solver,N/A
299,WY_gub,2,6,0.4,0.6,Solver,N/A
303,WY_gub,2,6,0.5,0.5,Solver,N/A
