Worker ID,Problem,Answer,Confidence,1,2,Class,Unnamed: 7
1,WY_sen,1,8,0.74,0.26,Non-Solver,N/A
4,WY_sen,2,6,0.33,0.67,Solver,N/A
15,WY_sen,1,6,0.79,0.21,Non-Solver,N/A
19,WY_sen,1,4,0.42,0.58,Non-Solver,N/A
24,WY_sen,1,2,0.42,0.58,Non-Solver,N/A
28,WY_sen,1,2,0.57,0.43,Non-Solver,N/A
33,WY_sen,1,10,0.81,0.19,Non-Solver,N/A
36,WY_sen,2,8,0.2,0.8,Solver,N/A
40,WY_sen,2,8,0.18,0.82,Solver,N/A
44,WY_sen,2,2,0.49,0.51,Solver,N/A
48,WY_sen,2,6,0.5,0.5,Solver,N/A
50,WY_sen,2,10,0.01,0.99,Solver,N/A
52,WY_sen,2,4,0.49,0.51,Solver,N/A
56,WY_sen,2,4,0.59,0.41,Solver,N/A
57,WY_sen,1,6,0.68,0.32,Non-Solver,N/A
66,WY_sen,1,4,0.37,0.63,Non-Solver,N/A
67,WY_sen,2,2,0.38,0.62,Solver,N/A
72,WY_sen,1,6,0.6,0.4,Non-Solver,N/A
77,WY_sen,2,8,0.17,0.83,Solver,N/A
84,WY_sen,1,4,0.41,0.59,Non-Solver,N/A
88,WY_sen,2,8,0.25,0.75,Solver,N/A
91,WY_sen,2,6,0.25,0.75,Solver,N/A
95,WY_sen,2,2,0.5,0.5,Solver,N/A
101,WY_sen,2,6,0.57,0.43,Solver,N/A
106,WY_sen,2,2,0.5,0.5,Solver,N/A
107,WY_sen,2,6,0.15,0.85,Solver,N/A
109,WY_sen,2,6,0.37,0.63,Solver,N/A
124,WY_sen,2,8,0.21,0.79,Solver,N/A
125,WY_sen,2,6,0.47,0.53,Solver,N/A
135,WY_sen,1,8,0.86,0.14,Non-Solver,N/A
141,WY_sen,1,6,0.55,0.45,Non-Solver,N/A
147,WY_sen,1,8,0.67,0.33,Non-Solver,N/A
149,WY_sen,2,8,0.19,0.81,Solver,N/A
151,WY_sen,2,4,0.5,0.5,Solver,N/A
159,WY_sen,1,6,0.71,0.29,Non-Solver,N/A
161,WY_sen,1,4,0.38,0.62,Non-Solver,N/A
171,WY_sen,1,4,0.73,0.27,Non-Solver,N/A
173,WY_sen,1,2,0.5,0.5,Non-Solver,N/A
174,WY_sen,1,2,0.56,0.44,Non-Solver,N/A
177,WY_sen,2,6,0.21,0.79,Solver,N/A
185,WY_sen,2,6,0.25,0.75,Solver,N/A
190,WY_sen,2,6,0.35,0.65,Solver,N/A
192,WY_sen,2,6,0.32,0.68,Solver,N/A
194,WY_sen,2,6,0.48,0.52,Solver,N/A
197,WY_sen,2,8,0.23,0.77,Solver,N/A
201,WY_sen,1,10,0.98,0.02,Non-Solver,N/A
203,WY_sen,1,10,0.71,0.29,Non-Solver,N/A
204,WY_sen,2,8,0.1,0.9,Solver,N/A
205,WY_sen,2,8,0.28,0.72,Solver,N/A
206,WY_sen,2,10,0.03,0.97,Solver,N/A
209,WY_sen,2,8,0.16,0.84,Solver,N/A
215,WY_sen,2,6,0.29,0.71,Solver,N/A
219,WY_sen,2,2,0.3,0.7,Solver,N/A
229,WY_sen,2,2,0.13,0.87,Solver,N/A
230,WY_sen,2,8,0.23,0.77,Solver,N/A
234,WY_sen,2,6,0.09,0.91,Solver,N/A
240,WY_sen,2,6,0.28,0.72,Solver,N/A
242,WY_sen,2,6,0.37,0.63,Solver,N/A
243,WY_sen,1,6,0.62,0.38,Non-Solver,N/A
247,WY_sen,2,2,0.46,0.54,Solver,N/A
249,WY_sen,2,4,0.4,0.6,Solver,N/A
258,WY_sen,2,6,0.35,0.65,Solver,N/A
260,WY_sen,2,10,0.05,0.95,Solver,N/A
263,WY_sen,2,4,0.44,0.56,Solver,N/A
264,WY_sen,2,4,0.47,0.53,Solver,N/A
271,WY_sen,2,6,0.24,0.76,Solver,N/A
275,WY_sen,2,10,0.1,0.9,Solver,N/A
283,WY_sen,2,10,0.41,0.59,Solver,N/A
285,WY_sen,2,4,0.49,0.51,Solver,N/A
292,WY_sen,2,2,0.49,0.51,Solver,N/A
300,WY_sen,2,10,0.0,1.0,Solver,N/A
303,WY_sen,2,6,0.49,0.51,Solver,N/A
305,WY_sen,2,2,0.28,0.72,Solver,N/A
307,WY_sen,1,6,0.53,0.47,Non-Solver,N/A
