,Answer,Confidence,Class,1,2,sum_prediction
0,1,0.8,1,0.37,0.63,1.0
1,1,0.6,1,0.24,0.76,1.0
2,2,0.8,0,0.24,0.76,1.0
3,2,0.4,0,0.66,0.34,1.0
4,1,0.2,1,0.42,0.58,1.0
5,2,0.2,0,0.44,0.56,1.0
6,1,0.6,1,0.8,0.2,1.0
7,1,0.6,1,0.35,0.65,1.0
8,1,1.0,1,1.0,0.0,1.0
9,1,0.4,1,0.5,0.5,1.0
10,1,1.0,1,0.77,0.23,1.0
11,1,0.6,1,0.74,0.26,1.0
12,1,1.0,1,0.94,0.06,1.0
13,1,0.6,1,0.75,0.25,1.0
14,1,0.4,1,0.5,0.5,1.0
15,1,0.8,1,0.73,0.27,1.0
16,1,0.8,1,0.81,0.19,1.0
17,1,0.6,1,0.51,0.49,1.0
18,1,0.8,1,0.75,0.25,1.0
19,1,0.6,1,0.72,0.28,1.0
20,1,0.2,1,0.73,0.27,1.0
21,2,0.8,0,0.02,0.98,1.0
22,1,0.4,1,0.55,0.45,1.0
23,1,0.6,1,0.86,0.14,1.0
24,2,0.2,0,0.49,0.51,1.0
25,2,0.2,0,0.53,0.47,1.0
26,2,0.2,0,0.43,0.57,1.0
27,1,0.6,1,0.62,0.38,1.0
28,1,0.6,1,0.54,0.46,1.0
29,1,1.0,1,0.88,0.12,1.0
30,1,0.8,1,0.71,0.29,1.0
31,1,0.8,1,0.79,0.21,1.0
32,1,0.4,1,0.31,0.69,1.0
33,1,0.6,1,0.61,0.39,1.0
34,2,0.2,0,0.6,0.4,1.0
35,1,0.6,1,0.59,0.41,1.0
36,1,0.6,1,0.32,0.68,1.0
37,1,0.4,1,0.57,0.43,1.0
38,1,0.6,1,0.6,0.4,1.0
39,2,0.4,0,0.49,0.51,1.0
40,1,0.6,1,0.8,0.2,1.0
41,1,0.6,1,0.26,0.74,1.0
42,1,0.6,1,0.6,0.4,1.0
43,1,0.8,1,0.77,0.23,1.0
44,2,0.6,0,0.48,0.52,1.0
45,1,0.6,1,0.65,0.35,1.0
46,2,0.2,0,0.5,0.5,1.0
47,1,0.4,1,0.5,0.5,1.0
48,1,0.8,1,0.72,0.28,1.0
49,2,0.4,0,0.44,0.56,1.0
50,1,1.0,1,0.95,0.05,1.0
51,1,0.2,1,0.6,0.4,1.0
52,2,0.6,0,0.3,0.7,1.0
53,1,0.4,1,0.46,0.54,1.0
54,2,1.0,0,0.38,0.62,1.0
55,1,1.0,1,0.8,0.2,1.0
56,2,0.4,0,0.43,0.57,1.0
57,2,0.2,0,0.37,0.63,1.0
58,1,0.8,1,0.85,0.15,1.0
59,1,0.6,1,0.61,0.39,1.0
60,1,0.6,1,0.66,0.34,1.0
61,1,0.8,1,0.71,0.29,1.0
62,1,0.8,1,0.85,0.15,1.0
63,1,0.4,1,0.56,0.44,1.0
64,1,0.4,1,0.35,0.65,1.0
65,2,0.8,0,0.12,0.88,1.0
66,2,0.4,0,0.57,0.43,1.0
67,2,0.2,0,0.73,0.27,1.0
68,1,0.8,1,0.79,0.21,1.0
69,1,1.0,1,0.94,0.06,1.0
70,2,0.4,0,0.36,0.64,1.0
71,2,0.6,0,0.49,0.51,1.0
72,1,0.6,1,0.51,0.49,1.0
