,Answer,Confidence,Class,1 mile,2 miles,3 miles,4 miles,5 miles,6 miles,7 miles,8 miles,9 miles,10 miles,11 miles,12 miles,sum_prediction
0,9 miles,0.3,0,0.0,0.0,0.1,0.05,0.0,0.35,0.0,0.15,0.1,0.05,0.0,0.2,1.0
1,10 miles,0.3,1,0.0,0.0,0.0,0.1,0.2,0.15,0.05,0.15,0.1,0.2,0.0,0.05,1.0000000000000002
2,6 miles,0.1,0,0.05,0.05,0.1,0.05,0.05,0.3,0.05,0.05,0.05,0.05,0.05,0.15,1.0000000000000002
3,7 miles,0.1,0,0.05,0.05,0.1,0.1,0.05,0.05,0.15,0.15,0.05,0.05,0.15,0.05,1.0000000000000002
4,10 miles,0.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.7,0.1,0.05,1.0
5,10 miles,1.0,1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.85,0.05,0.0,1.0
6,10 miles,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.0,1.0
7,10 miles,0.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.05,0.05,0.05,0.0,1.0
8,10 miles,0.3,1,0.0,0.0,0.05,0.05,0.05,0.2,0.1,0.1,0.1,0.3,0.05,0.0,1.0
9,10 miles,1.0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.5,0.05,0.05,1.0
10,7 miles,0.1,0,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.05,0.05,1.0
11,10 miles,1.0,1,0.0,0.0,0.0,0.05,0.1,0.1,0.05,0.1,0.05,0.4,0.05,0.1,1.0000000000000002
12,10 miles,1.0,1,0.0,0.0,0.0,0.0,0.25,0.15,0.0,0.0,0.0,0.6,0.0,0.0,1.0
13,10 miles,0.4,1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.05,0.6,0.05,0.0,1.0
14,10 miles,1.0,1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0
15,7 miles,0.1,0,0.0,0.1,0.1,0.1,0.1,0.15,0.0,0.05,0.1,0.1,0.1,0.1,1.0
16,6 miles,0.1,0,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1.0
17,10 miles,1.0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.05,0.45,0.15,0.15,1.0
18,5 miles,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,0.05,0.05,0.05,0.05,0.0,0.0,1.0
19,7 miles,0.1,0,0.1,0.1,0.0,0.15,0.0,0.1,0.0,0.15,0.0,0.2,0.0,0.2,1.0
20,3 miles,0.1,0,0.15,0.2,0.1,0.2,0.15,0.05,0.05,0.05,0.05,0.0,0.0,0.0,1.0
21,3 miles,0.7,0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.0,1.0
22,6 miles,0.5,0,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.05,0.05,0.1,0.1,1.0
23,4 miles,0.2,0,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.15,0.15,0.15,0.05,0.05,1.0
24,6 miles,0.5,0,0.05,0.05,0.05,0.05,0.05,0.15,0.1,0.15,0.1,0.1,0.1,0.05,1.0
25,4 miles,0.4,0,0.1,0.1,0.05,0.1,0.05,0.25,0.05,0.05,0.1,0.1,0.05,0.0,1.0
26,10 miles,0.1,1,0.1,0.1,0.15,0.1,0.05,0.05,0.05,0.1,0.1,0.1,0.05,0.05,1.0
27,5 miles,0.3,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
28,10 miles,0.8,1,0.1,0.1,0.1,0.05,0.0,0.0,0.05,0.05,0.05,0.4,0.05,0.05,1.0
29,5 miles,0.1,0,0.0,0.0,0.15,0.1,0.35,0.1,0.1,0.1,0.05,0.05,0.0,0.0,1.0
30,6 miles,0.1,0,0.05,0.05,0.05,0.15,0.2,0.35,0.05,0.05,0.05,0.0,0.0,0.0,1.0
