,Answer,Confidence,Class,50Kg,75Kg,98Kg,99Kg,sum_prediction
0,50Kg,1.0,1,1.0,0.0,0.0,0.0,1.0
1,98Kg,1.0,0,0.0,0.0,1.0,0.0,1.0
2,50Kg,0.8,1,0.55,0.05,0.35,0.05,1.0
3,99Kg,0.4,0,0.0,0.1,0.3,0.6,1.0
4,99Kg,0.8,0,0.1,0.1,0.4,0.4,1.0
5,99Kg,0.9,0,0.0,0.0,0.4,0.6,1.0
6,50Kg,1.0,1,0.8,0.0,0.1,0.1,1.0
7,50Kg,0.9,1,0.25,0.05,0.35,0.35,0.9999999999999999
8,99Kg,0.9,0,0.0,0.0,0.2,0.8,1.0
9,75Kg,1.0,0,0.05,0.75,0.15,0.05,1.0
10,50Kg,0.8,1,0.45,0.05,0.4,0.1,1.0
11,75Kg,0.5,0,0.15,0.15,0.35,0.35,0.9999999999999999
12,75Kg,0.7,0,0.5,0.3,0.15,0.05,1.0
13,99Kg,0.7,0,0.3,0.25,0.3,0.15,1.0
14,99Kg,0.8,0,0.1,0.1,0.7,0.1,0.9999999999999999
15,99Kg,1.0,0,0.4,0.1,0.2,0.3,1.0
16,50Kg,0.8,1,0.4,0.05,0.25,0.3,1.0
17,50Kg,0.6,1,0.5,0.0,0.25,0.25,1.0
18,50Kg,0.6,1,0.2,0.3,0.3,0.2,1.0
19,99Kg,0.5,0,0.05,0.15,0.15,0.65,1.0
20,98Kg,0.9,0,0.0,0.0,0.8,0.2,1.0
21,98Kg,1.0,0,0.1,0.4,0.3,0.2,1.0
22,99Kg,0.9,0,0.0,0.35,0.3,0.35,0.9999999999999999
23,98Kg,0.5,0,0.05,0.05,0.5,0.4,1.0
24,98Kg,0.8,0,0.1,0.3,0.45,0.15,1.0
25,75Kg,0.7,0,0.25,0.45,0.15,0.15,1.0
26,75Kg,0.7,0,0.1,0.35,0.25,0.3,1.0
27,98Kg,0.9,0,0.1,0.1,0.6,0.2,1.0
28,99Kg,1.0,0,0.1,0.2,0.45,0.25,1.0
29,98Kg,0.9,0,0.1,0.35,0.5,0.05,1.0
30,99Kg,0.2,0,0.25,0.25,0.25,0.25,1.0
31,50Kg,1.0,1,0.35,0.1,0.2,0.35,0.9999999999999999
32,50Kg,0.4,1,0.15,0.1,0.5,0.25,1.0
33,99Kg,0.9,0,0.0,0.0,0.1,0.9,1.0
34,99Kg,0.8,0,0.2,0.1,0.2,0.5,1.0
35,98Kg,0.7,0,0.0,0.05,0.9,0.05,1.0
36,98Kg,0.5,0,0.05,0.1,0.55,0.3,1.0
37,99Kg,0.9,0,0.0,0.0,0.25,0.75,1.0
38,50Kg,1.0,1,0.2,0.0,0.8,0.0,1.0
39,99Kg,0.5,0,0.05,0.05,0.35,0.55,1.0
40,98Kg,0.8,0,0.05,0.25,0.2,0.5,1.0
41,50Kg,1.0,1,0.1,0.2,0.4,0.3,1.0
42,50Kg,1.0,1,0.2,0.0,0.0,0.8,1.0
43,99Kg,0.7,0,0.35,0.3,0.25,0.1,0.9999999999999999
44,99Kg,0.4,0,0.05,0.05,0.25,0.65,1.0
45,98Kg,1.0,0,0.1,0.2,0.5,0.2,1.0
46,99Kg,1.0,0,0.2,0.2,0.3,0.3,1.0
47,50Kg,0.7,1,0.25,0.15,0.35,0.25,1.0
48,50Kg,0.4,1,0.3,0.25,0.25,0.2,1.0
49,99Kg,0.6,0,0.0,0.25,0.25,0.5,1.0
50,99Kg,0.7,0,0.1,0.1,0.3,0.5,1.0
51,99Kg,0.7,0,0.2,0.2,0.2,0.4,1.0
52,99Kg,0.8,0,0.0,0.0,0.5,0.5,1.0
53,98Kg,0.8,0,0.05,0.1,0.5,0.35,1.0
54,98Kg,0.7,0,0.0,0.1,0.9,0.0,1.0
55,75Kg,0.3,0,0.1,0.3,0.35,0.25,1.0
56,99Kg,1.0,0,0.05,0.35,0.35,0.25,1.0
57,99Kg,0.5,0,0.0,0.0,0.2,0.8,1.0
58,98Kg,0.7,0,0.0,0.05,0.85,0.1,1.0
59,99Kg,0.9,0,0.0,0.0,0.3,0.7,1.0
60,75Kg,0.6,0,0.15,0.3,0.3,0.25,1.0
61,99Kg,0.1,0,0.05,0.15,0.4,0.4,1.0
62,98Kg,1.0,0,0.0,0.0,0.8,0.2,1.0
63,98Kg,0.8,0,0.0,0.2,0.5,0.3,1.0
64,50Kg,0.4,1,0.65,0.0,0.15,0.2,1.0
65,50Kg,0.9,1,0.5,0.0,0.0,0.5,1.0
66,99Kg,1.0,0,0.0,0.1,0.3,0.6,1.0
