,Answer,Confidence,Class,80,90,100,200,300,400,500,sum_prediction
0,300,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,300,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,80,0.4,0,0.5,0.1,0.05,0.1,0.1,0.1,0.05,1.0
3,100,0.8,1,0.5,0.0,0.45,0.0,0.0,0.0,0.05,1.0
4,80,0.8,0,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
5,80,0.8,0,0.9,0.05,0.05,0.0,0.0,0.0,0.0,1.0
6,100,1.0,1,0.0,0.0,0.85,0.0,0.0,0.0,0.15,1.0
7,80,1.0,0,0.9,0.01,0.01,0.05,0.01,0.01,0.01,1.0
8,100,1.0,1,0.3,0.05,0.65,0.0,0.0,0.0,0.0,1.0
9,80,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,80,1.0,0,0.6,0.05,0.05,0.05,0.1,0.15,0.0,1.0
11,100,0.6,1,0.35,0.15,0.15,0.1,0.1,0.1,0.05,1.0
12,80,0.9,0,0.2,0.2,0.1,0.05,0.15,0.2,0.1,1.0000000000000002
13,500,0.9,0,0.1,0.05,0.05,0.05,0.05,0.05,0.65,1.0
14,80,1.0,0,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.9999999999999999
15,80,1.0,0,0.85,0.1,0.05,0.0,0.0,0.0,0.0,1.0
16,500,1.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,1.0
17,80,1.0,0,0.2,0.15,0.2,0.2,0.05,0.1,0.1,1.0
18,100,1.0,1,0.05,0.05,0.85,0.05,0.0,0.0,0.0,1.0
19,300,0.8,0,0.0,0.0,0.0,0.05,0.8,0.15,0.0,1.0
20,80,0.9,0,0.5,0.1,0.15,0.1,0.05,0.05,0.05,1.0
21,80,1.0,0,0.9,0.05,0.05,0.0,0.0,0.0,0.0,1.0
22,80,1.0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0
23,80,0.9,0,0.6,0.15,0.1,0.05,0.05,0.05,0.0,1.0
24,80,0.9,0,0.7,0.05,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
25,80,1.0,0,0.15,0.2,0.1,0.1,0.1,0.3,0.05,1.0
26,80,0.9,0,0.4,0.15,0.2,0.05,0.1,0.05,0.05,1.0
27,100,1.0,1,0.65,0.1,0.25,0.0,0.0,0.0,0.0,1.0
28,80,1.0,0,0.25,0.15,0.15,0.1,0.1,0.15,0.1,1.0
29,80,1.0,0,0.85,0.05,0.05,0.05,0.0,0.0,0.0,1.0
30,100,1.0,1,0.45,0.05,0.4,0.0,0.0,0.0,0.1,1.0
31,100,0.9,1,0.5,0.3,0.2,0.0,0.0,0.0,0.0,1.0
32,100,1.0,1,0.1,0.0,0.9,0.0,0.0,0.0,0.0,1.0
33,200,0.7,0,0.3,0.0,0.0,0.4,0.0,0.0,0.3,1.0
34,80,0.6,0,0.8,0.15,0.05,0.0,0.0,0.0,0.0,1.0
35,80,1.0,0,0.8,0.0,0.05,0.0,0.0,0.05,0.1,1.0000000000000002
36,80,1.0,0,0.7,0.15,0.15,0.0,0.0,0.0,0.0,1.0
37,80,0.8,0,0.4,0.25,0.15,0.05,0.05,0.05,0.05,1.0000000000000002
38,80,1.0,0,0.4,0.2,0.2,0.2,0.0,0.0,0.0,1.0
39,80,0.8,0,0.85,0.1,0.05,0.0,0.0,0.0,0.0,1.0
40,80,1.0,0,0.65,0.2,0.1,0.05,0.0,0.0,0.0,1.0
41,80,1.0,0,0.3,0.15,0.15,0.1,0.1,0.1,0.1,0.9999999999999999
42,80,1.0,0,0.6,0.05,0.1,0.1,0.05,0.05,0.05,1.0
43,400,0.4,0,0.15,0.15,0.1,0.1,0.2,0.1,0.2,1.0
44,80,0.5,0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,1.0
45,80,1.0,0,0.6,0.1,0.1,0.0,0.0,0.0,0.2,1.0
46,80,1.0,0,0.6,0.15,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
47,500,1.0,0,0.0,0.0,0.0,0.0,0.05,0.1,0.85,1.0
48,80,1.0,0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,1.0
49,80,0.4,0,0.45,0.3,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
50,100,1.0,1,0.4,0.05,0.05,0.1,0.15,0.15,0.1,1.0
51,500,1.0,0,0.1,0.2,0.3,0.2,0.1,0.1,0.0,1.0
52,80,1.0,0,0.75,0.15,0.1,0.0,0.0,0.0,0.0,1.0
53,80,0.7,0,0.8,0.15,0.05,0.0,0.0,0.0,0.0,1.0
54,100,1.0,1,0.3,0.0,0.65,0.0,0.0,0.0,0.05,1.0
55,500,1.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,1.0
56,500,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
57,100,1.0,1,0.05,0.05,0.85,0.05,0.0,0.0,0.0,1.0
58,80,0.9,0,0.45,0.1,0.15,0.1,0.1,0.05,0.05,1.0
59,80,0.5,0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1.0
60,100,1.0,1,0.05,0.15,0.75,0.05,0.0,0.0,0.0,1.0
61,100,1.0,1,0.1,0.1,0.8,0.0,0.0,0.0,0.0,1.0
62,80,1.0,0,0.3,0.3,0.1,0.1,0.1,0.1,0.0,0.9999999999999999
63,80,0.7,0,0.8,0.05,0.0,0.05,0.05,0.05,0.0,1.0000000000000002
64,80,1.0,0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,1.0
65,100,0.9,1,0.15,0.0,0.8,0.0,0.0,0.0,0.05,1.0
66,80,1.0,0,0.7,0.05,0.05,0.05,0.05,0.05,0.05,1.0000000000000002
67,80,1.0,0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,1.0
68,80,0.8,0,0.9,0.05,0.05,0.0,0.0,0.0,0.0,1.0
69,80,1.0,0,0.2,0.5,0.2,0.05,0.05,0.0,0.0,1.0
70,80,0.9,0,0.95,0.0,0.0,0.0,0.0,0.05,0.0,1.0
71,80,1.0,0,0.9,0.05,0.05,0.0,0.0,0.0,0.0,1.0
72,100,1.0,1,0.7,0.15,0.1,0.0,0.0,0.05,0.0,1.0
73,80,0.9,0,0.8,0.1,0.05,0.05,0.0,0.0,0.0,1.0
74,80,1.0,0,0.9,0.05,0.05,0.0,0.0,0.0,0.0,1.0
75,100,0.4,1,0.1,0.1,0.23,0.07,0.5,0.0,0.0,1.0
76,80,1.0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
77,100,0.7,1,0.1,0.2,0.7,0.0,0.0,0.0,0.0,1.0
78,100,0.8,1,0.5,0.15,0.3,0.05,0.0,0.0,0.0,1.0
79,200,0.5,0,0.05,0.5,0.25,0.2,0.0,0.0,0.0,1.0
80,80,1.0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0
81,100,1.0,1,0.25,0.2,0.15,0.15,0.1,0.1,0.05,1.0
82,80,1.0,0,0.5,0.1,0.1,0.1,0.1,0.05,0.05,1.0
83,100,1.0,1,0.05,0.03,0.75,0.03,0.03,0.03,0.08,1.0
84,80,0.8,0,0.85,0.0,0.0,0.0,0.05,0.05,0.05,1.0
85,100,1.0,1,0.05,0.05,0.75,0.05,0.0,0.0,0.1,1.0
86,100,0.9,1,0.4,0.2,0.4,0.0,0.0,0.0,0.0,1.0
87,200,0.6,0,0.15,0.3,0.4,0.05,0.05,0.05,0.0,1.0
88,100,0.8,1,0.1,0.15,0.75,0.0,0.0,0.0,0.0,1.0
89,80,0.8,0,0.6,0.2,0.05,0.05,0.05,0.05,0.0,1.0000000000000002
90,80,0.9,0,0.85,0.1,0.05,0.0,0.0,0.0,0.0,1.0
