,Answer,Confidence,Class,1,2,3,9,10,sum_prediction
0,10,0.9,0,0.05,0.05,0.1,0.2,0.6,1.0
1,9,0.9,0,0.0,0.0,0.0,0.9,0.1,1.0
2,10,0.1,0,0.25,0.25,0.1,0.15,0.25,1.0
3,9,0.5,0,0.1,0.1,0.15,0.35,0.3,1.0
4,1,0.3,1,0.45,0.1,0.1,0.1,0.25,1.0
5,1,1.0,1,0.65,0.1,0.1,0.05,0.1,1.0
6,9,0.8,0,0.15,0.15,0.2,0.35,0.15,1.0
7,1,0.8,1,0.3,0.1,0.1,0.2,0.3,1.0
8,3,0.5,0,0.1,0.05,0.1,0.2,0.55,1.0
9,10,0.7,0,0.0,0.0,0.1,0.3,0.6,1.0
10,10,0.7,0,0.05,0.15,0.15,0.1,0.55,1.0
11,9,0.7,0,0.0,0.0,0.2,0.8,0.0,1.0
12,9,0.6,0,0.15,0.2,0.25,0.1,0.3,1.0
13,9,1.0,0,0.05,0.05,0.05,0.8,0.05,1.0
14,9,0.5,0,0.15,0.1,0.2,0.35,0.2,1.0
15,2,0.7,0,0.2,0.3,0.15,0.2,0.15,1.0
16,9,0.7,0,0.1,0.1,0.05,0.3,0.45,1.0
17,1,0.8,1,0.4,0.15,0.05,0.3,0.1,1.0000000000000002
18,3,0.6,0,0.0,0.1,0.5,0.4,0.0,1.0
19,1,1.0,1,0.2,0.2,0.2,0.2,0.2,1.0
20,9,0.9,0,0.1,0.0,0.0,0.8,0.1,1.0
21,3,0.8,0,0.2,0.2,0.2,0.2,0.2,1.0
22,2,0.8,0,0.1,0.1,0.3,0.3,0.2,1.0
23,10,0.8,0,0.2,0.2,0.2,0.2,0.2,1.0
24,3,0.5,0,0.2,0.1,0.5,0.1,0.1,1.0
25,3,0.9,0,0.1,0.2,0.4,0.1,0.2,1.0
26,10,1.0,0,0.1,0.0,0.0,0.35,0.55,1.0
27,9,0.9,0,0.1,0.15,0.15,0.4,0.2,1.0
28,10,0.8,0,0.2,0.0,0.0,0.2,0.6,1.0
29,10,1.0,0,0.05,0.0,0.0,0.35,0.6,1.0
30,9,0.7,0,0.0,0.0,0.0,0.9,0.1,1.0
31,9,0.5,0,0.0,0.05,0.2,0.55,0.2,1.0
32,9,1.0,0,0.15,0.1,0.15,0.45,0.15,1.0
33,9,0.4,0,0.0,0.0,0.35,0.2,0.45,1.0
34,10,0.3,0,0.05,0.1,0.2,0.3,0.35,1.0
35,3,0.4,0,0.05,0.15,0.3,0.45,0.05,1.0
36,10,1.0,0,0.05,0.05,0.15,0.35,0.4,1.0
37,9,0.6,0,0.1,0.1,0.1,0.6,0.1,1.0
38,9,0.7,0,0.05,0.0,0.0,0.55,0.4,1.0
39,10,0.1,0,0.1,0.5,0.1,0.1,0.2,1.0
40,9,0.3,0,0.1,0.1,0.1,0.6,0.1,1.0
41,9,0.9,0,0.0,0.0,0.0,0.45,0.55,1.0
42,3,1.0,0,0.1,0.35,0.55,0.0,0.0,1.0
43,1,0.9,1,0.4,0.1,0.1,0.1,0.3,1.0
44,10,0.5,0,0.2,0.0,0.0,0.0,0.8,1.0
45,1,0.3,1,0.3,0.2,0.2,0.25,0.05,1.0
46,10,0.9,0,0.0,0.15,0.2,0.35,0.3,1.0
47,9,0.4,0,0.05,0.25,0.2,0.35,0.15,1.0
48,9,0.9,0,0.1,0.1,0.5,0.1,0.2,1.0
49,9,1.0,0,0.05,0.05,0.05,0.75,0.1,1.0
50,3,0.6,0,0.05,0.1,0.25,0.2,0.4,1.0
51,9,0.6,0,0.2,0.2,0.1,0.5,0.0,1.0
52,9,1.0,0,0.05,0.1,0.15,0.5,0.2,1.0
53,10,0.1,0,0.15,0.3,0.25,0.15,0.15,1.0
54,9,1.0,0,0.0,0.05,0.05,0.75,0.15,1.0
55,9,0.7,0,0.15,0.25,0.15,0.25,0.2,1.0
56,1,0.9,1,0.1,0.35,0.35,0.15,0.05,1.0
57,10,0.8,0,0.0,0.3,0.0,0.3,0.4,1.0
58,2,1.0,0,0.0,0.35,0.0,0.0,0.65,1.0
59,9,0.5,0,0.0,0.25,0.25,0.25,0.25,1.0
60,9,0.4,0,0.0,0.0,0.1,0.3,0.6,1.0
61,1,0.5,1,0.2,0.2,0.2,0.2,0.2,1.0
62,1,1.0,1,0.4,0.1,0.15,0.15,0.2,1.0
63,9,0.9,0,0.1,0.25,0.3,0.15,0.2,1.0
64,9,0.8,0,0.1,0.1,0.3,0.4,0.1,1.0
65,9,1.0,0,0.0,0.0,0.0,0.8,0.2,1.0
66,3,0.7,0,0.15,0.05,0.3,0.25,0.25,1.0
67,9,0.2,0,0.05,0.1,0.25,0.35,0.25,1.0
68,3,0.5,0,0.2,0.2,0.3,0.1,0.2,1.0
69,2,0.6,0,0.15,0.35,0.3,0.1,0.1,1.0
70,9,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0
71,3,0.7,0,0.0,0.05,0.45,0.3,0.2,1.0
72,9,1.0,0,0.35,0.2,0.15,0.15,0.15,1.0
73,3,0.8,0,0.0,0.0,0.7,0.3,0.0,1.0
